aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,814,0,51,324,430,-298,-175,131,0,2015-01-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,772,0,46,324,974,-347,-207,64,1,2015-02-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,752,0,49,324,1493,-221,-67,214,3,2015-03-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,745,0,51,324,1888,-94,32,413,12,2015-04-01,8adf13fc,52.1905812058277,-84.2908229705069
852,0,720,852,67,324,2235,3,132,677,40,2015-05-01,8adf13fc,52.1905812058277,-84.2908229705069
812,326,605,1138,64,119,2718,60,196,1050,57,2015-06-01,8adf13fc,52.1905812058277,-84.2908229705069
553,584,451,1137,54,82,2263,106,234,1468,62,2015-07-01,8adf13fc,52.1905812058277,-84.2908229705069
808,0,498,808,114,324,1671,103,212,1463,42,2015-08-01,8adf13fc,52.1905812058277,-84.2908229705069
506,0,423,506,56,324,1431,66,176,1253,25,2015-09-01,8adf13fc,52.1905812058277,-84.2908229705069
168,0,369,186,54,324,746,-19,75,661,13,2015-10-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,256,0,30,324,277,-68,10,558,0,2015-11-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,277,0,55,324,248,-143,-70,384,0,2015-12-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,300,0,60,324,366,-246,-144,200,1,2016-01-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,320,0,47,324,845,-269,-130,160,3,2016-02-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,200,0,12,324,1655,-184,-37,266,7,2016-03-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,140,0,18,324,2051,-116,14,359,12,2016-04-01,8adf13fc,52.1905812058277,-84.2908229705069
795,0,150,795,60,324,2279,5,142,719,51,2016-05-01,8adf13fc,52.1905812058277,-84.2908229705069
1008,0,230,1008,124,324,2267,66,197,1075,61,2016-06-01,8adf13fc,52.1905812058277,-84.2908229705069
998,120,240,1118,84,119,2320,107,231,1446,73,2016-07-01,8adf13fc,52.1905812058277,-84.2908229705069
734,167,200,901,73,82,1779,107,227,1486,65,2016-08-01,8adf13fc,52.1905812058277,-84.2908229705069
519,0,280,519,114,324,1199,66,170,1176,31,2016-09-01,8adf13fc,52.1905812058277,-84.2908229705069
241,0,290,241,66,324,565,-3,84,732,13,2016-10-01,8adf13fc,52.1905812058277,-84.2908229705069
2,0,270,2,55,324,317,-55,21,556,5,2016-11-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,320,0,64,324,273,-209,-121,241,0,2016-12-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,290,0,43,324,320,-220,-131,217,0,2017-01-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,300,0,46,324,766,-237,-109,193,3,2017-02-01,8adf13fc,52.1905812058277,-84.2908229705069
0,0,210,0,18,324,1501,-207,-52,224,6,2017-03-01,8adf13fc,52.1905812058277,-84.2908229705069
16,0,270,16,54,324,1941,-81,47,421,19,2017-04-01,8adf13fc,52.1905812058277,-84.2908229705069
706,0,290,706,60,324,2224,6,115,697,41,2017-05-01,8adf13fc,52.1905812058277,-84.2908229705069
1056,0,400,1056,141,324,2473,75,199,1065,62,2017-06-01,8adf13fc,52.1905812058277,-84.2908229705069
