aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,592,0,34,535,484,-267,-134,167,0,2015-01-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,578,0,41,535,1000,-312,-165,80,3,2015-02-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,494,0,25,535,1425,-180,-26,273,5,2015-03-01,8bf90938,50.0890005398581,-87.1465862687435
4,0,450,43,41,535,1924,-74,60,430,21,2015-04-01,8bf90938,50.0890005398581,-87.1465862687435
844,0,606,844,147,535,2141,5,142,751,38,2015-05-01,8bf90938,50.0890005398581,-87.1465862687435
951,106,546,1057,81,354,2482,57,199,1125,50,2015-06-01,8bf90938,50.0890005398581,-87.1465862687435
1186,26,569,1212,122,330,2533,104,235,1508,57,2015-07-01,8bf90938,50.0890005398581,-87.1465862687435
679,61,509,740,66,278,1622,91,207,1495,31,2015-08-01,8bf90938,50.0890005398581,-87.1465862687435
541,0,402,541,75,454,1526,72,186,1355,23,2015-09-01,8bf90938,50.0890005398581,-87.1465862687435
218,0,387,227,77,535,787,-14,86,703,13,2015-10-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,519,1,117,535,341,-58,21,615,0,2015-11-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,546,0,70,535,246,-120,-43,456,0,2015-12-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,500,0,38,535,418,-223,-108,248,0,2016-01-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,450,0,30,535,896,-224,-91,227,4,2016-02-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,410,0,33,535,1583,-144,3,393,9,2016-03-01,8bf90938,50.0890005398581,-87.1465862687435
0,0,400,0,48,535,2053,-87,41,447,19,2016-04-01,8bf90938,50.0890005398581,-87.1465862687435
837,0,360,837,74,535,2303,10,151,763,45,2016-05-01,8bf90938,50.0890005398581,-87.1465862687435
923,63,330,986,86,427,2337,63,196,1136,57,2016-06-01,8bf90938,50.0890005398581,-87.1465862687435
1039,51,350,1090,103,365,2386,106,230,1552,70,2016-07-01,8bf90938,50.0890005398581,-87.1465862687435
822,0,360,822,93,428,1806,99,222,1618,49,2016-08-01,8bf90938,50.0890005398581,-87.1465862687435
492,0,380,492,106,535,1273,73,171,1300,29,2016-09-01,8bf90938,50.0890005398581,-87.1465862687435
