aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,299,0,31,319,406,-289,-177,120,0,2015-01-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,323,0,34,319,911,-339,-218,48,2,2015-02-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,282,0,28,319,1491,-205,-60,211,5,2015-03-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,243,0,33,319,1883,-90,34,381,17,2015-04-01,8bfcda66,53.3297167111528,-88.6501074960355
813,0,356,824,95,319,2371,-5,113,607,36,2015-05-01,8bfcda66,53.3297167111528,-88.6501074960355
913,176,351,1089,72,117,2541,63,187,1006,55,2015-06-01,8bfcda66,53.3297167111528,-88.6501074960355
1140,0,461,1140,151,319,2231,115,226,1435,62,2015-07-01,8bfcda66,53.3297167111528,-88.6501074960355
622,69,410,691,53,200,1580,96,188,1397,29,2015-08-01,8bfcda66,53.3297167111528,-88.6501074960355
446,0,395,446,76,319,1278,64,155,1156,21,2015-09-01,8bfcda66,53.3297167111528,-88.6501074960355
126,0,390,161,65,319,701,-20,61,608,13,2015-10-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,546,0,104,319,271,-76,-14,471,0,2015-11-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,483,0,31,319,240,-152,-88,320,0,2015-12-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,430,0,31,319,340,-250,-156,166,1,2016-01-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,350,0,13,319,884,-274,-145,150,1,2016-02-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,280,0,21,319,1568,-189,-42,263,8,2016-03-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,250,0,37,319,2107,-108,19,346,15,2016-04-01,8bfcda66,53.3297167111528,-88.6501074960355
807,0,230,807,48,319,2261,11,129,662,50,2016-05-01,8bfcda66,53.3297167111528,-88.6501074960355
892,88,210,980,78,168,2261,69,181,1022,60,2016-06-01,8bfcda66,53.3297167111528,-88.6501074960355
970,138,190,1108,95,99,2308,119,218,1414,75,2016-07-01,8bfcda66,53.3297167111528,-88.6501074960355
802,6,190,808,84,97,1726,101,197,1385,47,2016-08-01,8bfcda66,53.3297167111528,-88.6501074960355
454,0,170,454,82,319,1123,67,143,1093,24,2016-09-01,8bfcda66,53.3297167111528,-88.6501074960355
180,0,180,180,61,319,506,-8,57,663,8,2016-10-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,170,0,46,319,350,-63,10,485,3,2016-11-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,170,0,37,319,268,-223,-138,185,0,2016-12-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,160,0,33,319,331,-237,-144,173,0,2017-01-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,210,0,37,319,780,-240,-123,189,0,2017-02-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,220,0,40,319,1453,-211,-61,214,5,2017-03-01,8bfcda66,53.3297167111528,-88.6501074960355
0,0,280,0,60,319,1944,-86,40,388,20,2017-04-01,8bfcda66,53.3297167111528,-88.6501074960355
725,0,290,725,55,319,2238,-1,107,614,42,2017-05-01,8bfcda66,53.3297167111528,-88.6501074960355
969,46,310,1015,90,241,2338,74,184,992,61,2017-06-01,8bfcda66,53.3297167111528,-88.6501074960355
827,392,220,1219,74,113,2608,112,214,1283,94,2017-07-01,8bfcda66,53.3297167111528,-88.6501074960355
358,510,80,868,34,79,2078,83,178,1186,51,2017-08-01,8bfcda66,53.3297167111528,-88.6501074960355
460,0,120,460,106,319,1156,60,143,1046,30,2017-09-01,8bfcda66,53.3297167111528,-88.6501074960355
