aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,829,0,48,301,464,-283,-153,109,1,2015-01-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,776,0,32,301,1014,-331,-188,65,2,2015-02-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,752,0,49,301,1526,-217,-61,186,6,2015-03-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,757,0,56,301,1908,-88,42,413,16,2015-04-01,8c02bb04,51.7682849173087,-78.0639326242116
979,0,704,979,70,301,2133,21,146,661,53,2015-05-01,8c02bb04,51.7682849173087,-78.0639326242116
719,408,590,1128,56,111,2394,62,197,992,63,2015-06-01,8c02bb04,51.7682849173087,-78.0639326242116
585,542,451,1127,58,77,1989,117,232,1436,68,2015-07-01,8c02bb04,51.7682849173087,-78.0639326242116
903,0,509,903,129,301,1487,131,224,1478,64,2015-08-01,8c02bb04,51.7682849173087,-78.0639326242116
543,0,437,543,71,301,1465,72,175,1232,28,2015-09-01,8c02bb04,51.7682849173087,-78.0639326242116
220,0,383,234,81,301,709,-9,72,640,16,2015-10-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,250,4,42,301,295,-52,26,538,4,2015-11-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,273,0,64,301,313,-114,-50,380,0,2015-12-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,360,0,74,301,393,-214,-104,201,7,2016-01-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,400,0,44,301,856,-256,-112,156,6,2016-02-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,280,0,11,301,1655,-181,-32,253,11,2016-03-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,180,0,11,301,2172,-113,17,317,15,2016-04-01,8c02bb04,51.7682849173087,-78.0639326242116
848,0,220,848,76,301,2258,16,145,713,52,2016-05-01,8c02bb04,51.7682849173087,-78.0639326242116
1054,0,310,1054,112,301,2032,71,203,1019,60,2016-06-01,8c02bb04,51.7682849173087,-78.0639326242116
1094,87,340,1181,99,152,2160,118,238,1420,71,2016-07-01,8c02bb04,51.7682849173087,-78.0639326242116
1006,0,470,1006,152,301,1722,125,238,1463,78,2016-08-01,8c02bb04,51.7682849173087,-78.0639326242116
587,0,560,587,132,301,1272,72,170,1142,35,2016-09-01,8c02bb04,51.7682849173087,-78.0639326242116
289,0,600,289,127,301,662,7,88,731,19,2016-10-01,8c02bb04,51.7682849173087,-78.0639326242116
7,0,660,7,123,301,287,-42,24,555,12,2016-11-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,600,0,52,301,301,-178,-92,241,6,2016-12-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,570,0,49,301,414,-190,-93,246,7,2017-01-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,540,0,31,301,832,-230,-95,196,7,2017-02-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,420,0,14,301,1605,-195,-39,220,10,2017-03-01,8c02bb04,51.7682849173087,-78.0639326242116
36,0,430,36,49,301,1879,-70,55,427,22,2017-04-01,8c02bb04,51.7682849173087,-78.0639326242116
737,0,500,737,90,301,1991,23,124,733,45,2017-05-01,8c02bb04,51.7682849173087,-78.0639326242116
985,100,520,1085,86,129,2266,77,203,1045,64,2017-06-01,8c02bb04,51.7682849173087,-78.0639326242116
947,392,450,1339,95,84,2522,98,234,1229,86,2017-07-01,8c02bb04,51.7682849173087,-78.0639326242116
962,0,450,962,112,188,1697,101,214,1253,67,2017-08-01,8c02bb04,51.7682849173087,-78.0639326242116
571,0,380,571,86,301,1257,78,171,1156,38,2017-09-01,8c02bb04,51.7682849173087,-78.0639326242116
311,0,560,311,180,301,652,23,102,811,26,2017-10-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,530,0,84,301,328,-86,-9,392,8,2017-11-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,460,0,45,301,315,-202,-107,224,3,2017-12-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,420,0,43,301,492,-252,-134,150,5,2018-01-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,440,0,38,301,899,-256,-111,146,6,2018-02-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,310,0,10,301,1538,-180,-20,234,11,2018-03-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,250,0,22,301,2219,-118,19,297,19,2018-04-01,8c02bb04,51.7682849173087,-78.0639326242116
907,0,270,907,77,301,2298,3,144,649,46,2018-05-01,8c02bb04,51.7682849173087,-78.0639326242116
454,789,130,1243,28,111,2861,56,198,884,86,2018-06-01,8c02bb04,51.7682849173087,-78.0639326242116
980,344,90,1324,100,77,2431,125,251,1470,112,2018-07-01,8c02bb04,51.7682849173087,-78.0639326242116
498,608,-290,1106,51,59,1959,111,237,1332,86,2018-08-01,8c02bb04,51.7682849173087,-78.0639326242116
576,0,-230,576,127,301,1182,58,164,1075,34,2018-09-01,8c02bb04,51.7682849173087,-78.0639326242116
171,0,-160,171,93,301,621,-14,46,571,16,2018-10-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-180,0,63,301,311,-102,-33,395,7,2018-11-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-170,0,46,301,297,-176,-76,265,7,2018-12-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-170,0,33,301,449,-261,-137,98,5,2019-01-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-110,0,36,301,916,-256,-113,110,6,2019-02-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,50,0,47,301,1402,-183,-39,197,11,2019-03-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,130,0,46,301,1981,-85,36,333,23,2019-04-01,8c02bb04,51.7682849173087,-78.0639326242116
817,0,70,817,35,301,2299,-4,114,565,41,2019-05-01,8c02bb04,51.7682849173087,-78.0639326242116
861,58,70,919,77,202,1829,54,185,960,56,2019-06-01,8c02bb04,51.7682849173087,-78.0639326242116
1121,104,80,1225,108,103,2056,123,246,1424,85,2019-07-01,8c02bb04,51.7682849173087,-78.0639326242116
728,362,-80,1090,74,73,1671,122,235,1386,78,2019-08-01,8c02bb04,51.7682849173087,-78.0639326242116
582,0,-150,582,78,231,1224,62,153,1023,33,2019-09-01,8c02bb04,51.7682849173087,-78.0639326242116
389,0,-240,389,74,301,719,25,100,726,26,2019-10-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-270,0,56,301,398,-90,-19,355,7,2019-11-01,8c02bb04,51.7682849173087,-78.0639326242116
0,0,-210,0,57,301,313,-160,-59,220,7,2019-12-01,8c02bb04,51.7682849173087,-78.0639326242116
