aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-293,0,26,246,354,-327,-243,65,0,2015-01-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-348,0,5,246,854,-351,-244,43,2,2015-02-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-386,0,10,246,1436,-267,-148,107,3,2015-03-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-392,0,17,246,2134,-137,-23,323,4,2015-04-01,8cb00c5d,56.9224165598749,-68.0111354014595
227,0,-421,371,25,246,2224,-29,58,512,20,2015-05-01,8cb00c5d,56.9224165598749,-68.0111354014595
901,0,-346,901,70,246,1992,41,147,785,46,2015-06-01,8cb00c5d,56.9224165598749,-68.0111354014595
846,3,-266,849,89,242,1755,81,181,1184,40,2015-07-01,8cb00c5d,56.9224165598749,-68.0111354014595
728,0,-198,728,94,246,1596,74,176,1146,38,2015-08-01,8cb00c5d,56.9224165598749,-68.0111354014595
355,0,-83,359,88,246,1030,21,106,814,18,2015-09-01,8cb00c5d,56.9224165598749,-68.0111354014595
1,0,-60,8,52,246,562,-42,21,506,7,2015-10-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,205,0,58,246,264,-118,-50,318,2,2015-11-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,164,0,35,246,192,-206,-122,219,0,2015-12-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,120,0,25,246,273,-253,-165,147,0,2016-01-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,90,0,25,246,700,-291,-174,98,2,2016-02-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,70,0,25,246,1378,-247,-137,135,4,2016-03-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,80,0,35,246,1918,-168,-55,244,5,2016-04-01,8cb00c5d,56.9224165598749,-68.0111354014595
455,0,-130,455,27,246,2381,-24,67,553,22,2016-05-01,8cb00c5d,56.9224165598749,-68.0111354014595
825,0,-150,825,52,246,2042,41,146,829,44,2016-06-01,8cb00c5d,56.9224165598749,-68.0111354014595
845,42,-140,887,81,175,1955,75,183,1139,49,2016-07-01,8cb00c5d,56.9224165598749,-68.0111354014595
698,0,-130,698,76,201,1545,70,171,1138,37,2016-08-01,8cb00c5d,56.9224165598749,-68.0111354014595
368,0,-150,368,60,246,1093,20,104,831,18,2016-09-01,8cb00c5d,56.9224165598749,-68.0111354014595
7,0,-140,7,52,246,487,-40,16,530,8,2016-10-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-170,0,36,246,282,-112,-38,363,4,2016-11-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-240,0,16,246,228,-248,-167,141,1,2016-12-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-150,0,53,246,302,-253,-161,156,0,2017-01-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-180,0,18,246,790,-286,-179,108,1,2017-02-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-200,0,19,246,1527,-240,-114,150,4,2017-03-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-220,0,17,246,2119,-141,-32,289,7,2017-04-01,8cb00c5d,56.9224165598749,-68.0111354014595
380,0,-260,380,35,246,2430,-37,69,543,28,2017-05-01,8cb00c5d,56.9224165598749,-68.0111354014595
765,0,-130,765,78,246,1791,43,140,815,38,2017-06-01,8cb00c5d,56.9224165598749,-68.0111354014595
922,0,190,922,98,246,1865,71,180,1046,48,2017-07-01,8cb00c5d,56.9224165598749,-68.0111354014595
706,0,230,706,87,246,1480,65,164,1048,34,2017-08-01,8cb00c5d,56.9224165598749,-68.0111354014595
399,0,220,399,58,246,996,28,113,836,19,2017-09-01,8cb00c5d,56.9224165598749,-68.0111354014595
155,0,270,155,84,246,481,-16,52,603,10,2017-10-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,210,0,38,246,287,-111,-50,295,5,2017-11-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,190,0,42,246,186,-206,-123,203,0,2017-12-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,150,0,29,246,344,-295,-210,87,0,2018-01-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,70,0,13,246,784,-306,-199,75,1,2018-02-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-120,0,22,246,1313,-166,-57,266,5,2018-03-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-140,0,19,246,2144,-167,-41,236,6,2018-04-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-60,0,42,246,2347,-63,13,394,13,2018-05-01,8cb00c5d,56.9224165598749,-68.0111354014595
790,0,-90,790,35,246,2397,22,105,636,38,2018-06-01,8cb00c5d,56.9224165598749,-68.0111354014595
835,80,-120,915,71,109,1962,72,191,1102,50,2018-07-01,8cb00c5d,56.9224165598749,-68.0111354014595
417,391,-240,808,40,70,1744,64,169,1038,51,2018-08-01,8cb00c5d,56.9224165598749,-68.0111354014595
391,0,-100,391,129,246,859,18,91,733,14,2018-09-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-180,0,22,246,597,-61,4,434,9,2018-10-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-260,0,21,246,286,-140,-74,275,3,2018-11-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-250,0,35,246,189,-213,-134,193,0,2018-12-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-270,0,23,246,314,-301,-210,80,0,2019-01-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-250,0,29,246,716,-279,-178,91,2,2019-02-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-220,0,29,246,1396,-226,-116,147,3,2019-03-01,8cb00c5d,56.9224165598749,-68.0111354014595
0,0,-160,0,38,246,2048,-128,-26,291,8,2019-04-01,8cb00c5d,56.9224165598749,-68.0111354014595
606,0,-260,606,28,246,2169,0,81,594,26,2019-05-01,8cb00c5d,56.9224165598749,-68.0111354014595
758,139,-300,897,58,91,1990,66,165,941,49,2019-06-01,8cb00c5d,56.9224165598749,-68.0111354014595
