aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-394,0,53,500,440,-197,-96,173,4,2015-01-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-433,0,29,500,919,-223,-123,135,4,2015-02-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-504,0,16,500,1546,-148,-53,220,9,2015-03-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-451,0,58,500,1705,-59,12,400,13,2015-04-01,8d55eb8a,49.619262994413,-62.9877109308076
752,0,-472,762,53,500,2291,10,100,655,29,2015-05-01,8d55eb8a,49.619262994413,-62.9877109308076
924,36,-445,960,87,439,2044,79,154,911,50,2015-06-01,8d55eb8a,49.619262994413,-62.9877109308076
827,57,-397,884,79,359,1873,111,176,1276,39,2015-07-01,8d55eb8a,49.619262994413,-62.9877109308076
838,16,-395,854,86,342,1995,120,194,1485,35,2015-08-01,8d55eb8a,49.619262994413,-62.9877109308076
610,0,-427,610,68,374,1392,80,164,1123,35,2015-09-01,8d55eb8a,49.619262994413,-62.9877109308076
345,0,-430,352,108,500,869,11,77,643,21,2015-10-01,8d55eb8a,49.619262994413,-62.9877109308076
2,0,-389,17,103,500,428,-36,23,455,14,2015-11-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-475,0,37,500,387,-85,-31,340,7,2015-12-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-520,0,30,500,480,-139,-56,209,7,2016-01-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-450,0,66,500,786,-160,-61,250,5,2016-02-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-470,0,34,500,1490,-132,-42,235,10,2016-03-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-380,0,73,500,1997,-59,15,391,15,2016-04-01,8d55eb8a,49.619262994413,-62.9877109308076
712,0,-450,712,27,500,2252,24,103,688,23,2016-05-01,8d55eb8a,49.619262994413,-62.9877109308076
886,0,-370,886,124,500,1829,84,156,971,40,2016-06-01,8d55eb8a,49.619262994413,-62.9877109308076
825,158,-370,983,58,229,2232,115,190,1343,38,2016-07-01,8d55eb8a,49.619262994413,-62.9877109308076
920,0,-360,920,100,259,1972,113,196,1348,35,2016-08-01,8d55eb8a,49.619262994413,-62.9877109308076
605,0,-330,605,95,500,1319,72,151,1044,24,2016-09-01,8d55eb8a,49.619262994413,-62.9877109308076
373,0,-340,373,87,500,871,14,90,702,18,2016-10-01,8d55eb8a,49.619262994413,-62.9877109308076
59,0,-440,59,50,500,417,-23,37,545,8,2016-11-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-520,0,34,500,326,-136,-59,235,4,2016-12-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-530,0,53,500,450,-139,-56,229,5,2017-01-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-520,0,42,500,887,-159,-72,226,6,2017-02-01,8d55eb8a,49.619262994413,-62.9877109308076
0,0,-530,0,34,500,1421,-128,-46,229,10,2017-03-01,8d55eb8a,49.619262994413,-62.9877109308076
26,0,-490,26,57,500,1787,-41,22,438,13,2017-04-01,8d55eb8a,49.619262994413,-62.9877109308076
663,0,-300,663,147,500,2018,15,89,638,24,2017-05-01,8d55eb8a,49.619262994413,-62.9877109308076
746,159,-340,905,47,227,2207,82,156,994,41,2017-06-01,8d55eb8a,49.619262994413,-62.9877109308076
434,651,-450,1085,37,144,2467,113,191,1297,46,2017-07-01,8d55eb8a,49.619262994413,-62.9877109308076
765,113,-490,878,77,108,1912,106,188,1306,31,2017-08-01,8d55eb8a,49.619262994413,-62.9877109308076
553,0,-500,553,85,363,1200,79,162,1125,25,2017-09-01,8d55eb8a,49.619262994413,-62.9877109308076
462,0,-580,462,56,428,972,36,118,802,21,2017-10-01,8d55eb8a,49.619262994413,-62.9877109308076
15,0,-420,15,167,500,502,-52,29,422,10,2017-11-01,8d55eb8a,49.619262994413,-62.9877109308076
