aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,188,0,81,510,516,-204,-99,161,5,2015-01-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,101,0,32,510,1072,-237,-133,100,6,2015-02-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-104,0,43,510,1612,-148,-38,227,10,2015-03-01,8d8bb691,48.4346391777186,-68.2554798547683
17,0,-92,94,52,510,1838,-47,47,437,21,2015-04-01,8d8bb691,48.4346391777186,-68.2554798547683
1088,0,-139,1088,77,510,2236,40,163,765,57,2015-05-01,8d8bb691,48.4346391777186,-68.2554798547683
1084,37,-97,1121,107,446,2214,77,188,975,64,2015-06-01,8d8bb691,48.4346391777186,-68.2554798547683
1063,118,-93,1181,95,282,2147,114,217,1294,69,2015-07-01,8d8bb691,48.4346391777186,-68.2554798547683
972,126,-126,1097,93,189,1897,127,231,1446,71,2015-08-01,8d8bb691,48.4346391777186,-68.2554798547683
739,15,-187,755,77,182,1619,82,195,1200,48,2015-09-01,8d8bb691,48.4346391777186,-68.2554798547683
384,0,-246,393,85,510,964,-2,87,614,25,2015-10-01,8d8bb691,48.4346391777186,-68.2554798547683
19,0,-298,60,64,510,460,-26,38,528,13,2015-11-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-216,0,105,510,324,-74,-19,433,1,2015-12-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-230,0,49,510,524,-146,-59,225,7,2016-01-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-90,0,106,510,816,-158,-46,275,5,2016-02-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,220,0,104,510,1470,-110,-5,310,10,2016-03-01,8d8bb691,48.4346391777186,-68.2554798547683
49,0,210,49,53,510,2301,-61,47,385,21,2016-04-01,8d8bb691,48.4346391777186,-68.2554798547683
947,0,150,947,84,510,2243,35,153,739,42,2016-05-01,8d8bb691,48.4346391777186,-68.2554798547683
1175,0,210,1175,124,510,2081,88,203,990,56,2016-06-01,8d8bb691,48.4346391777186,-68.2554798547683
1245,0,300,1245,149,510,2210,122,232,1356,61,2016-07-01,8d8bb691,48.4346391777186,-68.2554798547683
1132,31,300,1163,114,458,1943,118,236,1354,63,2016-08-01,8d8bb691,48.4346391777186,-68.2554798547683
716,43,230,759,69,395,1456,71,183,1073,36,2016-09-01,8d8bb691,48.4346391777186,-68.2554798547683
428,0,230,428,114,510,836,16,110,745,22,2016-10-01,8d8bb691,48.4346391777186,-68.2554798547683
77,0,180,77,87,510,406,-21,39,559,8,2016-11-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,160,0,81,510,369,-138,-57,274,3,2016-12-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,190,0,85,510,495,-138,-51,281,5,2017-01-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,160,0,57,510,896,-148,-49,285,6,2017-02-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,210,0,87,510,1490,-133,-35,237,10,2017-03-01,8d8bb691,48.4346391777186,-68.2554798547683
309,0,240,309,94,510,1640,-20,60,568,17,2017-04-01,8d8bb691,48.4346391777186,-68.2554798547683
859,0,270,859,119,510,1985,38,137,740,42,2017-05-01,8d8bb691,48.4346391777186,-68.2554798547683
1035,110,260,1145,89,322,2397,86,203,1109,64,2017-06-01,8d8bb691,48.4346391777186,-68.2554798547683
836,481,150,1317,72,171,2557,108,231,1320,73,2017-07-01,8d8bb691,48.4346391777186,-68.2554798547683
834,273,60,1107,83,122,1994,99,216,1228,59,2017-08-01,8d8bb691,48.4346391777186,-68.2554798547683
683,0,-190,683,81,212,1402,79,192,1205,37,2017-09-01,8d8bb691,48.4346391777186,-68.2554798547683
469,0,-120,469,163,510,912,35,137,898,26,2017-10-01,8d8bb691,48.4346391777186,-68.2554798547683
10,0,-100,10,94,510,523,-63,29,435,10,2017-11-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-100,0,79,510,412,-150,-69,254,3,2017-12-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,190,0,127,510,544,-179,-78,211,5,2018-01-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,160,0,56,510,908,-151,-40,296,7,2018-02-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,120,0,52,510,1295,-79,-6,327,8,2018-03-01,8d8bb691,48.4346391777186,-68.2554798547683
34,0,200,34,87,510,1891,-54,36,405,17,2018-04-01,8d8bb691,48.4346391777186,-68.2554798547683
1081,0,130,1081,81,510,2683,25,154,692,54,2018-05-01,8d8bb691,48.4346391777186,-68.2554798547683
1072,164,70,1236,83,228,2497,72,200,931,66,2018-06-01,8d8bb691,48.4346391777186,-68.2554798547683
731,679,-220,1410,68,146,2507,128,255,1484,84,2018-07-01,8d8bb691,48.4346391777186,-68.2554798547683
876,290,-270,1166,88,110,2099,122,245,1487,66,2018-08-01,8d8bb691,48.4346391777186,-68.2554798547683
710,71,-340,781,73,93,1434,68,190,1080,37,2018-09-01,8d8bb691,48.4346391777186,-68.2554798547683
359,0,-310,359,129,510,780,-1,76,638,21,2018-10-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-230,0,110,510,449,-69,-8,409,8,2018-11-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-220,0,79,510,454,-141,-43,294,3,2018-12-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,-80,0,116,510,477,-190,-93,181,4,2019-01-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,230,0,95,510,921,-178,-80,192,5,2019-02-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,230,0,72,510,1409,-106,-14,282,13,2019-03-01,8d8bb691,48.4346391777186,-68.2554798547683
135,0,270,135,82,510,1739,-37,47,460,20,2019-04-01,8d8bb691,48.4346391777186,-68.2554798547683
841,0,240,841,89,510,2182,21,129,681,42,2019-05-01,8d8bb691,48.4346391777186,-68.2554798547683
1030,18,280,1048,105,480,2348,75,189,1037,58,2019-06-01,8d8bb691,48.4346391777186,-68.2554798547683
1089,146,250,1235,91,252,2414,120,232,1448,68,2019-07-01,8d8bb691,48.4346391777186,-68.2554798547683
924,140,190,1064,88,162,2013,107,218,1368,59,2019-08-01,8d8bb691,48.4346391777186,-68.2554798547683
568,0,240,568,122,510,1294,50,150,1009,28,2019-09-01,8d8bb691,48.4346391777186,-68.2554798547683
331,0,240,331,99,510,827,13,95,742,19,2019-10-01,8d8bb691,48.4346391777186,-68.2554798547683
0,0,250,0,102,510,558,-69,-1,399,9,2019-11-01,8d8bb691,48.4346391777186,-68.2554798547683
