aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,256,0,30,504,212,-207,-112,240,0,2015-01-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,365,0,44,504,479,-207,-103,194,1,2015-02-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,382,0,22,504,1170,-127,14,302,15,2015-03-01,8e47c18f,58.5878168545892,-120.425634209402
703,0,308,726,18,1317,1969,-28,104,402,48,2015-04-01,8e47c18f,58.5878168545892,-120.425634209402
923,418,131,1341,17,599,2815,30,190,571,91,2015-05-01,8e47c18f,58.5878168545892,-120.425634209402
644,756,-285,1400,45,380,2665,85,231,995,98,2015-06-01,8e47c18f,58.5878168545892,-120.425634209402
851,444,-270,1295,80,285,2371,102,238,1250,85,2015-07-01,8e47c18f,58.5878168545892,-120.425634209402
732,210,-189,942,72,234,1765,84,218,1177,69,2015-08-01,8e47c18f,58.5878168545892,-120.425634209402
121,434,-272,554,9,196,1272,23,157,812,44,2015-09-01,8e47c18f,58.5878168545892,-120.425634209402
151,67,-296,227,15,185,588,-16,88,602,24,2015-10-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-291,0,22,185,282,-135,-29,306,5,2015-11-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-268,0,25,185,122,-194,-118,224,0,2015-12-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-310,0,13,181,202,-204,-125,232,0,2016-01-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-250,0,34,181,504,-168,-70,266,6,2016-02-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-230,0,27,181,1050,-107,-10,318,16,2016-03-01,8e47c18f,58.5878168545892,-120.425634209402
540,0,-260,540,13,851,1844,-24,90,457,41,2016-04-01,8e47c18f,58.5878168545892,-120.425634209402
815,309,-220,1124,50,571,2325,36,183,681,78,2016-05-01,8e47c18f,58.5878168545892,-120.425634209402
1043,230,-140,1273,97,446,2525,89,227,1073,82,2016-06-01,8e47c18f,58.5878168545892,-120.425634209402
786,468,-140,1254,69,318,2432,110,243,1364,80,2016-07-01,8e47c18f,58.5878168545892,-120.425634209402
827,177,120,1004,82,270,1820,94,226,1212,81,2016-08-01,8e47c18f,58.5878168545892,-120.425634209402
609,0,210,609,67,292,1156,31,163,837,46,2016-09-01,8e47c18f,58.5878168545892,-120.425634209402
78,0,220,78,20,324,557,-32,46,502,15,2016-10-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,170,0,15,324,277,-104,-14,406,5,2016-11-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,170,0,23,324,137,-230,-147,125,1,2016-12-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,170,0,26,324,207,-215,-107,170,0,2017-01-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,190,0,25,324,481,-196,-90,168,4,2017-02-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,260,0,40,324,1137,-172,-56,243,6,2017-03-01,8e47c18f,58.5878168545892,-120.425634209402
455,0,210,455,12,1025,1940,-38,82,395,40,2017-04-01,8e47c18f,58.5878168545892,-120.425634209402
931,232,210,1163,43,752,2395,39,183,651,84,2017-05-01,8e47c18f,58.5878168545892,-120.425634209402
1224,3,360,1227,129,749,2471,80,205,926,73,2017-06-01,8e47c18f,58.5878168545892,-120.425634209402
1146,92,460,1238,113,679,2409,101,232,1224,73,2017-07-01,8e47c18f,58.5878168545892,-120.425634209402
383,816,300,1199,12,406,2191,84,243,1132,93,2017-08-01,8e47c18f,58.5878168545892,-120.425634209402
226,441,170,667,13,298,1321,36,188,903,64,2017-09-01,8e47c18f,58.5878168545892,-120.425634209402
271,0,190,271,36,359,583,-21,72,519,26,2017-10-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,320,0,60,359,233,-177,-86,200,5,2017-11-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,310,0,16,359,159,-207,-101,218,0,2017-12-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,360,0,35,359,174,-226,-148,180,-2,2018-01-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,410,0,25,359,603,-250,-116,132,5,2018-02-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,500,0,43,359,1247,-164,-30,217,13,2018-03-01,8e47c18f,58.5878168545892,-120.425634209402
61,0,480,61,13,522,1962,-67,59,353,35,2018-04-01,8e47c18f,58.5878168545892,-120.425634209402
1322,0,380,1322,20,983,2698,43,197,633,127,2018-05-01,8e47c18f,58.5878168545892,-120.425634209402
1035,134,410,1169,93,834,2102,86,211,975,91,2018-06-01,8e47c18f,58.5878168545892,-120.425634209402
596,773,180,1369,22,443,2450,103,242,1170,111,2018-07-01,8e47c18f,58.5878168545892,-120.425634209402
654,420,160,1074,56,316,1849,83,221,1067,109,2018-08-01,8e47c18f,58.5878168545892,-120.425634209402
208,351,70,559,15,249,1400,-15,127,615,45,2018-09-01,8e47c18f,58.5878168545892,-120.425634209402
59,115,-270,174,4,225,646,-40,68,445,31,2018-10-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-170,0,44,225,223,-124,-54,288,4,2018-11-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-170,0,15,225,138,-189,-103,212,2,2018-12-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-140,0,28,225,179,-215,-117,179,0,2019-01-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-130,0,16,225,582,-263,-146,105,3,2019-02-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-190,0,0,225,1311,-98,34,291,25,2019-03-01,8e47c18f,58.5878168545892,-120.425634209402
635,0,-260,635,12,635,1830,-30,98,373,48,2019-04-01,8e47c18f,58.5878168545892,-120.425634209402
351,910,-470,1261,7,392,2549,43,180,530,92,2019-05-01,8e47c18f,58.5878168545892,-120.425634209402
817,279,-410,1096,76,295,2202,69,201,1012,67,2019-06-01,8e47c18f,58.5878168545892,-120.425634209402
994,207,-320,1201,99,243,2258,100,232,1208,84,2019-07-01,8e47c18f,58.5878168545892,-120.425634209402
621,247,-240,868,61,202,1788,66,201,1131,54,2019-08-01,8e47c18f,58.5878168545892,-120.425634209402
431,127,-200,558,43,181,1170,43,170,915,47,2019-09-01,8e47c18f,58.5878168545892,-120.425634209402
191,34,-200,225,20,176,560,-30,71,526,23,2019-10-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-230,0,15,176,229,-131,-40,266,7,2019-11-01,8e47c18f,58.5878168545892,-120.425634209402
0,0,-220,0,23,176,126,-214,-122,165,1,2019-12-01,8e47c18f,58.5878168545892,-120.425634209402
