aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,193,0,28,175,118,-256,-175,158,0,2015-01-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,304,0,38,175,377,-266,-159,109,2,2015-02-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,264,0,20,175,1077,-202,-63,197,6,2015-03-01,8e5d9eb5,61.8619872424764,-118.352579170306
1,0,235,20,15,253,1963,-83,49,315,28,2015-04-01,8e5d9eb5,61.8619872424764,-118.352579170306
1227,0,91,1227,8,541,2798,16,172,506,82,2015-05-01,8e5d9eb5,61.8619872424764,-118.352579170306
557,834,-183,1392,23,199,2674,81,229,956,99,2015-06-01,8e5d9eb5,61.8619872424764,-118.352579170306
500,614,-142,1115,46,138,2054,105,226,1212,81,2015-07-01,8e5d9eb5,61.8619872424764,-118.352579170306
524,359,-70,884,52,107,1679,87,206,1152,63,2015-08-01,8e5d9eb5,61.8619872424764,-118.352579170306
91,336,-185,426,8,88,980,23,130,777,34,2015-09-01,8e5d9eb5,61.8619872424764,-118.352579170306
1,0,-221,9,17,118,385,-36,25,527,8,2015-10-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-252,0,28,118,159,-157,-81,294,0,2015-11-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-256,0,27,118,73,-225,-159,198,0,2015-12-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-230,0,21,105,112,-238,-168,131,0,2016-01-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-200,0,18,105,401,-227,-128,156,4,2016-02-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-180,0,21,105,999,-185,-57,222,8,2016-03-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-160,0,16,105,1731,-89,34,347,20,2016-04-01,8e5d9eb5,61.8619872424764,-118.352579170306
996,0,-160,996,19,541,2295,33,167,638,69,2016-05-01,8e5d9eb5,61.8619872424764,-118.352579170306
637,676,-190,1313,31,199,2645,87,229,1040,84,2016-06-01,8e5d9eb5,61.8619872424764,-118.352579170306
480,718,-170,1198,44,138,2225,110,241,1310,74,2016-07-01,8e5d9eb5,61.8619872424764,-118.352579170306
389,518,-160,907,38,107,1716,87,215,1192,51,2016-08-01,8e5d9eb5,61.8619872424764,-118.352579170306
314,181,-160,495,31,88,994,28,140,820,30,2016-09-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-140,0,27,88,428,-52,2,489,9,2016-10-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-140,0,29,88,181,-136,-60,302,0,2016-11-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-130,0,23,88,79,-258,-188,121,0,2016-12-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-100,0,21,88,122,-256,-161,123,0,2017-01-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-80,0,17,88,345,-240,-142,154,3,2017-02-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-70,0,22,88,1041,-233,-109,176,4,2017-03-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-60,0,16,88,2070,-96,28,321,23,2017-04-01,8e5d9eb5,61.8619872424764,-118.352579170306
1025,0,-90,1025,19,541,2465,26,164,602,75,2017-05-01,8e5d9eb5,61.8619872424764,-118.352579170306
646,526,-90,1172,32,199,2434,79,211,968,69,2017-06-01,8e5d9eb5,61.8619872424764,-118.352579170306
494,717,-90,1211,46,138,2295,104,238,1240,70,2017-07-01,8e5d9eb5,61.8619872424764,-118.352579170306
362,715,-130,1077,35,107,1882,89,237,1176,75,2017-08-01,8e5d9eb5,61.8619872424764,-118.352579170306
289,258,-170,547,28,88,1118,37,164,880,43,2017-09-01,8e5d9eb5,61.8619872424764,-118.352579170306
12,0,-140,12,28,117,443,-41,26,522,10,2017-10-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-120,0,33,117,141,-211,-135,195,1,2017-11-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-110,0,22,117,85,-236,-142,159,0,2017-12-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-70,0,22,117,116,-262,-197,111,-1,2018-01-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-60,0,17,117,385,-290,-162,110,4,2018-02-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,0,0,22,117,1134,-228,-89,160,6,2018-03-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,0,0,16,117,1935,-118,12,309,21,2018-04-01,8e5d9eb5,61.8619872424764,-118.352579170306
958,0,-10,958,18,541,2358,15,156,587,66,2018-05-01,8e5d9eb5,61.8619872424764,-118.352579170306
636,407,10,1043,31,199,1959,83,217,1113,64,2018-06-01,8e5d9eb5,61.8619872424764,-118.352579170306
466,797,-30,1263,43,138,2304,104,240,1242,75,2018-07-01,8e5d9eb5,61.8619872424764,-118.352579170306
380,456,10,836,37,107,1528,72,201,1110,51,2018-08-01,8e5d9eb5,61.8619872424764,-118.352579170306
290,90,10,380,29,88,1219,-24,96,660,29,2018-09-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,0,0,26,88,556,-61,17,455,12,2018-10-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,0,0,31,88,143,-169,-106,239,-1,2018-11-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,0,0,22,88,83,-223,-148,151,1,2018-12-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,40,0,25,88,122,-269,-185,107,0,2019-01-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-70,0,6,88,438,-280,-169,93,2,2019-02-01,8e5d9eb5,61.8619872424764,-118.352579170306
0,0,-130,0,9,88,1033,-135,3,286,14,2019-03-01,8e5d9eb5,61.8619872424764,-118.352579170306
116,0,-160,116,12,262,1813,-62,66,326,36,2019-04-01,8e5d9eb5,61.8619872424764,-118.352579170306
