aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,83,0,73,610,174,-112,-37,371,0,2015-01-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,125,0,50,610,539,-107,-14,314,10,2015-02-01,8fdf7938,55.0498613233905,-124.618476054793
1,0,118,21,36,784,995,-67,48,386,23,2015-03-01,8fdf7938,55.0498613233905,-124.618476054793
414,0,78,499,27,784,1585,-33,79,400,37,2015-04-01,8fdf7938,55.0498613233905,-124.618476054793
841,180,-160,1020,14,476,2291,12,165,586,69,2015-05-01,8fdf7938,55.0498613233905,-124.618476054793
682,448,-239,1130,49,259,2323,59,194,824,77,2015-06-01,8fdf7938,55.0498613233905,-124.618476054793
830,405,-196,1234,80,186,2401,72,212,945,83,2015-07-01,8fdf7938,55.0498613233905,-124.618476054793
807,114,-121,921,82,156,1725,66,202,891,79,2015-08-01,8fdf7938,55.0498613233905,-124.618476054793
431,32,-132,464,45,149,1093,15,128,692,39,2015-09-01,8fdf7938,55.0498613233905,-124.618476054793
239,0,-181,245,47,361,601,-6,89,589,28,2015-10-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-241,0,42,361,330,-95,-15,313,11,2015-11-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-288,0,47,361,181,-134,-59,263,4,2015-12-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-260,0,54,327,240,-136,-51,315,6,2016-01-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-230,0,37,327,523,-96,4,365,16,2016-02-01,8fdf7938,55.0498613233905,-124.618476054793
17,0,-210,17,32,437,1068,-72,48,379,26,2016-03-01,8fdf7938,55.0498613233905,-124.618476054793
502,0,-250,502,22,784,1519,-25,94,492,44,2016-04-01,8fdf7938,55.0498613233905,-124.618476054793
768,165,-270,933,42,500,2150,13,147,570,64,2016-05-01,8fdf7938,55.0498613233905,-124.618476054793
780,241,-270,1021,60,285,2247,52,185,824,68,2016-06-01,8fdf7938,55.0498613233905,-124.618476054793
628,381,-250,1009,57,198,1926,78,207,1027,72,2016-07-01,8fdf7938,55.0498613233905,-124.618476054793
583,357,-240,940,57,154,1771,70,208,948,83,2016-08-01,8fdf7938,55.0498613233905,-124.618476054793
527,5,-210,532,55,153,1078,21,143,728,46,2016-09-01,8fdf7938,55.0498613233905,-124.618476054793
219,0,-200,219,55,438,495,-19,64,508,24,2016-10-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-210,0,47,438,221,-60,13,456,16,2016-11-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-170,0,53,438,234,-168,-82,129,5,2016-12-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-150,0,54,438,264,-141,-44,223,6,2017-01-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-130,0,37,438,604,-136,-28,173,10,2017-02-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-110,0,32,438,1048,-116,-2,269,19,2017-03-01,8fdf7938,55.0498613233905,-124.618476054793
415,0,-140,415,22,784,1616,-36,78,412,37,2017-04-01,8fdf7938,55.0498613233905,-124.618476054793
859,3,-130,862,42,780,2018,10,144,580,58,2017-05-01,8fdf7938,55.0498613233905,-124.618476054793
928,208,-160,1136,60,425,2531,39,174,688,70,2017-06-01,8fdf7938,55.0498613233905,-124.618476054793
722,437,-170,1159,57,247,2437,59,196,863,76,2017-07-01,8fdf7938,55.0498613233905,-124.618476054793
598,400,-180,998,56,180,1948,61,209,878,86,2017-08-01,8fdf7938,55.0498613233905,-124.618476054793
523,39,-170,562,54,170,1224,31,157,758,54,2017-09-01,8fdf7938,55.0498613233905,-124.618476054793
319,0,-200,319,56,376,687,-15,77,467,30,2017-10-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-220,0,48,376,255,-102,-29,272,12,2017-11-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-210,0,52,376,241,-141,-52,255,5,2017-12-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-190,0,55,376,201,-145,-61,281,4,2018-01-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-160,0,37,376,640,-158,-47,182,10,2018-02-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-150,0,32,376,1121,-107,16,269,22,2018-03-01,8fdf7938,55.0498613233905,-124.618476054793
182,0,-110,182,22,784,1811,-52,65,358,37,2018-04-01,8fdf7938,55.0498613233905,-124.618476054793
973,0,-110,973,41,784,2371,18,157,594,76,2018-05-01,8fdf7938,55.0498613233905,-124.618476054793
862,171,-110,1033,60,490,2235,44,175,768,65,2018-06-01,8fdf7938,55.0498613233905,-124.618476054793
761,406,-130,1167,56,262,2388,67,213,907,81,2018-07-01,8fdf7938,55.0498613233905,-124.618476054793
609,466,-150,1075,56,188,2064,58,204,852,97,2018-08-01,8fdf7938,55.0498613233905,-124.618476054793
511,1,-130,512,54,188,1151,4,119,607,39,2018-09-01,8fdf7938,55.0498613233905,-124.618476054793
243,0,-130,243,54,453,783,-20,74,487,33,2018-10-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-140,0,48,453,216,-66,4,421,7,2018-11-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-110,0,52,453,195,-133,-49,269,7,2018-12-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-90,0,55,453,203,-103,-15,356,6,2019-01-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-130,0,23,453,711,-213,-112,88,10,2019-02-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-190,0,15,453,1304,-92,25,260,26,2019-03-01,8fdf7938,55.0498613233905,-124.618476054793
567,0,-250,567,19,784,1792,-30,87,374,44,2019-04-01,8fdf7938,55.0498613233905,-124.618476054793
809,207,-350,1016,30,429,2188,46,174,622,80,2019-05-01,8fdf7938,55.0498613233905,-124.618476054793
636,394,-400,1030,48,248,2162,55,183,839,67,2019-06-01,8fdf7938,55.0498613233905,-124.618476054793
844,108,-290,952,85,208,1957,73,206,1052,68,2019-07-01,8fdf7938,55.0498613233905,-124.618476054793
786,45,-190,831,81,194,1769,58,193,924,66,2019-08-01,8fdf7938,55.0498613233905,-124.618476054793
386,95,-210,481,38,168,1141,31,151,765,48,2019-09-01,8fdf7938,55.0498613233905,-124.618476054793
173,0,-150,173,67,530,620,-29,58,454,26,2019-10-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-70,0,67,530,237,-73,-1,359,12,2019-11-01,8fdf7938,55.0498613233905,-124.618476054793
0,0,-80,0,38,530,141,-119,-36,283,8,2019-12-01,8fdf7938,55.0498613233905,-124.618476054793
