aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,349,0,27,503,471,-233,-115,182,0,2015-01-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,363,0,34,503,1025,-285,-157,80,4,2015-02-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,299,0,24,503,1522,-130,2,285,14,2015-03-01,91b5cf74,51.0927953017897,-93.5050975345631
298,0,213,449,21,503,2075,-53,86,425,34,2015-04-01,91b5cf74,51.0927953017897,-93.5050975345631
921,0,296,921,106,503,2247,8,148,740,43,2015-05-01,91b5cf74,51.0927953017897,-93.5050975345631
1005,137,273,1142,81,268,2493,75,215,1228,58,2015-06-01,91b5cf74,51.0927953017897,-93.5050975345631
1185,34,328,1219,122,244,2311,122,247,1627,65,2015-07-01,91b5cf74,51.0927953017897,-93.5050975345631
839,0,341,839,96,321,1743,105,218,1549,40,2015-08-01,91b5cf74,51.0927953017897,-93.5050975345631
560,3,290,563,59,318,1487,76,187,1335,27,2015-09-01,91b5cf74,51.0927953017897,-93.5050975345631
277,0,302,281,70,503,821,4,93,718,19,2015-10-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,409,2,79,503,321,-51,17,540,2,2015-11-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,411,0,43,503,313,-130,-54,345,0,2015-12-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,380,0,22,503,439,-205,-107,211,0,2016-01-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,340,0,23,503,870,-201,-82,195,5,2016-02-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,340,0,43,503,1547,-113,23,349,17,2016-03-01,91b5cf74,51.0927953017897,-93.5050975345631
87,0,400,87,58,503,2013,-64,63,438,25,2016-04-01,91b5cf74,51.0927953017897,-93.5050975345631
962,0,390,962,71,503,2186,30,172,788,59,2016-05-01,91b5cf74,51.0927953017897,-93.5050975345631
1034,36,380,1070,102,441,2364,82,211,1251,57,2016-06-01,91b5cf74,51.0927953017897,-93.5050975345631
1031,152,360,1183,86,228,2372,123,242,1618,70,2016-07-01,91b5cf74,51.0927953017897,-93.5050975345631
914,0,370,914,111,371,1859,108,226,1581,50,2016-08-01,91b5cf74,51.0927953017897,-93.5050975345631
493,0,390,493,88,503,1120,77,167,1255,21,2016-09-01,91b5cf74,51.0927953017897,-93.5050975345631
253,0,350,253,41,503,656,7,84,766,14,2016-10-01,91b5cf74,51.0927953017897,-93.5050975345631
71,0,300,71,30,503,413,-29,51,588,6,2016-11-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,350,0,56,503,321,-198,-109,210,0,2016-12-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,310,0,29,503,430,-197,-97,241,0,2017-01-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,300,0,26,503,927,-173,-63,235,5,2017-02-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,240,0,24,503,1542,-150,-13,273,11,2017-03-01,91b5cf74,51.0927953017897,-93.5050975345631
342,0,200,342,36,503,1983,-53,83,478,32,2017-04-01,91b5cf74,51.0927953017897,-93.5050975345631
877,11,140,888,31,484,2233,16,143,708,55,2017-05-01,91b5cf74,51.0927953017897,-93.5050975345631
915,102,90,1017,79,319,2118,79,211,1171,61,2017-06-01,91b5cf74,51.0927953017897,-93.5050975345631
732,543,-200,1275,61,169,2533,116,247,1538,87,2017-07-01,91b5cf74,51.0927953017897,-93.5050975345631
733,238,-220,971,72,121,2082,94,213,1368,62,2017-08-01,91b5cf74,51.0927953017897,-93.5050975345631
523,0,-150,523,109,503,1259,68,170,1223,29,2017-09-01,91b5cf74,51.0927953017897,-93.5050975345631
322,0,-170,322,39,503,783,3,90,717,21,2017-10-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-120,0,37,503,390,-123,-36,338,4,2017-11-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-110,0,31,503,340,-224,-124,190,0,2017-12-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-120,0,24,503,432,-241,-120,171,2,2018-01-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-120,0,19,503,994,-266,-117,115,2,2018-02-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-170,0,14,503,1564,-148,-6,236,14,2018-03-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,-200,0,8,503,2393,-107,42,328,27,2018-04-01,91b5cf74,51.0927953017897,-93.5050975345631
997,0,-180,997,59,503,2344,31,192,861,66,2018-05-01,91b5cf74,51.0927953017897,-93.5050975345631
985,94,-170,1079,87,341,2300,99,224,1374,77,2018-06-01,91b5cf74,51.0927953017897,-93.5050975345631
752,492,-240,1244,62,173,2356,123,250,1621,88,2018-07-01,91b5cf74,51.0927953017897,-93.5050975345631
725,289,-270,1014,71,123,2233,102,225,1541,80,2018-08-01,91b5cf74,51.0927953017897,-93.5050975345631
378,0,-150,378,114,503,1307,43,141,1194,28,2018-09-01,91b5cf74,51.0927953017897,-93.5050975345631
82,0,220,82,80,503,602,-22,39,595,8,2018-10-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,170,0,16,503,422,-130,-59,318,2,2018-11-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,130,0,23,503,353,-172,-78,250,0,2018-12-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,120,0,33,503,518,-258,-146,130,1,2019-01-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,150,0,32,503,919,-245,-120,135,3,2019-02-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,100,0,23,503,1410,-146,-13,261,12,2019-03-01,91b5cf74,51.0927953017897,-93.5050975345631
327,0,90,327,39,503,2101,-51,77,405,33,2019-04-01,91b5cf74,51.0927953017897,-93.5050975345631
976,0,-30,976,45,503,2484,7,140,610,51,2019-05-01,91b5cf74,51.0927953017897,-93.5050975345631
778,520,-200,1298,48,185,2747,97,223,1087,87,2019-06-01,91b5cf74,51.0927953017897,-93.5050975345631
1352,55,-130,1407,140,160,2495,132,255,1540,86,2019-07-01,91b5cf74,51.0927953017897,-93.5050975345631
804,299,-170,1103,80,117,2043,107,223,1390,61,2019-08-01,91b5cf74,51.0927953017897,-93.5050975345631
481,0,-110,481,97,503,1174,60,160,1179,20,2019-09-01,91b5cf74,51.0927953017897,-93.5050975345631
237,0,170,237,98,503,645,-13,68,654,12,2019-10-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,150,0,26,503,438,-119,-45,334,1,2019-11-01,91b5cf74,51.0927953017897,-93.5050975345631
0,0,130,0,28,503,356,-195,-98,212,0,2019-12-01,91b5cf74,51.0927953017897,-93.5050975345631
