aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-58,0,29,119,101,-243,-169,164,0,2015-01-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,221,0,34,119,316,-254,-170,118,0,2015-02-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,193,0,15,119,1002,-188,-67,174,8,2015-03-01,9536cb0b,62.7177447624366,-122.547102948563
1,0,168,18,17,195,1652,-75,39,322,26,2015-04-01,9536cb0b,62.7177447624366,-122.547102948563
1175,0,-155,1175,14,504,2670,18,168,555,75,2015-05-01,9536cb0b,62.7177447624366,-122.547102948563
680,624,-229,1305,38,185,2612,84,220,983,90,2015-06-01,9536cb0b,62.7177447624366,-122.547102948563
668,399,-181,1067,64,128,2000,106,216,1211,73,2015-07-01,9536cb0b,62.7177447624366,-122.547102948563
739,63,-88,802,76,110,1574,86,196,1123,58,2015-08-01,9536cb0b,62.7177447624366,-122.547102948563
110,294,-210,404,9,88,886,19,117,715,33,2015-09-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-267,4,21,104,369,-43,10,469,8,2015-10-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-313,0,24,104,134,-181,-109,201,1,2015-11-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-319,0,23,104,61,-227,-165,145,0,2015-12-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-290,0,22,97,90,-222,-163,114,3,2016-01-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-260,0,15,97,367,-210,-139,120,5,2016-02-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-230,0,16,97,957,-173,-58,175,13,2016-03-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-200,0,18,97,1631,-74,33,345,21,2016-04-01,9536cb0b,62.7177447624366,-122.547102948563
968,0,-220,968,30,504,2214,30,159,624,74,2016-05-01,9536cb0b,62.7177447624366,-122.547102948563
798,484,-250,1282,51,185,2684,90,219,1020,94,2016-06-01,9536cb0b,62.7177447624366,-122.547102948563
637,521,-240,1158,61,128,2221,110,234,1284,85,2016-07-01,9536cb0b,62.7177447624366,-122.547102948563
534,340,-230,874,53,99,1646,89,208,1130,66,2016-08-01,9536cb0b,62.7177447624366,-122.547102948563
371,89,-220,460,37,82,963,21,130,750,37,2016-09-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-220,0,33,82,409,-64,-20,442,11,2016-10-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-220,0,26,82,168,-164,-95,217,3,2016-11-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-200,0,19,82,62,-262,-197,85,3,2016-12-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-170,0,22,82,104,-255,-164,94,3,2017-01-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-150,0,15,82,312,-240,-162,109,5,2017-02-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-130,0,16,82,1038,-231,-125,145,7,2017-03-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-110,0,18,82,1953,-87,24,315,24,2017-04-01,9536cb0b,62.7177447624366,-122.547102948563
1002,0,-150,1002,30,504,2460,24,155,585,79,2017-05-01,9536cb0b,62.7177447624366,-122.547102948563
800,270,-150,1070,51,185,2195,85,202,989,67,2017-06-01,9536cb0b,62.7177447624366,-122.547102948563
639,517,-150,1156,61,128,2212,104,229,1228,78,2017-07-01,9536cb0b,62.7177447624366,-122.547102948563
528,493,-180,1021,53,99,1916,84,228,1092,83,2017-08-01,9536cb0b,62.7177447624366,-122.547102948563
366,157,-210,523,37,82,1079,28,153,786,45,2017-09-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-210,0,34,82,440,-51,9,458,13,2017-10-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-210,0,26,82,138,-235,-166,125,3,2017-11-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-190,0,19,82,66,-235,-150,115,2,2017-12-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-160,0,22,82,85,-252,-194,94,1,2018-01-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-140,0,15,82,348,-290,-180,79,5,2018-02-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-130,0,16,82,1110,-215,-92,135,10,2018-03-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-110,0,18,82,1913,-109,6,305,19,2018-04-01,9536cb0b,62.7177447624366,-122.547102948563
924,0,-120,924,29,504,2338,15,148,565,73,2018-05-01,9536cb0b,62.7177447624366,-122.547102948563
798,242,-110,1040,51,185,2046,84,209,1057,67,2018-06-01,9536cb0b,62.7177447624366,-122.547102948563
634,599,-120,1233,61,128,2323,103,235,1208,96,2018-07-01,9536cb0b,62.7177447624366,-122.547102948563
531,234,-100,765,53,99,1332,75,194,1064,53,2018-08-01,9536cb0b,62.7177447624366,-122.547102948563
357,37,-90,394,37,91,1234,-22,98,627,34,2018-09-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-100,0,33,91,477,-64,6,412,11,2018-10-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-110,0,26,91,144,-182,-126,171,1,2018-11-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-90,0,19,91,63,-224,-154,114,3,2018-12-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,40,0,28,91,104,-244,-166,97,3,2019-01-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-20,0,12,91,392,-254,-162,90,4,2019-02-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,-90,0,3,91,988,-118,5,259,18,2019-03-01,9536cb0b,62.7177447624366,-122.547102948563
58,0,-140,58,9,185,1714,-64,56,302,34,2019-04-01,9536cb0b,62.7177447624366,-122.547102948563
1042,0,-170,1042,35,504,2322,26,149,512,71,2019-05-01,9536cb0b,62.7177447624366,-122.547102948563
967,0,290,967,132,504,2082,47,175,887,55,2019-06-01,9536cb0b,62.7177447624366,-122.547102948563
790,316,300,1106,50,185,2224,94,219,1205,71,2019-07-01,9536cb0b,62.7177447624366,-122.547102948563
712,0,500,712,110,504,1471,44,164,951,40,2019-08-01,9536cb0b,62.7177447624366,-122.547102948563
424,0,530,424,46,504,974,35,139,839,35,2019-09-01,9536cb0b,62.7177447624366,-122.547102948563
12,0,560,12,30,504,397,-43,27,480,12,2019-10-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,550,0,19,504,158,-180,-108,176,3,2019-11-01,9536cb0b,62.7177447624366,-122.547102948563
0,0,510,0,16,504,64,-291,-218,69,1,2019-12-01,9536cb0b,62.7177447624366,-122.547102948563
