aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,166,0,42,881,573,-224,-89,263,0,2015-01-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,102,0,31,881,1132,-257,-130,182,0,2015-02-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,-147,0,35,881,1657,-146,-15,355,2,2015-03-01,9597ed2f,46.6809149442436,-81.3180095492693
366,0,-127,442,59,881,2020,-35,80,595,18,2015-04-01,9597ed2f,46.6809149442436,-81.3180095492693
1037,0,-95,1037,76,881,2102,56,191,1055,51,2015-05-01,9597ed2f,46.6809149442436,-81.3180095492693
894,149,-73,1043,67,625,2342,86,212,1372,45,2015-06-01,9597ed2f,46.6809149442436,-81.3180095492693
921,377,-87,1297,64,307,2507,115,249,1622,65,2015-07-01,9597ed2f,46.6809149442436,-81.3180095492693
716,269,-139,985,66,217,1844,116,226,1508,56,2015-08-01,9597ed2f,46.6809149442436,-81.3180095492693
563,184,-263,747,54,170,1614,97,212,1418,44,2015-09-01,9597ed2f,46.6809149442436,-81.3180095492693
291,0,-263,294,93,764,929,15,112,869,14,2015-10-01,9597ed2f,46.6809149442436,-81.3180095492693
36,0,-265,44,89,881,554,-21,67,776,0,2015-11-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,-58,0,135,881,335,-68,6,674,0,2015-12-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,-70,0,50,881,501,-168,-59,323,1,2016-01-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,200,0,70,881,891,-164,-45,318,3,2016-02-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,270,0,103,881,1440,-97,26,478,12,2016-03-01,9597ed2f,46.6809149442436,-81.3180095492693
193,0,320,193,69,881,2123,-51,64,443,28,2016-04-01,9597ed2f,46.6809149442436,-81.3180095492693
1064,0,230,1064,51,881,2420,42,180,840,65,2016-05-01,9597ed2f,46.6809149442436,-81.3180095492693
1032,296,100,1328,55,372,2598,93,223,1119,81,2016-06-01,9597ed2f,46.6809149442436,-81.3180095492693
852,483,-180,1335,76,244,2403,131,254,1575,73,2016-07-01,9597ed2f,46.6809149442436,-81.3180095492693
832,246,-210,1078,81,185,1972,131,249,1711,62,2016-08-01,9597ed2f,46.6809149442436,-81.3180095492693
773,0,-220,773,108,435,1556,95,205,1353,43,2016-09-01,9597ed2f,46.6809149442436,-81.3180095492693
391,0,-210,391,89,881,876,30,124,914,23,2016-10-01,9597ed2f,46.6809149442436,-81.3180095492693
113,0,-230,113,72,881,529,-21,69,714,10,2016-11-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,-160,0,86,881,390,-134,-48,384,1,2016-12-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,-110,0,68,881,526,-141,-44,413,1,2017-01-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,170,0,84,881,829,-133,-19,406,6,2017-02-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,170,0,68,881,1541,-125,-10,358,11,2017-03-01,9597ed2f,46.6809149442436,-81.3180095492693
482,0,200,482,84,881,1621,-11,104,690,31,2017-04-01,9597ed2f,46.6809149442436,-81.3180095492693
806,50,200,856,70,794,1884,42,154,857,45,2017-05-01,9597ed2f,46.6809149442436,-81.3180095492693
1183,38,270,1221,119,739,2249,104,219,1110,61,2017-06-01,9597ed2f,46.6809149442436,-81.3180095492693
1044,194,320,1238,83,484,2417,117,239,1524,70,2017-07-01,9597ed2f,46.6809149442436,-81.3180095492693
898,0,390,898,114,664,1845,99,210,1441,44,2017-08-01,9597ed2f,46.6809149442436,-81.3180095492693
694,14,320,708,71,648,1643,84,207,1384,40,2017-09-01,9597ed2f,46.6809149442436,-81.3180095492693
370,0,480,370,157,881,941,39,136,1020,31,2017-10-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,510,0,102,881,438,-61,17,534,8,2017-11-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,460,0,71,881,458,-175,-75,324,0,2017-12-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,420,0,55,881,520,-190,-71,303,1,2018-01-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,390,0,54,881,909,-169,-45,356,5,2018-02-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,310,0,47,881,1637,-134,-17,318,11,2018-03-01,9597ed2f,46.6809149442436,-81.3180095492693
22,0,420,22,83,881,1933,-72,43,403,24,2018-04-01,9597ed2f,46.6809149442436,-81.3180095492693
1060,0,390,1060,80,881,2367,60,205,1008,76,2018-05-01,9597ed2f,46.6809149442436,-81.3180095492693
934,294,270,1228,45,375,2653,96,224,1297,92,2018-06-01,9597ed2f,46.6809149442436,-81.3180095492693
645,724,150,1369,54,245,2487,132,261,1586,89,2018-07-01,9597ed2f,46.6809149442436,-81.3180095492693
724,311,60,1035,70,186,2125,122,240,1724,69,2018-08-01,9597ed2f,46.6809149442436,-81.3180095492693
641,0,-220,641,93,429,1519,91,200,1473,40,2018-09-01,9597ed2f,46.6809149442436,-81.3180095492693
246,0,160,246,154,881,697,8,88,831,24,2018-10-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,190,0,90,881,470,-73,-14,485,5,2018-11-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,180,0,73,881,439,-129,-29,434,0,2018-12-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,200,0,68,881,578,-237,-114,176,0,2019-01-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,340,0,106,881,833,-197,-72,217,3,2019-02-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,260,0,48,881,1485,-139,-16,279,10,2019-03-01,9597ed2f,46.6809149442436,-81.3180095492693
197,0,390,197,105,881,1692,-49,67,484,22,2019-04-01,9597ed2f,46.6809149442436,-81.3180095492693
865,0,510,865,130,881,1888,20,151,724,49,2019-05-01,9597ed2f,46.6809149442436,-81.3180095492693
1052,153,480,1205,83,619,2501,92,219,1164,74,2019-06-01,9597ed2f,46.6809149442436,-81.3180095492693
885,544,410,1429,60,307,2611,138,263,1597,91,2019-07-01,9597ed2f,46.6809149442436,-81.3180095492693
482,763,200,1245,41,216,2333,112,234,1371,74,2019-08-01,9597ed2f,46.6809149442436,-81.3180095492693
638,0,260,638,144,881,1352,78,189,1286,34,2019-09-01,9597ed2f,46.6809149442436,-81.3180095492693
394,0,490,394,188,881,822,15,110,783,22,2019-10-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,520,0,100,881,570,-90,-14,399,3,2019-11-01,9597ed2f,46.6809149442436,-81.3180095492693
0,0,460,0,68,881,377,-132,-29,359,0,2019-12-01,9597ed2f,46.6809149442436,-81.3180095492693
