aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-187,0,24,185,257,-215,-109,154,3,2015-01-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-74,0,48,185,609,-226,-108,134,5,2015-02-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-99,0,9,185,1250,-142,2,243,17,2015-03-01,95fb0c7b,57.6121265880682,-113.529899048664
335,0,-77,506,34,924,2216,-55,87,312,46,2015-04-01,95fb0c7b,57.6121265880682,-113.529899048664
987,225,-201,1212,13,537,2852,-2,157,440,76,2015-05-01,95fb0c7b,57.6121265880682,-113.529899048664
728,633,-313,1361,52,300,2904,61,209,905,81,2015-06-01,95fb0c7b,57.6121265880682,-113.529899048664
785,376,-323,1161,74,217,2371,85,215,1193,65,2015-07-01,95fb0c7b,57.6121265880682,-113.529899048664
322,596,-400,918,29,172,1815,77,200,1103,60,2015-08-01,95fb0c7b,57.6121265880682,-113.529899048664
509,0,-170,509,102,632,1340,15,136,753,37,2015-09-01,95fb0c7b,57.6121265880682,-113.529899048664
237,0,-119,257,35,728,694,-18,77,518,28,2015-10-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-104,0,16,728,341,-116,-28,315,6,2015-11-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-96,0,14,728,163,-177,-102,205,1,2015-12-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-80,0,25,637,248,-201,-107,189,6,2016-01-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,170,0,21,637,593,-171,-56,220,11,2016-02-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,160,0,19,637,1103,-117,-11,283,17,2016-03-01,95fb0c7b,57.6121265880682,-113.529899048664
303,0,130,303,20,924,1892,-48,72,352,40,2016-04-01,95fb0c7b,57.6121265880682,-113.529899048664
979,56,120,1035,42,827,2392,19,160,612,71,2016-05-01,95fb0c7b,57.6121265880682,-113.529899048664
926,260,70,1186,58,451,2602,68,203,1001,77,2016-06-01,95fb0c7b,57.6121265880682,-113.529899048664
916,218,-20,1134,82,313,2451,95,216,1304,72,2016-07-01,95fb0c7b,57.6121265880682,-113.529899048664
641,272,-70,913,58,223,1834,81,201,1146,66,2016-08-01,95fb0c7b,57.6121265880682,-113.529899048664
443,115,-80,558,43,192,1242,27,139,774,43,2016-09-01,95fb0c7b,57.6121265880682,-113.529899048664
19,0,40,19,29,220,510,-29,16,454,17,2016-10-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-10,0,24,220,320,-82,-7,412,10,2016-11-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-10,0,23,220,177,-228,-137,126,4,2016-12-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,0,0,24,220,274,-210,-95,159,4,2017-01-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,30,0,21,220,628,-182,-71,194,10,2017-02-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,50,0,20,220,1347,-174,-58,244,9,2017-03-01,95fb0c7b,57.6121265880682,-113.529899048664
110,0,70,110,22,453,2034,-55,58,325,36,2017-04-01,95fb0c7b,57.6121265880682,-113.529899048664
1073,0,70,1073,42,924,2478,17,155,562,73,2017-05-01,95fb0c7b,57.6121265880682,-113.529899048664
919,209,-10,1128,59,565,2591,59,183,904,73,2017-06-01,95fb0c7b,57.6121265880682,-113.529899048664
986,232,-30,1218,83,369,2631,91,216,1217,84,2017-07-01,95fb0c7b,57.6121265880682,-113.529899048664
662,420,-90,1082,57,248,2086,79,218,1083,82,2017-08-01,95fb0c7b,57.6121265880682,-113.529899048664
456,168,-130,624,43,196,1376,31,161,841,52,2017-09-01,95fb0c7b,57.6121265880682,-113.529899048664
201,0,-130,201,29,233,552,-25,55,472,24,2017-10-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-150,0,25,233,294,-170,-88,202,6,2017-11-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-170,0,23,233,194,-209,-98,194,2,2017-12-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-180,0,25,233,234,-228,-133,159,4,2018-01-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-180,0,21,233,717,-248,-112,111,8,2018-02-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-150,0,19,233,1382,-174,-38,194,15,2018-03-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-100,0,21,233,2069,-96,40,265,32,2018-04-01,95fb0c7b,57.6121265880682,-113.529899048664
1175,0,-100,1175,40,745,2682,23,175,582,88,2018-05-01,95fb0c7b,57.6121265880682,-113.529899048664
802,186,-90,988,60,514,2040,70,192,1037,53,2018-06-01,95fb0c7b,57.6121265880682,-113.529899048664
936,194,-80,1130,83,369,2257,89,211,1184,56,2018-07-01,95fb0c7b,57.6121265880682,-113.529899048664
668,288,-100,956,58,248,1980,69,194,1049,70,2018-08-01,95fb0c7b,57.6121265880682,-113.529899048664
433,40,-80,473,44,235,1438,-21,90,557,31,2018-09-01,95fb0c7b,57.6121265880682,-113.529899048664
33,0,30,33,27,259,724,-53,45,378,27,2018-10-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,0,0,25,259,256,-129,-71,272,4,2018-11-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,0,0,24,259,163,-187,-99,196,3,2018-12-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,70,0,33,259,243,-229,-121,126,4,2019-01-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-20,0,10,259,684,-291,-165,49,6,2019-02-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,-80,0,3,259,1418,-116,19,237,24,2019-03-01,95fb0c7b,57.6121265880682,-113.529899048664
517,0,-130,517,19,743,1982,-44,83,306,47,2019-04-01,95fb0c7b,57.6121265880682,-113.529899048664
795,313,-270,1108,13,357,2710,9,141,397,74,2019-05-01,95fb0c7b,57.6121265880682,-113.529899048664
724,360,-290,1084,64,242,2446,56,185,914,61,2019-06-01,95fb0c7b,57.6121265880682,-113.529899048664
702,377,-310,1079,68,186,2312,86,207,1197,59,2019-07-01,95fb0c7b,57.6121265880682,-113.529899048664
743,0,-80,743,116,548,1643,58,180,1124,37,2019-08-01,95fb0c7b,57.6121265880682,-113.529899048664
473,35,230,508,47,520,1273,32,142,846,35,2019-09-01,95fb0c7b,57.6121265880682,-113.529899048664
55,0,260,55,26,549,603,-43,44,411,23,2019-10-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,240,0,18,549,292,-127,-49,258,7,2019-11-01,95fb0c7b,57.6121265880682,-113.529899048664
0,0,210,0,11,549,183,-206,-108,148,5,2019-12-01,95fb0c7b,57.6121265880682,-113.529899048664
