aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-242,0,24,116,248,-220,-115,148,3,2015-01-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-94,0,49,116,623,-235,-115,122,5,2015-02-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-133,0,9,116,1290,-150,-6,227,16,2015-03-01,987f4f04,57.8365117927289,-112.309454531737
80,0,-61,241,38,624,2201,-64,77,298,42,2015-04-01,987f4f04,57.8365117927289,-112.309454531737
1180,8,-173,1187,13,611,2867,-9,147,428,70,2015-05-01,987f4f04,57.8365117927289,-112.309454531737
852,475,-255,1328,50,230,2878,54,203,884,76,2015-06-01,987f4f04,57.8365117927289,-112.309454531737
753,347,-255,1100,72,159,2252,81,208,1173,60,2015-07-01,987f4f04,57.8365117927289,-112.309454531737
321,578,-338,900,30,123,1794,75,196,1089,57,2015-08-01,987f4f04,57.8365117927289,-112.309454531737
499,0,-102,499,107,624,1298,13,133,741,36,2015-09-01,987f4f04,57.8365117927289,-112.309454531737
189,0,234,225,37,624,655,-22,69,505,26,2015-10-01,987f4f04,57.8365117927289,-112.309454531737
0,0,252,0,17,624,335,-119,-33,315,5,2015-11-01,987f4f04,57.8365117927289,-112.309454531737
0,0,237,0,14,624,156,-175,-102,223,0,2015-12-01,987f4f04,57.8365117927289,-112.309454531737
0,0,230,0,25,624,244,-203,-110,186,5,2016-01-01,987f4f04,57.8365117927289,-112.309454531737
0,0,210,0,22,624,600,-175,-61,203,11,2016-02-01,987f4f04,57.8365117927289,-112.309454531737
0,0,190,0,18,624,1123,-124,-16,276,16,2016-03-01,987f4f04,57.8365117927289,-112.309454531737
91,0,180,91,22,624,1850,-60,59,335,34,2016-04-01,987f4f04,57.8365117927289,-112.309454531737
1010,0,160,1010,40,624,2392,16,154,617,62,2016-05-01,987f4f04,57.8365117927289,-112.309454531737
913,248,110,1161,55,230,2584,64,198,990,72,2016-06-01,987f4f04,57.8365117927289,-112.309454531737
830,274,90,1104,80,159,2367,92,213,1284,68,2016-07-01,987f4f04,57.8365117927289,-112.309454531737
583,327,70,910,58,123,1851,78,198,1135,63,2016-08-01,987f4f04,57.8365117927289,-112.309454531737
452,92,-20,544,46,103,1206,26,135,775,39,2016-09-01,987f4f04,57.8365117927289,-112.309454531737
13,0,40,13,33,128,503,-33,12,446,16,2016-10-01,987f4f04,57.8365117927289,-112.309454531737
0,0,0,0,25,128,306,-88,-13,416,8,2016-11-01,987f4f04,57.8365117927289,-112.309454531737
0,0,0,0,23,128,177,-227,-139,137,3,2016-12-01,987f4f04,57.8365117927289,-112.309454531737
0,0,50,0,23,128,276,-211,-99,156,4,2017-01-01,987f4f04,57.8365117927289,-112.309454531737
0,0,50,0,22,128,612,-180,-73,185,10,2017-02-01,987f4f04,57.8365117927289,-112.309454531737
0,0,50,0,19,128,1344,-178,-62,235,8,2017-03-01,987f4f04,57.8365117927289,-112.309454531737
39,0,80,39,25,224,2079,-65,48,310,33,2017-04-01,987f4f04,57.8365117927289,-112.309454531737
1040,0,60,1040,39,624,2482,12,147,558,64,2017-05-01,987f4f04,57.8365117927289,-112.309454531737
888,208,-20,1096,56,267,2554,54,178,893,67,2017-06-01,987f4f04,57.8365117927289,-112.309454531737
867,318,-20,1185,82,174,2501,89,216,1210,76,2017-07-01,987f4f04,57.8365117927289,-112.309454531737
576,505,-100,1081,56,132,2098,77,216,1082,77,2017-08-01,987f4f04,57.8365117927289,-112.309454531737
447,167,-150,614,44,107,1343,30,157,835,47,2017-09-01,987f4f04,57.8365117927289,-112.309454531737
138,0,-140,138,32,179,526,-28,48,466,21,2017-10-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-150,0,26,179,291,-177,-96,196,5,2017-11-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-160,0,23,179,185,-209,-100,195,2,2017-12-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-140,0,25,179,232,-230,-137,154,3,2018-01-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-120,0,22,179,701,-245,-113,105,8,2018-02-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-110,0,18,179,1366,-178,-43,187,14,2018-03-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-70,0,23,179,2058,-105,30,258,29,2018-04-01,987f4f04,57.8365117927289,-112.309454531737
1100,0,-100,1100,37,624,2592,15,165,576,76,2018-05-01,987f4f04,57.8365117927289,-112.309454531737
802,150,-90,952,57,366,2062,66,188,1055,49,2018-06-01,987f4f04,57.8365117927289,-112.309454531737
925,187,-80,1112,82,217,2225,86,207,1168,56,2018-07-01,987f4f04,57.8365117927289,-112.309454531737
603,322,-100,925,57,153,1946,65,190,1043,67,2018-08-01,987f4f04,57.8365117927289,-112.309454531737
445,0,-80,445,47,153,1397,-23,83,543,28,2018-09-01,987f4f04,57.8365117927289,-112.309454531737
18,0,30,18,29,170,725,-58,38,366,25,2018-10-01,987f4f04,57.8365117927289,-112.309454531737
0,0,0,0,26,170,251,-141,-82,257,2,2018-11-01,987f4f04,57.8365117927289,-112.309454531737
0,0,10,0,24,170,162,-189,-102,195,3,2018-12-01,987f4f04,57.8365117927289,-112.309454531737
0,0,100,0,33,170,242,-238,-133,115,4,2019-01-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-50,0,10,170,668,-285,-162,52,6,2019-02-01,987f4f04,57.8365117927289,-112.309454531737
0,0,-120,0,4,170,1369,-114,21,240,25,2019-03-01,987f4f04,57.8365117927289,-112.309454531737
311,0,-140,311,20,538,1933,-52,73,303,42,2019-04-01,987f4f04,57.8365117927289,-112.309454531737
966,114,-250,1080,14,382,2707,0,129,391,66,2019-05-01,987f4f04,57.8365117927289,-112.309454531737
721,378,-270,1099,58,207,2485,52,181,881,61,2019-06-01,987f4f04,57.8365117927289,-112.309454531737
693,422,-290,1115,67,149,2351,82,204,1134,61,2019-07-01,987f4f04,57.8365117927289,-112.309454531737
722,0,300,722,141,624,1581,55,177,1106,36,2019-08-01,987f4f04,57.8365117927289,-112.309454531737
