aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,133,0,24,148,316,-191,-76,269,0,2015-01-01,9b37275d,55.8009928595324,-112.825692529821
0,0,196,0,39,148,666,-211,-82,218,0,2015-02-01,9b37275d,55.8009928595324,-112.825692529821
0,0,161,0,8,148,1302,-109,31,369,15,2015-03-01,9b37275d,55.8009928595324,-112.825692529821
720,0,157,757,32,793,2073,-40,108,395,48,2015-04-01,9b37275d,55.8009928595324,-112.825692529821
679,601,-172,1280,15,309,2795,6,175,533,79,2015-05-01,9b37275d,55.8009928595324,-112.825692529821
688,706,-222,1394,62,214,2840,74,225,1003,88,2015-06-01,9b37275d,55.8009928595324,-112.825692529821
862,476,-254,1338,86,166,2635,97,233,1268,77,2015-07-01,9b37275d,55.8009928595324,-112.825692529821
340,667,-328,1007,33,136,1950,86,221,1205,69,2015-08-01,9b37275d,55.8009928595324,-112.825692529821
534,0,-134,534,104,587,1350,28,155,874,38,2015-09-01,9b37275d,55.8009928595324,-112.825692529821
321,29,-72,355,31,557,813,-7,116,633,35,2015-10-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-68,0,13,557,384,-89,5,409,7,2015-11-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-66,0,14,557,231,-151,-63,284,0,2015-12-01,9b37275d,55.8009928595324,-112.825692529821
0,0,170,0,33,500,322,-179,-75,265,1,2016-01-01,9b37275d,55.8009928595324,-112.825692529821
0,0,180,0,18,500,679,-155,-28,310,8,2016-02-01,9b37275d,55.8009928595324,-112.825692529821
0,0,190,0,17,500,1194,-92,21,384,15,2016-03-01,9b37275d,55.8009928595324,-112.825692529821
616,0,140,616,17,840,1903,-37,101,453,48,2016-04-01,9b37275d,55.8009928595324,-112.825692529821
961,172,130,1133,64,545,2437,26,182,700,77,2016-05-01,9b37275d,55.8009928595324,-112.825692529821
800,471,60,1271,57,285,2620,77,220,1072,82,2016-06-01,9b37275d,55.8009928595324,-112.825692529821
955,247,-10,1202,92,203,2491,103,229,1376,76,2016-07-01,9b37275d,55.8009928595324,-112.825692529821
671,280,-80,951,66,159,1805,88,217,1252,62,2016-08-01,9b37275d,55.8009928595324,-112.825692529821
390,196,-100,586,38,132,1259,35,159,893,42,2016-09-01,9b37275d,55.8009928595324,-112.825692529821
150,0,110,150,49,387,553,-18,49,566,15,2016-10-01,9b37275d,55.8009928595324,-112.825692529821
4,0,80,4,11,397,368,-56,32,495,9,2016-11-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-20,0,14,397,233,-202,-99,181,3,2016-12-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-90,0,10,397,346,-190,-69,224,0,2017-01-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-90,0,18,397,702,-167,-46,260,5,2017-02-01,9b37275d,55.8009928595324,-112.825692529821
0,0,70,0,31,397,1353,-148,-28,324,7,2017-03-01,9b37275d,55.8009928595324,-112.825692529821
446,0,170,446,49,840,1840,-40,83,431,29,2017-04-01,9b37275d,55.8009928595324,-112.825692529821
992,157,230,1149,56,570,2393,24,178,650,77,2017-05-01,9b37275d,55.8009928595324,-112.825692529821
947,225,250,1172,77,351,2475,69,201,990,76,2017-06-01,9b37275d,55.8009928595324,-112.825692529821
1178,142,270,1320,116,278,2642,101,236,1267,81,2017-07-01,9b37275d,55.8009928595324,-112.825692529821
524,621,160,1145,47,199,2079,85,234,1164,78,2017-08-01,9b37275d,55.8009928595324,-112.825692529821
281,393,60,674,25,157,1394,39,181,935,47,2017-09-01,9b37275d,55.8009928595324,-112.825692529821
373,0,90,373,42,186,653,-14,86,557,27,2017-10-01,9b37275d,55.8009928595324,-112.825692529821
0,0,100,0,25,186,365,-142,-51,288,5,2017-11-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-110,0,12,186,262,-183,-65,233,2,2017-12-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-90,0,34,186,332,-209,-103,234,1,2018-01-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-100,0,11,186,816,-240,-91,161,5,2018-02-01,9b37275d,55.8009928595324,-112.825692529821
0,0,-70,0,15,186,1384,-150,-11,284,14,2018-03-01,9b37275d,55.8009928595324,-112.825692529821
37,0,110,37,31,246,2152,-85,65,362,32,2018-04-01,9b37275d,55.8009928595324,-112.825692529821
1284,0,-50,1284,28,341,2728,33,201,689,98,2018-05-01,9b37275d,55.8009928595324,-112.825692529821
992,134,120,1126,97,273,2153,79,210,1070,61,2018-06-01,9b37275d,55.8009928595324,-112.825692529821
1152,65,160,1217,119,248,2362,96,226,1256,59,2018-07-01,9b37275d,55.8009928595324,-112.825692529821
598,427,100,1025,56,185,2025,78,212,1161,70,2018-08-01,9b37275d,55.8009928595324,-112.825692529821
474,0,130,474,54,221,1316,-6,106,692,25,2018-09-01,9b37275d,55.8009928595324,-112.825692529821
177,42,120,219,17,208,762,-42,76,476,24,2018-10-01,9b37275d,55.8009928595324,-112.825692529821
0,0,130,0,27,208,299,-108,-36,349,2,2018-11-01,9b37275d,55.8009928595324,-112.825692529821
0,0,120,0,24,208,223,-161,-62,251,3,2018-12-01,9b37275d,55.8009928595324,-112.825692529821
0,0,130,0,31,208,311,-202,-84,206,2,2019-01-01,9b37275d,55.8009928595324,-112.825692529821
0,0,120,0,12,208,791,-294,-154,91,3,2019-02-01,9b37275d,55.8009928595324,-112.825692529821
0,0,70,0,2,208,1541,-111,29,303,21,2019-03-01,9b37275d,55.8009928595324,-112.825692529821
711,0,-50,711,15,502,2035,-35,104,395,47,2019-04-01,9b37275d,55.8009928595324,-112.825692529821
347,867,-280,1214,8,276,2762,19,165,494,80,2019-05-01,9b37275d,55.8009928595324,-112.825692529821
796,348,-250,1144,76,199,2409,70,204,1043,66,2019-06-01,9b37275d,55.8009928595324,-112.825692529821
1025,36,-170,1061,107,189,2209,91,219,1351,55,2019-07-01,9b37275d,55.8009928595324,-112.825692529821
819,0,270,819,141,707,1743,65,197,1233,40,2019-08-01,9b37275d,55.8009928595324,-112.825692529821
457,76,280,533,38,607,1304,39,161,971,35,2019-09-01,9b37275d,55.8009928595324,-112.825692529821
137,0,390,137,47,772,639,-44,63,480,22,2019-10-01,9b37275d,55.8009928595324,-112.825692529821
0,0,400,0,17,772,357,-97,-5,351,9,2019-11-01,9b37275d,55.8009928595324,-112.825692529821
0,0,390,0,8,772,246,-169,-60,220,6,2019-12-01,9b37275d,55.8009928595324,-112.825692529821
