aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,198,0,28,284,158,-232,-146,166,0,2015-01-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,309,0,39,284,432,-248,-137,121,3,2015-02-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,271,0,20,284,1127,-180,-35,213,10,2015-03-01,9b3d5274,60.6182193936596,-118.26172893943
44,0,229,164,17,527,2008,-63,71,327,37,2015-04-01,9b3d5274,60.6182193936596,-118.26172893943
1277,0,90,1277,12,527,2854,14,176,491,86,2015-05-01,9b3d5274,60.6182193936596,-118.26172893943
617,794,-196,1411,30,194,2700,77,230,938,100,2015-06-01,9b3d5274,60.6182193936596,-118.26172893943
580,585,-159,1165,55,134,2169,101,228,1208,81,2015-07-01,9b3d5274,60.6182193936596,-118.26172893943
564,341,-85,905,56,104,1698,82,211,1145,65,2015-08-01,9b3d5274,60.6182193936596,-118.26172893943
96,387,-201,482,8,85,1073,20,139,763,39,2015-09-01,9b3d5274,60.6182193936596,-118.26172893943
27,0,-236,63,15,157,447,-26,45,540,14,2015-10-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-257,0,27,157,203,-148,-64,292,0,2015-11-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-259,0,27,157,84,-216,-147,214,0,2015-12-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-270,0,17,104,156,-214,-142,158,0,2016-01-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-210,0,22,104,451,-203,-101,176,6,2016-02-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-180,0,22,104,1045,-158,-38,240,11,2016-03-01,9b3d5274,60.6182193936596,-118.26172893943
36,0,-160,36,15,184,1767,-66,51,369,26,2016-04-01,9b3d5274,60.6182193936596,-118.26172893943
1041,0,-140,1041,30,527,2334,31,174,658,73,2016-05-01,9b3d5274,60.6182193936596,-118.26172893943
796,510,-120,1306,49,194,2650,85,230,1065,90,2016-06-01,9b3d5274,60.6182193936596,-118.26172893943
539,631,-120,1170,50,134,2209,108,242,1366,77,2016-07-01,9b3d5274,60.6182193936596,-118.26172893943
509,417,-70,926,50,104,1775,87,219,1226,67,2016-08-01,9b3d5274,60.6182193936596,-118.26172893943
440,89,40,529,44,85,1017,27,147,832,36,2016-09-01,9b3d5274,60.6182193936596,-118.26172893943
5,0,100,5,23,100,480,-42,13,523,12,2016-10-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,70,0,23,100,235,-124,-46,333,1,2016-11-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,-10,0,23,100,89,-252,-176,121,1,2016-12-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,70,0,22,100,163,-230,-132,131,0,2017-01-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,80,0,19,100,408,-220,-116,162,5,2017-02-01,9b3d5274,60.6182193936596,-118.26172893943
0,0,100,0,27,100,1129,-213,-89,207,6,2017-03-01,9b3d5274,60.6182193936596,-118.26172893943
21,0,90,21,15,153,2083,-75,47,338,31,2017-04-01,9b3d5274,60.6182193936596,-118.26172893943
