aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,458,0,37,483,483,-265,-125,153,0,2015-01-01,9badcc70,50.16707394628,-89.2498161269272
0,0,461,0,46,483,967,-316,-148,64,6,2015-02-01,9badcc70,50.16707394628,-89.2498161269272
0,0,386,0,38,483,1395,-171,-6,261,11,2015-03-01,9badcc70,50.16707394628,-89.2498161269272
16,0,324,100,38,483,1997,-76,75,394,30,2015-04-01,9badcc70,50.16707394628,-89.2498161269272
891,0,471,891,133,483,2148,-1,152,737,43,2015-05-01,9badcc70,50.16707394628,-89.2498161269272
972,140,448,1111,77,243,2420,56,216,1129,62,2015-06-01,9badcc70,50.16707394628,-89.2498161269272
1229,93,488,1322,123,182,2479,110,257,1535,78,2015-07-01,9badcc70,50.16707394628,-89.2498161269272
689,163,431,852,67,125,1643,94,225,1490,47,2015-08-01,9badcc70,50.16707394628,-89.2498161269272
610,0,358,610,69,169,1502,67,201,1327,35,2015-09-01,9badcc70,50.16707394628,-89.2498161269272
285,0,321,292,72,483,804,-12,97,673,21,2015-10-01,9badcc70,50.16707394628,-89.2498161269272
0,0,469,2,111,483,325,-57,33,596,0,2015-11-01,9badcc70,50.16707394628,-89.2498161269272
0,0,470,0,52,483,262,-129,-38,412,0,2015-12-01,9badcc70,50.16707394628,-89.2498161269272
0,0,410,0,31,483,406,-228,-109,214,2,2016-01-01,9badcc70,50.16707394628,-89.2498161269272
0,0,380,0,35,483,887,-227,-78,191,7,2016-02-01,9badcc70,50.16707394628,-89.2498161269272
0,0,390,0,63,483,1558,-140,22,352,16,2016-03-01,9badcc70,50.16707394628,-89.2498161269272
20,0,400,20,60,483,2008,-86,54,413,23,2016-04-01,9badcc70,50.16707394628,-89.2498161269272
931,0,330,931,53,483,2322,8,165,719,55,2016-05-01,9badcc70,50.16707394628,-89.2498161269272
937,92,290,1029,82,324,2269,64,210,1151,62,2016-06-01,9badcc70,50.16707394628,-89.2498161269272
1120,105,290,1225,107,224,2421,112,251,1539,91,2016-07-01,9badcc70,50.16707394628,-89.2498161269272
951,11,300,962,100,218,1875,103,239,1572,68,2016-08-01,9badcc70,50.16707394628,-89.2498161269272
547,0,320,547,96,483,1240,71,182,1274,39,2016-09-01,9badcc70,50.16707394628,-89.2498161269272
287,0,300,287,59,483,647,7,100,793,22,2016-10-01,9badcc70,50.16707394628,-89.2498161269272
30,0,220,30,21,483,417,-43,55,639,10,2016-11-01,9badcc70,50.16707394628,-89.2498161269272
