aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,210,0,36,81,284,-162,-71,252,2,2015-01-01,a1feb180,56.2642391401838,-117.533230926209
0,0,321,0,49,81,601,-162,-73,207,6,2015-02-01,a1feb180,56.2642391401838,-117.533230926209
0,0,286,0,17,81,1219,-97,24,318,19,2015-03-01,a1feb180,56.2642391401838,-117.533230926209
813,0,210,837,15,554,2046,-26,105,373,52,2015-04-01,a1feb180,56.2642391401838,-117.533230926209
549,876,-218,1425,16,204,2766,23,186,532,90,2015-05-01,a1feb180,56.2642391401838,-117.533230926209
519,966,-269,1486,48,141,2738,76,226,891,101,2015-06-01,a1feb180,56.2642391401838,-117.533230926209
693,775,-255,1468,70,109,2628,86,241,1130,94,2015-07-01,a1feb180,56.2642391401838,-117.533230926209
713,401,-167,1114,73,90,1974,78,225,1098,80,2015-08-01,a1feb180,56.2642391401838,-117.533230926209
112,540,-253,651,10,76,1368,17,160,782,48,2015-09-01,a1feb180,56.2642391401838,-117.533230926209
165,249,-275,420,16,67,771,-12,118,590,39,2015-10-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-270,0,26,67,372,-113,-8,340,8,2015-11-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-244,0,26,67,203,-161,-74,260,0,2015-12-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-240,0,27,67,288,-165,-77,257,5,2016-01-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-190,0,22,67,594,-129,-31,284,15,2016-02-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-180,0,17,67,1185,-82,14,346,19,2016-03-01,a1feb180,56.2642391401838,-117.533230926209
730,0,-190,730,17,554,1965,-19,105,431,58,2016-04-01,a1feb180,56.2642391401838,-117.533230926209
710,515,-250,1225,35,204,2367,29,183,620,79,2016-05-01,a1feb180,56.2642391401838,-117.533230926209
714,592,-210,1306,69,141,2412,74,220,951,83,2016-06-01,a1feb180,56.2642391401838,-117.533230926209
652,622,-180,1274,65,109,2450,95,234,1241,76,2016-07-01,a1feb180,56.2642391401838,-117.533230926209
515,490,-150,1005,52,90,1712,83,223,1150,58,2016-08-01,a1feb180,56.2642391401838,-117.533230926209
394,302,-140,696,40,76,1282,27,164,802,49,2016-09-01,a1feb180,56.2642391401838,-117.533230926209
232,0,-90,232,25,76,577,-25,63,518,17,2016-10-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-80,0,29,76,339,-74,22,460,10,2016-11-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-80,0,21,76,197,-206,-109,162,3,2016-12-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-80,0,27,76,277,-177,-69,202,4,2017-01-01,a1feb180,56.2642391401838,-117.533230926209
0,0,20,0,22,76,647,-159,-60,209,10,2017-02-01,a1feb180,56.2642391401838,-117.533230926209
0,0,0,0,18,76,1299,-139,-34,276,10,2017-03-01,a1feb180,56.2642391401838,-117.533230926209
551,0,0,551,17,554,1773,-32,83,387,36,2017-04-01,a1feb180,56.2642391401838,-117.533230926209
826,415,-40,1241,35,204,2333,31,182,599,81,2017-05-01,a1feb180,56.2642391401838,-117.533230926209
727,607,10,1334,70,141,2596,67,203,846,88,2017-06-01,a1feb180,56.2642391401838,-117.533230926209
667,770,-20,1437,67,109,2767,90,232,1110,89,2017-07-01,a1feb180,56.2642391401838,-117.533230926209
486,779,-80,1265,49,90,2149,77,239,1060,84,2017-08-01,a1feb180,56.2642391401838,-117.533230926209
371,416,-100,787,38,76,1364,33,188,852,57,2017-09-01,a1feb180,56.2642391401838,-117.533230926209
251,209,-110,460,25,67,668,-17,93,508,36,2017-10-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-100,0,31,67,310,-148,-49,260,6,2017-11-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-100,0,21,67,239,-187,-72,227,3,2017-12-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-100,0,28,67,285,-184,-96,217,3,2018-01-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-70,0,22,67,717,-216,-93,129,9,2018-02-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-60,0,18,67,1336,-139,-16,236,17,2018-03-01,a1feb180,56.2642391401838,-117.533230926209
137,0,50,137,17,220,2077,-65,68,312,42,2018-04-01,a1feb180,56.2642391401838,-117.533230926209
1356,78,90,1434,34,182,2751,39,201,619,124,2018-05-01,a1feb180,56.2642391401838,-117.533230926209
700,533,100,1233,68,131,2122,73,207,922,78,2018-06-01,a1feb180,56.2642391401838,-117.533230926209
632,691,80,1323,64,103,2230,89,235,1110,72,2018-07-01,a1feb180,56.2642391401838,-117.533230926209
502,635,60,1137,51,86,1998,72,220,1050,78,2018-08-01,a1feb180,56.2642391401838,-117.533230926209
370,223,60,593,38,74,1312,-13,123,617,35,2018-09-01,a1feb180,56.2642391401838,-117.533230926209
237,122,60,359,24,64,749,-39,87,438,32,2018-10-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-10,0,30,64,293,-106,-26,340,4,2018-11-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-20,0,21,64,191,-163,-67,252,3,2018-12-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-60,0,22,64,249,-165,-63,226,5,2019-01-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-60,0,17,64,752,-285,-174,44,6,2019-02-01,a1feb180,56.2642391401838,-117.533230926209
0,0,-130,0,3,64,1451,-109,14,259,21,2019-03-01,a1feb180,56.2642391401838,-117.533230926209
753,0,-170,753,11,244,1854,-30,99,348,51,2019-04-01,a1feb180,56.2642391401838,-117.533230926209
198,1122,-350,1320,8,157,2518,30,174,469,91,2019-05-01,a1feb180,56.2642391401838,-117.533230926209
691,529,-290,1220,69,118,2332,63,201,915,74,2019-06-01,a1feb180,56.2642391401838,-117.533230926209
1062,0,330,1062,151,489,2142,78,218,1279,56,2019-07-01,a1feb180,56.2642391401838,-117.533230926209
753,75,510,828,68,383,1722,55,197,1161,44,2019-08-01,a1feb180,56.2642391401838,-117.533230926209
481,133,540,614,37,251,1191,29,166,877,45,2019-09-01,a1feb180,56.2642391401838,-117.533230926209
294,0,560,294,33,251,678,-40,77,469,29,2019-10-01,a1feb180,56.2642391401838,-117.533230926209
0,0,540,0,29,251,326,-114,-14,320,9,2019-11-01,a1feb180,56.2642391401838,-117.533230926209
0,0,500,0,15,251,199,-167,-66,221,5,2019-12-01,a1feb180,56.2642391401838,-117.533230926209
