aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,797,0,44,276,409,-299,-180,116,0,2015-01-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,754,0,39,276,927,-348,-216,54,2,2015-02-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,732,0,42,276,1469,-225,-75,199,3,2015-03-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,730,0,53,276,1853,-99,26,407,11,2015-04-01,a32f4440,52.9445689742185,-85.2793383945554
778,0,708,788,62,276,2274,-5,118,656,33,2015-05-01,a32f4440,52.9445689742185,-85.2793383945554
774,330,597,1104,59,101,2732,56,187,1021,51,2015-06-01,a32f4440,52.9445689742185,-85.2793383945554
531,531,453,1062,53,70,2204,101,223,1448,52,2015-07-01,a32f4440,52.9445689742185,-85.2793383945554
755,0,490,755,113,276,1647,98,202,1439,36,2015-08-01,a32f4440,52.9445689742185,-85.2793383945554
466,0,432,466,54,276,1360,62,166,1212,21,2015-09-01,a32f4440,52.9445689742185,-85.2793383945554
150,0,392,176,51,276,726,-22,70,632,13,2015-10-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,277,0,29,276,257,-72,0,523,0,2015-11-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,293,0,49,276,236,-151,-79,379,0,2015-12-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,270,0,39,276,344,-252,-149,175,1,2016-01-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,240,0,30,276,844,-276,-140,147,2,2016-02-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,170,0,16,276,1623,-195,-48,249,6,2016-03-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,110,0,21,276,2031,-121,6,335,10,2016-04-01,a32f4440,52.9445689742185,-85.2793383945554
744,0,130,744,57,276,2276,1,129,691,45,2016-05-01,a32f4440,52.9445689742185,-85.2793383945554
923,36,160,959,89,214,2238,62,186,1040,56,2016-06-01,a32f4440,52.9445689742185,-85.2793383945554
754,317,110,1071,67,99,2329,102,219,1410,65,2016-07-01,a32f4440,52.9445689742185,-85.2793383945554
821,19,110,840,86,90,1769,99,213,1433,58,2016-08-01,a32f4440,52.9445689742185,-85.2793383945554
480,0,230,480,123,276,1179,62,157,1131,28,2016-09-01,a32f4440,52.9445689742185,-85.2793383945554
213,0,270,213,71,276,549,-8,74,703,12,2016-10-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,220,0,43,276,308,-61,13,505,5,2016-11-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,240,0,50,276,258,-220,-130,220,0,2016-12-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,200,0,32,276,300,-231,-137,185,0,2017-01-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,250,0,45,276,746,-247,-120,187,1,2017-02-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,190,0,20,276,1448,-212,-60,209,5,2017-03-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,220,0,47,276,1937,-91,35,395,17,2017-04-01,a32f4440,52.9445689742185,-85.2793383945554
685,0,240,685,54,276,2228,-1,108,662,38,2017-05-01,a32f4440,52.9445689742185,-85.2793383945554
1032,1,280,1033,105,274,2498,70,189,1024,57,2017-06-01,a32f4440,52.9445689742185,-85.2793383945554
641,568,160,1209,49,101,2668,88,217,1244,88,2017-07-01,a32f4440,52.9445689742185,-85.2793383945554
381,482,-210,863,37,70,1985,79,191,1211,54,2017-08-01,a32f4440,52.9445689742185,-85.2793383945554
472,0,-140,472,96,276,1179,61,156,1107,32,2017-09-01,a32f4440,52.9445689742185,-85.2793383945554
237,0,-210,237,27,276,699,-3,79,717,20,2017-10-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-200,0,46,276,400,-127,-45,339,5,2017-11-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-160,0,43,276,309,-251,-150,194,0,2017-12-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-110,0,43,276,395,-283,-170,135,0,2018-01-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-110,0,28,276,859,-303,-161,120,1,2018-02-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-150,0,14,276,1495,-217,-57,193,6,2018-03-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,-190,0,17,276,2252,-143,-5,275,14,2018-04-01,a32f4440,52.9445689742185,-85.2793383945554
824,0,-120,824,71,276,2432,-3,136,658,43,2018-05-01,a32f4440,52.9445689742185,-85.2793383945554
486,636,-220,1122,33,101,2775,62,192,978,82,2018-06-01,a32f4440,52.9445689742185,-85.2793383945554
1068,0,-100,1068,129,263,2214,106,226,1440,62,2018-07-01,a32f4440,52.9445689742185,-85.2793383945554
884,18,120,902,90,235,1925,85,209,1314,52,2018-08-01,a32f4440,52.9445689742185,-85.2793383945554
451,0,270,451,115,276,1152,39,141,1007,27,2018-09-01,a32f4440,52.9445689742185,-85.2793383945554
28,0,300,28,49,276,566,-35,31,541,8,2018-10-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,250,0,45,276,330,-140,-64,333,-1,2018-11-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,180,0,26,276,281,-203,-104,241,-1,2018-12-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,130,0,29,276,398,-297,-183,95,0,2019-01-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,100,0,25,276,846,-278,-144,114,2,2019-02-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,170,0,47,276,1355,-196,-54,215,6,2019-03-01,a32f4440,52.9445689742185,-85.2793383945554
0,0,120,0,23,276,2127,-95,24,339,17,2019-04-01,a32f4440,52.9445689742185,-85.2793383945554
741,0,80,741,37,276,2261,-6,112,598,36,2019-05-01,a32f4440,52.9445689742185,-85.2793383945554
884,40,80,924,83,207,2119,66,185,1032,53,2019-06-01,a32f4440,52.9445689742185,-85.2793383945554
1120,0,270,1120,172,276,2198,116,233,1462,66,2019-07-01,a32f4440,52.9445689742185,-85.2793383945554
878,37,280,915,86,213,1749,101,213,1391,50,2019-08-01,a32f4440,52.9445689742185,-85.2793383945554
