aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,267,0,15,173,38,-272,-204,123,0,2015-01-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,232,0,13,173,227,-280,-198,95,0,2015-02-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,223,0,11,173,878,-244,-140,124,2,2015-03-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,289,0,20,173,1791,-126,-29,202,16,2015-04-01,a3cb8c7a,67.3049172797324,-128.935922701628
912,0,65,924,3,345,2558,-1,112,508,46,2015-05-01,a3cb8c7a,67.3049172797324,-128.935922701628
550,713,-190,1263,34,127,2323,81,198,839,86,2015-06-01,a3cb8c7a,67.3049172797324,-128.935922701628
508,515,-94,1023,49,88,1721,98,198,1084,69,2015-07-01,a3cb8c7a,67.3049172797324,-128.935922701628
439,176,117,615,44,68,1278,60,159,1019,35,2015-08-01,a3cb8c7a,67.3049172797324,-128.935922701628
242,0,199,254,42,220,490,-5,74,625,19,2015-09-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,218,0,28,220,292,-68,-15,418,4,2015-10-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,274,0,22,220,66,-207,-136,135,3,2015-11-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,218,0,8,220,8,-257,-186,77,3,2015-12-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,170,0,13,170,33,-250,-173,0,5,2016-01-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,180,0,18,170,256,-249,-165,8,5,2016-02-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,200,0,15,170,811,-222,-127,42,8,2016-03-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,170,0,7,170,1789,-119,-10,212,15,2016-04-01,a3cb8c7a,67.3049172797324,-128.935922701628
752,0,-110,752,9,345,2121,-3,98,448,51,2016-05-01,a3cb8c7a,67.3049172797324,-128.935922701628
511,746,-160,1257,29,127,2435,84,197,781,86,2016-06-01,a3cb8c7a,67.3049172797324,-128.935922701628
577,615,-60,1192,57,88,2064,103,211,1065,73,2016-07-01,a3cb8c7a,67.3049172797324,-128.935922701628
406,407,-80,813,41,68,1425,71,176,950,51,2016-08-01,a3cb8c7a,67.3049172797324,-128.935922701628
352,23,20,375,37,63,801,2,90,623,28,2016-09-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-140,0,7,63,374,-101,-30,324,10,2016-10-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-240,0,14,63,68,-216,-140,98,5,2016-11-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-350,0,13,63,9,-295,-218,49,3,2016-12-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-250,0,41,63,37,-299,-218,0,5,2017-01-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-110,0,31,63,213,-289,-205,0,5,2017-02-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-120,0,7,63,942,-286,-178,33,6,2017-03-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-140,0,4,63,1854,-138,-24,189,15,2017-04-01,a3cb8c7a,67.3049172797324,-128.935922701628
706,0,-160,706,16,345,2212,-13,85,438,45,2017-05-01,a3cb8c7a,67.3049172797324,-128.935922701628
387,910,-280,1297,13,127,2738,81,196,794,82,2017-06-01,a3cb8c7a,67.3049172797324,-128.935922701628
244,1083,-370,1327,22,88,2424,103,217,1044,88,2017-07-01,a3cb8c7a,67.3049172797324,-128.935922701628
424,451,-360,875,43,68,1614,74,180,922,60,2017-08-01,a3cb8c7a,67.3049172797324,-128.935922701628
413,0,-270,413,45,80,656,13,98,615,25,2017-09-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-260,0,23,80,272,-83,-21,325,7,2017-10-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-280,0,12,80,59,-244,-170,89,3,2017-11-01,a3cb8c7a,67.3049172797324,-128.935922701628
0,0,-280,0,16,80,9,-242,-167,49,3,2017-12-01,a3cb8c7a,67.3049172797324,-128.935922701628
