aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,259,0,31,304,416,-288,-174,120,0,2015-01-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,267,0,28,304,928,-338,-217,49,2,2015-02-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,233,0,26,304,1486,-206,-63,202,5,2015-03-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,206,0,34,304,1838,-94,28,389,14,2015-04-01,a4f5426a,53.2890334058211,-87.510418985865
728,0,280,741,73,304,2334,-12,105,638,28,2015-05-01,a4f5426a,53.2890334058211,-87.510418985865
927,105,276,1033,75,123,2577,53,178,997,47,2015-06-01,a4f5426a,53.2890334058211,-87.510418985865
1036,0,357,1036,122,242,2184,102,215,1425,49,2015-07-01,a4f5426a,53.2890334058211,-87.510418985865
636,8,334,644,66,232,1595,89,183,1403,22,2015-08-01,a4f5426a,53.2890334058211,-87.510418985865
432,0,348,432,77,304,1301,61,155,1172,19,2015-09-01,a4f5426a,53.2890334058211,-87.510418985865
122,0,338,158,61,304,697,-21,62,611,13,2015-10-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,433,0,76,304,268,-72,-7,499,0,2015-11-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,386,0,32,304,238,-152,-85,359,0,2015-12-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,350,0,32,304,350,-249,-151,166,1,2016-01-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,270,0,13,304,893,-271,-144,140,2,2016-02-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,210,0,18,304,1584,-187,-43,250,8,2016-03-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,190,0,37,304,2064,-111,13,338,12,2016-04-01,a4f5426a,53.2890334058211,-87.510418985865
735,0,170,735,48,304,2261,2,120,665,44,2016-05-01,a4f5426a,53.2890334058211,-87.510418985865
839,46,160,885,78,225,2203,58,170,1013,51,2016-06-01,a4f5426a,53.2890334058211,-87.510418985865
951,71,160,1022,92,148,2331,105,207,1399,61,2016-07-01,a4f5426a,53.2890334058211,-87.510418985865
746,0,160,746,83,190,1738,92,191,1392,42,2016-08-01,a4f5426a,53.2890334058211,-87.510418985865
437,0,150,437,79,304,1139,63,144,1104,23,2016-09-01,a4f5426a,53.2890334058211,-87.510418985865
175,0,160,175,59,304,522,-9,60,680,8,2016-10-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,150,0,46,304,341,-62,13,494,4,2016-11-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,170,0,40,304,263,-222,-135,199,0,2016-12-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,150,0,31,304,325,-235,-140,161,0,2017-01-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,220,0,37,304,785,-240,-120,178,1,2017-02-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,220,0,33,304,1448,-209,-60,205,6,2017-03-01,a4f5426a,53.2890334058211,-87.510418985865
0,0,280,0,56,304,1944,-89,35,386,18,2017-04-01,a4f5426a,53.2890334058211,-87.510418985865
