aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,886,0,57,436,453,-283,-154,146,0,2015-01-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,842,0,56,436,1018,-328,-184,76,2,2015-02-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,823,0,63,436,1501,-198,-38,252,4,2015-03-01,a5d01aeb,50.8889388224044,-85.2563604464949
1,0,821,23,67,436,1880,-80,53,437,18,2015-04-01,a5d01aeb,50.8889388224044,-85.2563604464949
877,0,799,877,92,436,2225,10,148,758,42,2015-05-01,a5d01aeb,50.8889388224044,-85.2563604464949
925,163,691,1088,68,160,2540,61,203,1117,55,2015-06-01,a5d01aeb,50.8889388224044,-85.2563604464949
560,657,536,1217,54,111,2443,109,244,1522,67,2015-07-01,a5d01aeb,50.8889388224044,-85.2563604464949
823,0,572,823,121,436,1661,102,220,1509,45,2015-08-01,a5d01aeb,50.8889388224044,-85.2563604464949
564,0,483,564,62,436,1491,75,193,1345,30,2015-09-01,a5d01aeb,50.8889388224044,-85.2563604464949
207,0,429,214,56,436,775,-14,88,703,14,2015-10-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,312,2,39,436,322,-56,24,596,0,2015-11-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,329,0,60,436,255,-122,-48,445,0,2015-12-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,330,0,58,436,389,-233,-126,226,1,2016-01-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,320,0,49,436,870,-239,-105,197,4,2016-02-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,250,0,33,436,1634,-157,-9,339,10,2016-03-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,240,0,43,436,2069,-95,38,415,18,2016-04-01,a5d01aeb,50.8889388224044,-85.2563604464949
832,0,220,832,69,436,2282,12,156,772,52,2016-05-01,a5d01aeb,50.8889388224044,-85.2563604464949
950,58,200,1008,90,336,2334,64,202,1134,64,2016-06-01,a5d01aeb,50.8889388224044,-85.2563604464949
995,132,200,1127,89,182,2362,111,239,1530,81,2016-07-01,a5d01aeb,50.8889388224044,-85.2563604464949
856,30,190,886,88,167,1762,107,235,1595,64,2016-08-01,a5d01aeb,50.8889388224044,-85.2563604464949
536,0,170,536,82,412,1257,75,180,1273,35,2016-09-01,a5d01aeb,50.8889388224044,-85.2563604464949
266,0,160,266,63,436,623,7,99,799,16,2016-10-01,a5d01aeb,50.8889388224044,-85.2563604464949
8,0,150,8,67,436,379,-44,39,641,6,2016-11-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,160,0,52,436,297,-194,-102,281,0,2016-12-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,140,0,46,436,337,-210,-114,230,0,2017-01-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,130,0,42,436,778,-208,-82,244,3,2017-02-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,100,0,38,436,1566,-188,-34,269,8,2017-03-01,a5d01aeb,50.8889388224044,-85.2563604464949
114,0,110,114,54,436,1894,-62,70,495,26,2017-04-01,a5d01aeb,50.8889388224044,-85.2563604464949
727,0,130,727,68,436,2160,8,126,742,44,2017-05-01,a5d01aeb,50.8889388224044,-85.2563604464949
996,43,140,1039,97,362,2469,73,205,1134,65,2017-06-01,a5d01aeb,50.8889388224044,-85.2563604464949
944,285,110,1229,78,158,2665,96,236,1381,101,2017-07-01,a5d01aeb,50.8889388224044,-85.2563604464949
799,66,100,865,81,129,1954,80,204,1325,61,2017-08-01,a5d01aeb,50.8889388224044,-85.2563604464949
486,0,120,486,97,436,1196,67,179,1273,34,2017-09-01,a5d01aeb,50.8889388224044,-85.2563604464949
270,0,130,270,61,436,787,9,104,829,26,2017-10-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,140,0,73,436,408,-113,-29,414,4,2017-11-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,120,0,44,436,384,-237,-131,234,0,2017-12-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,110,0,47,436,456,-257,-138,186,1,2018-01-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,100,0,43,436,876,-273,-123,157,3,2018-02-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,60,0,33,436,1571,-199,-34,242,8,2018-03-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,60,0,39,436,2307,-125,22,325,20,2018-04-01,a5d01aeb,50.8889388224044,-85.2563604464949
889,0,80,889,84,436,2267,18,180,799,53,2018-05-01,a5d01aeb,50.8889388224044,-85.2563604464949
989,134,-30,1123,80,206,2635,73,215,1144,77,2018-06-01,a5d01aeb,50.8889388224044,-85.2563604464949
984,188,20,1172,95,128,2323,118,252,1570,79,2018-07-01,a5d01aeb,50.8889388224044,-85.2563604464949
774,222,-50,996,78,96,2048,98,237,1512,66,2018-08-01,a5d01aeb,50.8889388224044,-85.2563604464949
513,0,-40,513,89,425,1244,56,171,1190,30,2018-09-01,a5d01aeb,50.8889388224044,-85.2563604464949
127,0,10,127,67,436,540,-21,51,646,8,2018-10-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,20,0,67,436,362,-126,-51,396,1,2018-11-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,10,0,44,436,326,-180,-76,311,-1,2018-12-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,-20,0,36,436,456,-288,-163,109,1,2019-01-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,120,0,77,436,866,-266,-123,124,3,2019-02-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,110,0,44,436,1472,-177,-28,237,9,2019-03-01,a5d01aeb,50.8889388224044,-85.2563604464949
20,0,190,20,71,436,2054,-80,49,372,23,2019-04-01,a5d01aeb,50.8889388224044,-85.2563604464949
814,0,150,814,58,436,2182,-2,133,601,47,2019-05-01,a5d01aeb,50.8889388224044,-85.2563604464949
1008,41,140,1049,99,365,2414,66,204,1069,62,2019-06-01,a5d01aeb,50.8889388224044,-85.2563604464949
754,589,-120,1343,58,158,2561,123,258,1511,88,2019-07-01,a5d01aeb,50.8889388224044,-85.2563604464949
837,196,-150,1033,83,110,1942,97,230,1408,61,2019-08-01,a5d01aeb,50.8889388224044,-85.2563604464949
514,0,-110,514,101,436,1222,58,167,1148,27,2019-09-01,a5d01aeb,50.8889388224044,-85.2563604464949
300,0,-130,300,54,436,761,2,93,719,18,2019-10-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,-150,0,52,436,412,-114,-34,358,1,2019-11-01,a5d01aeb,50.8889388224044,-85.2563604464949
0,0,-140,0,43,436,320,-196,-89,228,0,2019-12-01,a5d01aeb,50.8889388224044,-85.2563604464949
