aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,354,0,7,226,17,-269,-209,109,0,2015-01-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,355,0,6,226,170,-281,-204,94,0,2015-02-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,369,0,7,226,719,-275,-199,112,0,2015-03-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,338,0,4,226,1693,-168,-101,285,0,2015-04-01,a6c7d474,69.5994782608725,-130.91402346617
16,0,175,95,3,299,2154,-39,38,430,20,2015-05-01,a6c7d474,69.5994782608725,-130.91402346617
717,84,161,802,18,176,2183,35,118,769,32,2015-06-01,a6c7d474,69.5994782608725,-130.91402346617
380,254,265,634,32,104,1652,67,138,1072,21,2015-07-01,a6c7d474,69.5994782608725,-130.91402346617
349,0,473,349,53,260,1176,49,107,984,10,2015-08-01,a6c7d474,69.5994782608725,-130.91402346617
76,0,552,101,22,332,534,0,38,657,5,2015-09-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,580,0,14,332,259,-61,-25,465,0,2015-10-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,598,0,7,332,38,-191,-131,180,0,2015-11-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,569,0,5,332,1,-246,-187,108,0,2015-12-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,530,0,5,300,17,-231,-156,25,3,2016-01-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,480,0,2,300,190,-266,-190,21,3,2016-02-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,490,0,8,300,678,-268,-189,51,2,2016-03-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,420,0,2,300,1751,-152,-69,207,2,2016-04-01,a6c7d474,69.5994782608725,-130.91402346617
34,0,310,34,4,305,1972,-37,21,438,18,2016-05-01,a6c7d474,69.5994782608725,-130.91402346617
706,81,300,787,17,183,2335,31,122,772,31,2016-06-01,a6c7d474,69.5994782608725,-130.91402346617
521,265,440,786,47,105,1963,70,156,1078,25,2016-07-01,a6c7d474,69.5994782608725,-130.91402346617
320,217,370,537,31,77,1262,64,129,985,19,2016-08-01,a6c7d474,69.5994782608725,-130.91402346617
229,0,350,229,25,86,685,9,55,664,18,2016-09-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,210,0,5,86,278,-77,-37,340,8,2016-10-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,160,0,7,86,37,-208,-144,128,3,2016-11-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,90,0,7,86,1,-274,-206,73,2,2016-12-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,100,0,14,86,18,-293,-222,25,1,2017-01-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,150,0,11,86,178,-284,-212,14,2,2017-02-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,170,0,6,86,763,-308,-223,33,2,2017-03-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,120,0,1,86,1892,-174,-83,186,5,2017-04-01,a6c7d474,69.5994782608725,-130.91402346617
0,0,180,0,14,86,2108,-50,9,435,9,2017-05-01,a6c7d474,69.5994782608725,-130.91402346617
725,93,90,818,9,67,2707,32,117,774,26,2017-06-01,a6c7d474,69.5994782608725,-130.91402346617
