aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-270,0,92,193,454,-319,-198,86,0,2015-01-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-345,0,7,193,982,-337,-204,47,3,2015-02-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-420,0,11,193,1531,-240,-99,144,5,2015-03-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-474,0,12,193,2067,-122,-2,344,8,2015-04-01,a7181634,52.3367633905373,-67.3503644144702
729,0,-465,746,53,193,1952,-13,98,540,34,2015-05-01,a7181634,52.3367633905373,-67.3503644144702
778,278,-504,1056,64,71,2138,48,175,847,59,2015-06-01,a7181634,52.3367633905373,-67.3503644144702
907,0,-388,907,146,193,1803,84,183,1165,44,2015-07-01,a7181634,52.3367633905373,-67.3503644144702
797,0,-356,797,107,193,1599,87,194,1268,43,2015-08-01,a7181634,52.3367633905373,-67.3503644144702
441,0,-236,441,141,193,1292,30,134,956,20,2015-09-01,a7181634,52.3367633905373,-67.3503644144702
2,0,-243,22,60,193,776,-44,34,500,11,2015-10-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-220,0,72,193,367,-113,-35,358,1,2015-11-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-290,0,30,193,298,-196,-105,295,0,2015-12-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-310,0,37,193,403,-246,-137,147,0,2016-01-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-290,0,36,193,831,-271,-129,151,1,2016-02-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-320,0,29,193,1601,-225,-88,171,4,2016-03-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-300,0,41,193,2202,-135,-14,299,8,2016-04-01,a7181634,52.3367633905373,-67.3503644144702
731,0,-320,731,49,193,2235,-10,111,602,37,2016-05-01,a7181634,52.3367633905373,-67.3503644144702
864,41,-330,905,79,122,1907,52,167,894,47,2016-06-01,a7181634,52.3367633905373,-67.3503644144702
963,0,-300,963,124,193,2045,86,189,1179,44,2016-07-01,a7181634,52.3367633905373,-67.3503644144702
808,0,-220,808,135,193,1535,79,189,1154,38,2016-08-01,a7181634,52.3367633905373,-67.3503644144702
470,0,-230,470,90,193,1110,26,123,866,19,2016-09-01,a7181634,52.3367633905373,-67.3503644144702
51,0,-140,51,97,193,649,-35,41,563,9,2016-10-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-180,0,55,193,386,-105,-26,403,0,2016-11-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-230,0,41,193,320,-247,-144,150,0,2016-12-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-200,0,53,193,428,-248,-138,167,0,2017-01-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-220,0,29,193,911,-266,-137,151,0,2017-02-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-250,0,30,193,1567,-225,-84,181,5,2017-03-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-260,0,34,193,1998,-109,1,347,11,2017-04-01,a7181634,52.3367633905373,-67.3503644144702
673,0,-260,673,58,193,2118,-17,98,570,37,2017-05-01,a7181634,52.3367633905373,-67.3503644144702
926,0,-130,926,132,193,2138,52,164,894,49,2017-06-01,a7181634,52.3367633905373,-67.3503644144702
1068,0,-90,1068,128,193,2113,79,194,1090,48,2017-07-01,a7181634,52.3367633905373,-67.3503644144702
788,0,150,788,131,193,1458,70,177,1066,32,2017-08-01,a7181634,52.3367633905373,-67.3503644144702
514,0,-80,514,74,193,1321,35,132,893,21,2017-09-01,a7181634,52.3367633905373,-67.3503644144702
296,0,-80,296,97,193,642,-9,72,625,10,2017-10-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-80,0,69,193,378,-121,-39,305,2,2017-11-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-70,0,63,193,298,-219,-119,190,0,2017-12-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-70,0,50,193,476,-281,-169,117,1,2018-01-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-100,0,29,193,943,-283,-141,121,0,2018-02-01,a7181634,52.3367633905373,-67.3503644144702
0,0,-130,0,34,193,1512,-144,-32,271,4,2018-03-01,a7181634,52.3367633905373,-67.3503644144702
