aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,806,0,58,230,468,-296,-169,102,1,2015-01-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,762,0,43,230,1013,-333,-194,68,2,2015-02-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,746,0,59,230,1536,-229,-73,167,6,2015-03-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,750,0,58,230,1971,-89,35,419,13,2015-04-01,a74fd1a7,52.1688855138065,-76.0208233383606
1003,0,687,1003,72,230,2186,19,139,614,53,2015-05-01,a74fd1a7,52.1688855138065,-76.0208233383606
736,374,564,1110,62,85,2296,65,189,964,62,2015-06-01,a74fd1a7,52.1688855138065,-76.0208233383606
575,470,437,1046,58,59,1870,117,218,1408,60,2015-07-01,a74fd1a7,52.1688855138065,-76.0208233383606
811,0,500,811,148,230,1472,125,207,1462,49,2015-08-01,a74fd1a7,52.1688855138065,-76.0208233383606
474,0,423,474,79,230,1424,64,160,1198,20,2015-09-01,a74fd1a7,52.1688855138065,-76.0208233383606
127,0,363,160,72,230,697,-14,56,626,11,2015-10-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,227,0,42,230,281,-56,11,531,0,2015-11-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,253,0,72,230,303,-122,-64,396,0,2015-12-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,270,0,62,230,390,-228,-117,192,5,2016-01-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,280,0,43,230,879,-257,-123,157,4,2016-02-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,190,0,19,230,1632,-193,-50,225,10,2016-03-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,100,0,14,230,2282,-112,9,292,13,2016-04-01,a74fd1a7,52.1688855138065,-76.0208233383606
827,0,130,827,71,230,2313,17,131,683,53,2016-05-01,a74fd1a7,52.1688855138065,-76.0208233383606
1017,0,210,1017,120,230,2080,74,191,1005,63,2016-06-01,a74fd1a7,52.1688855138065,-76.0208233383606
1123,12,280,1135,116,210,2161,116,223,1366,67,2016-07-01,a74fd1a7,52.1688855138065,-76.0208233383606
892,0,440,892,161,230,1642,113,214,1397,59,2016-08-01,a74fd1a7,52.1688855138065,-76.0208233383606
496,0,530,496,147,230,1169,64,149,1098,28,2016-09-01,a74fd1a7,52.1688855138065,-76.0208233383606
214,0,580,214,121,230,676,1,69,718,13,2016-10-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,600,0,105,230,297,-53,10,517,9,2016-11-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,540,0,58,230,319,-190,-100,236,4,2016-12-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,530,0,61,230,408,-214,-106,222,4,2017-01-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,520,0,43,230,844,-241,-111,188,4,2017-02-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,390,0,17,230,1597,-199,-54,194,9,2017-03-01,a74fd1a7,52.1688855138065,-76.0208233383606
16,0,370,16,40,230,1911,-75,40,412,19,2017-04-01,a74fd1a7,52.1688855138065,-76.0208233383606
759,0,400,759,77,230,2099,19,122,699,48,2017-05-01,a74fd1a7,52.1688855138065,-76.0208233383606
999,46,420,1045,97,150,2202,76,191,1012,62,2017-06-01,a74fd1a7,52.1688855138065,-76.0208233383606
995,301,380,1296,97,78,2459,103,218,1167,80,2017-07-01,a74fd1a7,52.1688855138065,-76.0208233383606
884,0,430,884,142,230,1597,95,196,1192,52,2017-08-01,a74fd1a7,52.1688855138065,-76.0208233383606
509,0,390,509,93,230,1289,68,151,1101,31,2017-09-01,a74fd1a7,52.1688855138065,-76.0208233383606
255,0,500,255,144,230,605,17,86,784,18,2017-10-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,500,0,95,230,304,-84,-15,372,7,2017-11-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,460,0,57,230,302,-200,-108,225,1,2017-12-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,430,0,54,230,491,-265,-149,132,4,2018-01-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,440,0,49,230,948,-258,-122,148,3,2018-02-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,320,0,14,230,1527,-172,-30,225,12,2018-03-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,250,0,22,230,2225,-110,10,282,20,2018-04-01,a74fd1a7,52.1688855138065,-76.0208233383606
852,0,240,852,64,230,2352,0,119,584,44,2018-05-01,a74fd1a7,52.1688855138065,-76.0208233383606
511,744,70,1255,35,85,2974,59,181,823,91,2018-06-01,a74fd1a7,52.1688855138065,-76.0208233383606
1181,57,90,1238,122,59,2321,121,234,1416,102,2018-07-01,a74fd1a7,52.1688855138065,-76.0208233383606
649,365,-270,1014,67,46,1947,105,211,1255,73,2018-08-01,a74fd1a7,52.1688855138065,-76.0208233383606
511,0,-210,511,140,230,1192,53,142,1017,28,2018-09-01,a74fd1a7,52.1688855138065,-76.0208233383606
108,0,-150,108,86,230,643,-21,39,539,11,2018-10-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-170,0,64,230,310,-99,-35,377,5,2018-11-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-140,0,60,230,291,-184,-89,265,4,2018-12-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-160,0,37,230,443,-271,-154,96,3,2019-01-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-70,0,53,230,912,-261,-129,116,3,2019-02-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,30,0,48,230,1384,-192,-55,181,9,2019-03-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,110,0,42,230,1970,-87,27,328,20,2019-04-01,a74fd1a7,52.1688855138065,-76.0208233383606
821,0,70,821,46,230,2303,2,112,572,41,2019-05-01,a74fd1a7,52.1688855138065,-76.0208233383606
850,74,-10,924,72,103,1829,62,181,953,56,2019-06-01,a74fd1a7,52.1688855138065,-76.0208233383606
906,234,-20,1140,91,66,1902,118,230,1389,72,2019-07-01,a74fd1a7,52.1688855138065,-76.0208233383606
952,7,-70,959,100,64,1623,110,213,1341,59,2019-08-01,a74fd1a7,52.1688855138065,-76.0208233383606
521,0,-140,521,90,230,1191,57,139,997,26,2019-09-01,a74fd1a7,52.1688855138065,-76.0208233383606
304,0,-160,304,79,230,684,19,84,727,18,2019-10-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-200,0,55,230,389,-90,-25,354,6,2019-11-01,a74fd1a7,52.1688855138065,-76.0208233383606
0,0,-120,0,77,230,307,-167,-73,221,4,2019-12-01,a74fd1a7,52.1688855138065,-76.0208233383606
