aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-230,0,52,539,254,-82,16,419,9,2015-01-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-259,0,23,539,611,-85,26,380,15,2015-02-01,a79c2ae8,52.163298611008,-125.371419720292
5,0,-222,42,31,645,935,-60,54,425,22,2015-03-01,a79c2ae8,52.163298611008,-125.371419720292
105,0,-208,239,25,645,1548,-49,68,405,31,2015-04-01,a79c2ae8,52.163298611008,-125.371419720292
946,0,-324,946,7,645,2421,-9,140,608,48,2015-05-01,a79c2ae8,52.163298611008,-125.371419720292
506,641,-490,1147,10,237,2600,27,181,778,64,2015-06-01,a79c2ae8,52.163298611008,-125.371419720292
342,941,-543,1283,28,164,2530,51,209,865,81,2015-07-01,a79c2ae8,52.163298611008,-125.371419720292
274,758,-560,1032,25,127,1858,54,210,850,85,2015-08-01,a79c2ae8,52.163298611008,-125.371419720292
441,79,-463,520,45,110,1116,10,137,688,43,2015-09-01,a79c2ae8,52.163298611008,-125.371419720292
309,0,-437,313,59,363,697,-2,103,622,31,2015-10-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-504,0,34,363,461,-80,13,342,16,2015-11-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-519,0,52,363,218,-88,-4,309,15,2015-12-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-510,0,48,336,321,-97,-1,378,12,2016-01-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-470,0,33,336,569,-81,27,425,18,2016-02-01,a79c2ae8,52.163298611008,-125.371419720292
25,0,-380,25,35,478,1134,-66,49,414,27,2016-03-01,a79c2ae8,52.163298611008,-125.371419720292
483,0,-460,483,21,645,1585,-28,87,521,41,2016-04-01,a79c2ae8,52.163298611008,-125.371419720292
667,228,-570,895,14,253,2276,-1,129,563,52,2016-05-01,a79c2ae8,52.163298611008,-125.371419720292
533,376,-560,909,47,171,2078,28,158,763,54,2016-06-01,a79c2ae8,52.163298611008,-125.371419720292
470,480,-500,950,45,131,1898,57,184,945,62,2016-07-01,a79c2ae8,52.163298611008,-125.371419720292
472,500,-440,972,47,107,1870,55,204,894,81,2016-08-01,a79c2ae8,52.163298611008,-125.371419720292
391,195,-380,586,39,91,1138,13,146,696,49,2016-09-01,a79c2ae8,52.163298611008,-125.371419720292
306,0,-350,306,59,345,712,-9,83,546,31,2016-10-01,a79c2ae8,52.163298611008,-125.371419720292
34,0,-310,34,78,599,277,-36,40,508,22,2016-11-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-270,0,54,599,288,-130,-34,161,13,2016-12-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-300,0,45,599,360,-123,-17,226,11,2017-01-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-310,0,26,599,739,-134,-22,195,12,2017-02-01,a79c2ae8,52.163298611008,-125.371419720292
0,0,-230,0,34,599,970,-93,12,317,20,2017-03-01,a79c2ae8,52.163298611008,-125.371419720292
226,0,-230,226,22,645,1521,-44,65,431,31,2017-04-01,a79c2ae8,52.163298611008,-125.371419720292
789,0,-170,789,43,645,2146,-9,119,595,49,2017-05-01,a79c2ae8,52.163298611008,-125.371419720292
794,257,-170,1051,39,237,2572,13,151,637,65,2017-06-01,a79c2ae8,52.163298611008,-125.371419720292
