aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0.0,0.0,106.62499999999999,0.0,73.0,575.625,162.125,-119.5,-45.625,388.125,0.0,2015-01-01,a80a1b7e,55.1350401006522,-125.163156669592
0.0,0.0,130.25,0.0,44.0,575.625,528.625,-109.12500000000001,-14.125,322.50000000000006,8.75,2015-02-01,a80a1b7e,55.1350401006522,-125.163156669592
1.125,0.0,130.625,20.125000000000004,37.0,757.625,967.125,-67.875,48.125,399.875,21.875,2015-03-01,a80a1b7e,55.1350401006522,-125.163156669592
405.50000000000006,0.0,97.5,486.125,31.875,837.25,1562.375,-31.75,78.375,410.74999999999994,36.125,2015-04-01,a80a1b7e,55.1350401006522,-125.163156669592
800.25,192.75,-154.62500000000003,993.0,9.0,506.37499999999994,2247.4999999999995,12.375,164.625,604.2499999999999,67.125,2015-05-01,a80a1b7e,55.1350401006522,-125.163156669592
663.1249999999999,446.0,-242.625,1109.125,45.875,276.25000000000006,2292.875,60.375,192.375,855.1249999999999,73.125,2015-06-01,a80a1b7e,55.1350401006522,-125.163156669592
871.75,338.75,-181.5,1210.5,83.62499999999999,198.625,2368.875,76.37500000000001,209.5,979.25,79.125,2015-07-01,a80a1b7e,55.1350401006522,-125.163156669592
796.0,101.625,-95.25,897.6250000000001,81.0,171.62500000000003,1681.6249999999998,69.5,200.375,925.125,75.12499999999999,2015-08-01,a80a1b7e,55.1350401006522,-125.163156669592
443.75,3.375,-89.375,447.125,46.87500000000001,170.62500000000003,1080.25,17.375000000000004,126.5,714.875,37.0,2015-09-01,a80a1b7e,55.1350401006522,-125.163156669592
231.875,0.0,-130.0,236.75,44.87500000000001,366.5,586.125,-3.625,88.375,602.7499999999999,26.875,2015-10-01,a80a1b7e,55.1350401006522,-125.163156669592
0.0,0.0,-186.0,0.0,39.0,366.5,328.87499999999994,-91.5,-15.625,317.5,11.0,2015-11-01,a80a1b7e,55.1350401006522,-125.163156669592
0.0,0.0,-255.625,0.0,42.0,366.5,172.75,-136.125,-65.125,264.375,2.875,2015-12-01,a80a1b7e,55.1350401006522,-125.163156669592
0.0,0.0,-238.75,0.0,52.0,333.74999999999994,236.125,-142.625,-58.625,318.25,3.75,2016-01-01,a80a1b7e,55.1350401006522,-125.163156669592
0.0,0.0,-208.75,0.0,37.0,333.74999999999994,492.875,-98.0,2.75,372.125,14.75,2016-02-01,a80a1b7e,55.1350401006522,-125.163156669592
18.125,0.0,-198.75,18.125,31.0,448.125,1032.1249999999998,-70.875,49.12499999999999,388.375,25.0,2016-03-01,a80a1b7e,55.1350401006522,-125.163156669592
486.37500000000006,0.0,-228.74999999999997,486.37500000000006,25.875,837.25,1467.6250000000002,-25.75,93.5,499.625,43.0,2016-04-01,a80a1b7e,55.1350401006522,-125.163156669592
757.375,159.375,-238.75,916.75,42.0,563.875,2121.25,13.25,147.5,584.0,62.25,2016-05-01,a80a1b7e,55.1350401006522,-125.163156669592
767.0,245.875,-248.75,1012.875,55.875,326.75,2245.875,53.49999999999999,183.375,843.875,66.125,2016-06-01,a80a1b7e,55.1350401006522,-125.163156669592
617.875,378.37499999999994,-230.0,996.25,53.75,221.49999999999997,1899.7499999999998,81.37500000000001,205.49999999999997,1049.125,70.125,2016-07-01,a80a1b7e,55.1350401006522,-125.163156669592
543.625,392.99999999999994,-228.74999999999997,936.6250000000001,52.0,170.12500000000003,1754.5,74.49999999999999,208.375,977.0,82.125,2016-08-01,a80a1b7e,55.1350401006522,-125.163156669592
