aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,393,0,18,490,418,-245,-136,165,0,2015-01-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,407,0,30,490,989,-296,-174,68,4,2015-02-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,332,0,21,490,1480,-153,-16,262,10,2015-03-01,a80e5d40,52.6568887823923,-94.6947047496095
50,0,240,176,15,490,2031,-64,74,406,30,2015-04-01,a80e5d40,52.6568887823923,-94.6947047496095
958,0,308,958,76,490,2452,3,138,646,46,2015-05-01,a80e5d40,52.6568887823923,-94.6947047496095
972,200,279,1172,70,180,2588,80,207,1170,59,2015-06-01,a80e5d40,52.6568887823923,-94.6947047496095
1059,185,307,1244,106,125,2449,125,239,1576,64,2015-07-01,a80e5d40,52.6568887823923,-94.6947047496095
830,0,346,830,103,271,1636,108,216,1505,44,2015-08-01,a80e5d40,52.6568887823923,-94.6947047496095
501,8,282,509,52,265,1271,76,172,1249,26,2015-09-01,a80e5d40,52.6568887823923,-94.6947047496095
244,0,284,249,72,490,752,5,78,687,16,2015-10-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,378,0,66,490,311,-59,-2,488,1,2015-11-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,394,0,39,490,283,-141,-67,330,0,2015-12-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,360,0,20,490,389,-217,-122,184,0,2016-01-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,320,0,19,490,867,-214,-92,169,4,2016-02-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,260,0,23,490,1525,-132,6,306,13,2016-03-01,a80e5d40,52.6568887823923,-94.6947047496095
26,0,320,26,48,490,2144,-79,53,397,27,2016-04-01,a80e5d40,52.6568887823923,-94.6947047496095
946,0,350,946,67,490,2235,29,162,745,63,2016-05-01,a80e5d40,52.6568887823923,-94.6947047496095
990,101,340,1091,86,316,2429,84,203,1182,69,2016-06-01,a80e5d40,52.6568887823923,-94.6947047496095
856,251,320,1107,74,166,2186,125,233,1584,75,2016-07-01,a80e5d40,52.6568887823923,-94.6947047496095
910,0,340,910,98,184,1802,111,218,1507,54,2016-08-01,a80e5d40,52.6568887823923,-94.6947047496095
502,0,330,502,77,410,1108,73,159,1174,25,2016-09-01,a80e5d40,52.6568887823923,-94.6947047496095
200,0,280,200,42,490,495,-1,62,701,8,2016-10-01,a80e5d40,52.6568887823923,-94.6947047496095
22,0,270,22,35,490,370,-36,35,536,4,2016-11-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,280,0,33,490,293,-210,-127,193,0,2016-12-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,230,0,19,490,386,-212,-114,206,0,2017-01-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,180,0,14,490,912,-192,-85,199,3,2017-02-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,140,0,23,490,1501,-173,-35,239,8,2017-03-01,a80e5d40,52.6568887823923,-94.6947047496095
91,0,130,91,31,490,2060,-66,66,429,30,2017-04-01,a80e5d40,52.6568887823923,-94.6947047496095
867,0,90,867,28,490,2197,16,134,656,58,2017-05-01,a80e5d40,52.6568887823923,-94.6947047496095
862,126,60,988,68,274,2056,81,200,1111,65,2017-06-01,a80e5d40,52.6568887823923,-94.6947047496095
705,591,-160,1296,62,157,2594,117,241,1487,93,2017-07-01,a80e5d40,52.6568887823923,-94.6947047496095
541,488,-230,1029,52,114,2155,98,214,1329,72,2017-08-01,a80e5d40,52.6568887823923,-94.6947047496095
546,0,-130,546,107,490,1212,68,162,1134,32,2017-09-01,a80e5d40,52.6568887823923,-94.6947047496095
284,0,-130,284,42,490,662,-1,73,669,18,2017-10-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-80,0,38,490,395,-137,-56,306,4,2017-11-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-90,0,21,490,316,-233,-137,173,0,2017-12-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-100,0,20,490,409,-256,-144,144,1,2018-01-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-120,0,13,490,975,-280,-138,99,2,2018-02-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-160,0,16,490,1565,-170,-26,217,12,2018-03-01,a80e5d40,52.6568887823923,-94.6947047496095
0,0,-190,0,11,490,2367,-118,31,317,28,2018-04-01,a80e5d40,52.6568887823923,-94.6947047496095
1002,0,-200,1002,40,490,2421,26,178,777,65,2018-05-01,a80e5d40,52.6568887823923,-94.6947047496095
938,136,-210,1074,74,256,2245,100,215,1280,75,2018-06-01,a80e5d40,52.6568887823923,-94.6947047496095
