aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,874,0,53,538,442,-282,-150,156,0,2015-01-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,820,0,59,538,980,-326,-180,85,1,2015-02-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,770,0,62,538,1454,-199,-37,253,4,2015-03-01,a82ba21b,50.439115772087,-85.3297651576567
1,0,764,26,70,538,1859,-79,56,448,18,2015-04-01,a82ba21b,50.439115772087,-85.3297651576567
904,0,753,904,99,538,2214,15,156,782,45,2015-05-01,a82ba21b,50.439115772087,-85.3297651576567
952,145,657,1097,74,288,2508,63,207,1128,58,2015-06-01,a82ba21b,50.439115772087,-85.3297651576567
720,545,535,1265,63,169,2480,113,249,1522,73,2015-07-01,a82ba21b,50.439115772087,-85.3297651576567
869,0,538,869,111,356,1649,108,228,1518,53,2015-08-01,a82ba21b,50.439115772087,-85.3297651576567
559,15,422,573,57,342,1524,75,195,1368,29,2015-09-01,a82ba21b,50.439115772087,-85.3297651576567
219,0,342,226,62,538,780,-13,90,702,15,2015-10-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,270,2,55,538,340,-55,28,614,0,2015-11-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,327,0,70,538,240,-119,-45,463,0,2015-12-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,310,0,58,538,373,-231,-122,237,0,2016-01-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,300,0,54,538,821,-236,-102,214,3,2016-02-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,270,0,50,538,1570,-156,-9,351,10,2016-03-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,260,0,48,538,2063,-92,39,435,19,2016-04-01,a82ba21b,50.439115772087,-85.3297651576567
853,0,230,853,74,538,2292,15,162,785,53,2016-05-01,a82ba21b,50.439115772087,-85.3297651576567
976,56,220,1032,93,442,2352,66,206,1146,68,2016-06-01,a82ba21b,50.439115772087,-85.3297651576567
1018,139,230,1157,89,265,2380,114,244,1541,88,2016-07-01,a82ba21b,50.439115772087,-85.3297651576567
893,39,220,932,91,240,1765,114,244,1616,74,2016-08-01,a82ba21b,50.439115772087,-85.3297651576567
553,0,200,553,83,472,1281,77,183,1297,34,2016-09-01,a82ba21b,50.439115772087,-85.3297651576567
277,0,190,277,65,538,650,9,101,803,17,2016-10-01,a82ba21b,50.439115772087,-85.3297651576567
12,0,190,12,74,538,387,-42,43,663,6,2016-11-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,170,0,46,538,293,-191,-99,294,0,2016-12-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,150,0,49,538,324,-207,-110,253,0,2017-01-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,130,0,47,538,728,-205,-79,259,3,2017-02-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,110,0,50,538,1549,-187,-34,279,8,2017-03-01,a82ba21b,50.439115772087,-85.3297651576567
135,0,90,135,48,538,1873,-60,72,516,26,2017-04-01,a82ba21b,50.439115772087,-85.3297651576567
737,0,110,737,75,538,2120,12,131,755,45,2017-05-01,a82ba21b,50.439115772087,-85.3297651576567
992,61,120,1053,93,432,2450,76,210,1154,69,2017-06-01,a82ba21b,50.439115772087,-85.3297651576567
1067,178,130,1245,89,212,2665,100,240,1399,105,2017-07-01,a82ba21b,50.439115772087,-85.3297651576567
880,8,150,888,92,208,1912,86,212,1344,66,2017-08-01,a82ba21b,50.439115772087,-85.3297651576567
492,0,150,492,82,491,1207,68,182,1304,32,2017-09-01,a82ba21b,50.439115772087,-85.3297651576567
279,0,170,279,66,538,809,10,107,839,27,2017-10-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,170,0,74,538,397,-109,-25,433,4,2017-11-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,150,0,46,538,381,-234,-128,243,0,2017-12-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,130,0,48,538,449,-256,-134,204,1,2018-01-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,110,0,46,538,842,-270,-119,173,2,2018-02-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,100,0,49,538,1556,-198,-35,242,9,2018-03-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,110,0,48,538,2298,-122,23,337,21,2018-04-01,a82ba21b,50.439115772087,-85.3297651576567
914,0,80,914,75,538,2300,23,186,825,58,2018-05-01,a82ba21b,50.439115772087,-85.3297651576567
1035,92,60,1127,92,380,2616,75,219,1167,78,2018-06-01,a82ba21b,50.439115772087,-85.3297651576567
1023,183,0,1206,88,192,2345,122,258,1572,85,2018-07-01,a82ba21b,50.439115772087,-85.3297651576567
910,114,-20,1024,91,143,2020,105,244,1537,75,2018-08-01,a82ba21b,50.439115772087,-85.3297651576567
516,0,-10,516,82,406,1245,59,174,1228,30,2018-09-01,a82ba21b,50.439115772087,-85.3297651576567
146,0,30,146,67,538,545,-19,54,660,9,2018-10-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,20,0,74,538,358,-121,-48,412,1,2018-11-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,0,0,46,538,321,-178,-72,323,-1,2018-12-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,-40,0,38,538,443,-287,-160,116,0,2019-01-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,170,0,102,538,812,-267,-123,131,2,2019-02-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,140,0,46,538,1469,-180,-29,232,9,2019-03-01,a82ba21b,50.439115772087,-85.3297651576567
23,0,200,23,71,538,2021,-79,52,381,23,2019-04-01,a82ba21b,50.439115772087,-85.3297651576567
818,0,150,818,59,538,2108,-1,137,599,49,2019-05-01,a82ba21b,50.439115772087,-85.3297651576567
1076,11,170,1087,111,519,2471,68,209,1063,67,2019-06-01,a82ba21b,50.439115772087,-85.3297651576567
824,574,-100,1398,53,198,2607,127,264,1495,97,2019-07-01,a82ba21b,50.439115772087,-85.3297651576567
929,157,-130,1086,91,137,1956,102,237,1403,69,2019-08-01,a82ba21b,50.439115772087,-85.3297651576567
510,0,-100,510,98,538,1177,59,170,1176,26,2019-09-01,a82ba21b,50.439115772087,-85.3297651576567
311,0,-130,311,52,538,775,1,94,714,19,2019-10-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,-140,0,58,538,429,-112,-32,364,1,2019-11-01,a82ba21b,50.439115772087,-85.3297651576567
0,0,-120,0,49,538,302,-194,-86,239,0,2019-12-01,a82ba21b,50.439115772087,-85.3297651576567
