aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,174,0,119,255,425,-268,-154,82,5,2015-01-01,a84d9081,52.843321602528,-60.3486644273981
0,0,227,0,92,255,839,-279,-160,62,6,2015-02-01,a84d9081,52.843321602528,-60.3486644273981
0,0,107,0,32,255,1502,-207,-80,122,11,2015-03-01,a84d9081,52.843321602528,-60.3486644273981
0,0,124,0,68,255,1801,-102,-4,304,14,2015-04-01,a84d9081,52.843321602528,-60.3486644273981
528,0,113,600,87,255,2064,-26,78,500,28,2015-05-01,a84d9081,52.843321602528,-60.3486644273981
950,0,-108,950,71,255,2096,40,157,786,52,2015-06-01,a84d9081,52.843321602528,-60.3486644273981
789,31,-156,820,77,201,1836,72,160,1049,37,2015-07-01,a84d9081,52.843321602528,-60.3486644273981
716,0,-207,716,80,244,1595,71,174,1159,35,2015-08-01,a84d9081,52.843321602528,-60.3486644273981
505,0,-245,505,92,255,1216,33,132,836,31,2015-09-01,a84d9081,52.843321602528,-60.3486644273981
102,0,-284,179,69,255,748,-23,50,488,21,2015-10-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-308,0,73,255,355,-92,-17,301,12,2015-11-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-385,0,39,255,317,-158,-70,189,8,2015-12-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-380,0,56,255,400,-201,-102,134,8,2016-01-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-280,0,86,255,794,-218,-91,146,8,2016-02-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-280,0,64,255,1536,-193,-69,118,12,2016-03-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-210,0,69,255,1619,-100,0,311,15,2016-04-01,a84d9081,52.843321602528,-60.3486644273981
636,0,-260,636,64,255,2057,-19,94,557,32,2016-05-01,a84d9081,52.843321602528,-60.3486644273981
829,0,-100,829,170,255,1946,35,144,788,44,2016-06-01,a84d9081,52.843321602528,-60.3486644273981
891,0,-130,891,97,255,2024,74,178,1096,43,2016-07-01,a84d9081,52.843321602528,-60.3486644273981
815,0,-110,815,121,255,1616,71,182,1061,42,2016-08-01,a84d9081,52.843321602528,-60.3486644273981
541,0,-120,541,94,255,1172,25,124,748,28,2016-09-01,a84d9081,52.843321602528,-60.3486644273981
213,0,120,213,134,255,664,-23,54,497,20,2016-10-01,a84d9081,52.843321602528,-60.3486644273981
0,0,60,0,77,255,355,-78,-1,379,9,2016-11-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-120,0,54,255,310,-202,-103,110,7,2016-12-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-130,0,63,255,413,-202,-102,134,6,2017-01-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-130,0,56,255,841,-216,-106,126,7,2017-02-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-130,0,69,255,1446,-181,-61,139,11,2017-03-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-160,0,39,255,1967,-95,7,289,17,2017-04-01,a84d9081,52.843321602528,-60.3486644273981
563,0,-100,563,102,255,2057,-30,79,485,25,2017-05-01,a84d9081,52.843321602528,-60.3486644273981
771,0,-120,771,87,255,1855,34,142,797,39,2017-06-01,a84d9081,52.843321602528,-60.3486644273981
950,0,-140,950,108,255,2022,70,185,1076,50,2017-07-01,a84d9081,52.843321602528,-60.3486644273981
791,0,-110,791,122,255,1623,69,180,1101,43,2017-08-01,a84d9081,52.843321602528,-60.3486644273981
548,0,-100,548,107,255,1235,34,136,828,31,2017-09-01,a84d9081,52.843321602528,-60.3486644273981
412,0,-210,412,64,255,719,0,87,575,26,2017-10-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-90,0,140,255,371,-87,-8,301,12,2017-11-01,a84d9081,52.843321602528,-60.3486644273981
0,0,120,0,109,255,261,-158,-66,192,9,2017-12-01,a84d9081,52.843321602528,-60.3486644273981
0,0,130,0,80,255,401,-225,-125,114,6,2018-01-01,a84d9081,52.843321602528,-60.3486644273981
0,0,120,0,66,255,869,-244,-110,84,7,2018-02-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-80,0,37,255,1285,-95,-11,269,10,2018-03-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-80,0,56,255,1851,-102,-2,244,16,2018-04-01,a84d9081,52.843321602528,-60.3486644273981
141,0,30,141,58,255,2338,-49,54,436,26,2018-05-01,a84d9081,52.843321602528,-60.3486644273981
815,0,-80,815,83,255,2249,13,129,704,43,2018-06-01,a84d9081,52.843321602528,-60.3486644273981
1046,0,-60,1046,137,255,2179,77,208,1162,59,2018-07-01,a84d9081,52.843321602528,-60.3486644273981
860,0,10,860,124,255,1763,76,193,1159,54,2018-08-01,a84d9081,52.843321602528,-60.3486644273981
570,40,-160,610,53,187,1393,21,131,770,40,2018-09-01,a84d9081,52.843321602528,-60.3486644273981
39,0,-70,39,123,255,551,-32,29,481,15,2018-10-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-100,0,81,255,384,-109,-36,325,7,2018-11-01,a84d9081,52.843321602528,-60.3486644273981
0,0,-160,0,58,255,291,-172,-80,193,6,2018-12-01,a84d9081,52.843321602528,-60.3486644273981
