aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-619,0,21,334,258,-261,-164,150,0,2015-01-01,a889011b,57.4141378594741,-103.247365112237
0,0,-593,0,14,334,769,-304,-200,65,2,2015-02-01,a889011b,57.4141378594741,-103.247365112237
0,0,-535,0,27,334,1420,-188,-60,212,5,2015-03-01,a889011b,57.4141378594741,-103.247365112237
0,0,-387,0,45,334,2204,-98,27,313,21,2015-04-01,a889011b,57.4141378594741,-103.247365112237
972,0,-451,994,17,515,2845,-30,115,412,52,2015-05-01,a889011b,57.4141378594741,-103.247365112237
1071,161,-415,1231,80,239,2639,65,193,911,70,2015-06-01,a889011b,57.4141378594741,-103.247365112237
880,332,-422,1212,83,150,2466,101,213,1223,67,2015-07-01,a889011b,57.4141378594741,-103.247365112237
439,454,-497,893,42,112,1822,95,199,1194,56,2015-08-01,a889011b,57.4141378594741,-103.247365112237
397,0,-501,397,50,189,1113,38,124,909,22,2015-09-01,a889011b,57.4141378594741,-103.247365112237
93,0,-521,131,40,442,561,-17,53,585,13,2015-10-01,a889011b,57.4141378594741,-103.247365112237
0,0,-535,0,39,442,262,-112,-48,347,0,2015-11-01,a889011b,57.4141378594741,-103.247365112237
0,0,-525,0,14,442,146,-176,-120,251,0,2015-12-01,a889011b,57.4141378594741,-103.247365112237
0,0,-550,0,15,346,247,-232,-148,161,0,2016-01-01,a889011b,57.4141378594741,-103.247365112237
0,0,-520,0,17,346,751,-243,-135,163,4,2016-02-01,a889011b,57.4141378594741,-103.247365112237
0,0,-450,0,33,346,1356,-167,-58,244,8,2016-03-01,a889011b,57.4141378594741,-103.247365112237
0,0,-360,0,31,346,2131,-113,19,297,18,2016-04-01,a889011b,57.4141378594741,-103.247365112237
870,0,-370,870,32,515,2443,7,131,629,53,2016-05-01,a889011b,57.4141378594741,-103.247365112237
819,288,-390,1107,52,189,2370,73,192,973,62,2016-06-01,a889011b,57.4141378594741,-103.247365112237
1108,0,-170,1108,180,515,2223,111,214,1309,64,2016-07-01,a889011b,57.4141378594741,-103.247365112237
745,148,-150,893,52,261,1809,94,195,1195,54,2016-08-01,a889011b,57.4141378594741,-103.247365112237
465,10,-170,475,48,254,1004,41,131,880,23,2016-09-01,a889011b,57.4141378594741,-103.247365112237
7,0,280,7,91,341,533,-31,7,542,10,2016-10-01,a889011b,57.4141378594741,-103.247365112237
0,0,220,0,22,341,269,-82,-20,374,2,2016-11-01,a889011b,57.4141378594741,-103.247365112237
0,0,150,0,15,341,167,-246,-173,134,0,2016-12-01,a889011b,57.4141378594741,-103.247365112237
0,0,100,0,19,341,241,-232,-147,138,0,2017-01-01,a889011b,57.4141378594741,-103.247365112237
0,0,60,0,16,341,644,-223,-137,172,1,2017-02-01,a889011b,57.4141378594741,-103.247365112237
0,0,80,0,34,341,1384,-209,-95,205,4,2017-03-01,a889011b,57.4141378594741,-103.247365112237
0,0,100,0,31,341,2221,-103,9,317,19,2017-04-01,a889011b,57.4141378594741,-103.247365112237
759,0,170,759,61,515,2194,-1,109,561,39,2017-05-01,a889011b,57.4141378594741,-103.247365112237
918,93,250,1011,77,356,2267,65,175,915,62,2017-06-01,a889011b,57.4141378594741,-103.247365112237
812,470,140,1282,67,178,2534,103,227,1219,74,2017-07-01,a889011b,57.4141378594741,-103.247365112237
650,420,-170,1070,63,126,2037,90,218,1120,74,2017-08-01,a889011b,57.4141378594741,-103.247365112237
536,0,-140,536,90,446,1098,44,141,883,29,2017-09-01,a889011b,57.4141378594741,-103.247365112237
63,0,-100,63,44,515,479,-24,36,558,10,2017-10-01,a889011b,57.4141378594741,-103.247365112237
0,0,-90,0,31,515,304,-187,-116,197,4,2017-11-01,a889011b,57.4141378594741,-103.247365112237
0,0,-140,0,11,515,180,-241,-156,164,0,2017-12-01,a889011b,57.4141378594741,-103.247365112237
