aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-411,0,15,210,296,-289,-184,120,0,2015-01-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-398,0,9,210,751,-337,-238,37,3,2015-02-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-361,0,21,210,1443,-225,-94,179,2,2015-03-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-231,0,50,210,2067,-123,-4,313,11,2015-04-01,a8cfbfb6,57.1697099388452,-96.762669746237
698,0,-299,797,19,361,2678,-41,93,406,41,2015-05-01,a8cfbfb6,57.1697099388452,-96.762669746237
1053,85,-264,1138,75,214,2511,56,179,897,59,2015-06-01,a8cfbfb6,57.1697099388452,-96.762669746237
718,410,-274,1128,65,118,2217,92,211,1239,60,2015-07-01,a8cfbfb6,57.1697099388452,-96.762669746237
364,370,-320,735,35,85,1482,86,183,1226,39,2015-08-01,a8cfbfb6,57.1697099388452,-96.762669746237
375,0,-314,375,40,88,998,44,124,954,19,2015-09-01,a8cfbfb6,57.1697099388452,-96.762669746237
9,0,-324,36,43,257,532,-32,39,568,8,2015-10-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-298,0,35,257,280,-126,-62,327,0,2015-11-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-312,0,12,257,157,-188,-130,255,0,2015-12-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-300,0,19,216,237,-244,-166,122,0,2016-01-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-270,0,15,216,760,-281,-168,94,2,2016-02-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-250,0,22,216,1427,-201,-82,171,5,2016-03-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-220,0,26,216,2356,-148,-7,241,13,2016-04-01,a8cfbfb6,57.1697099388452,-96.762669746237
825,0,-240,825,42,361,2366,-7,115,554,39,2016-05-01,a8cfbfb6,57.1697099388452,-96.762669746237
787,380,-270,1167,57,133,2516,56,181,849,71,2016-06-01,a8cfbfb6,57.1697099388452,-96.762669746237
862,250,-220,1112,86,92,2137,96,210,1213,58,2016-07-01,a8cfbfb6,57.1697099388452,-96.762669746237
647,276,-220,923,66,71,1853,78,190,1119,51,2016-08-01,a8cfbfb6,57.1697099388452,-96.762669746237
498,21,-220,519,52,67,956,37,132,840,29,2016-09-01,a8cfbfb6,57.1697099388452,-96.762669746237
5,0,-210,5,50,96,419,-40,3,506,7,2016-10-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-180,0,32,96,282,-94,-31,317,0,2016-11-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-160,0,21,96,190,-264,-194,115,0,2016-12-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-150,0,19,96,236,-244,-164,124,0,2017-01-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-140,0,15,96,676,-249,-166,112,0,2017-02-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,220,0,68,96,1419,-242,-118,142,3,2017-03-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,200,0,26,96,2274,-132,-10,279,12,2017-04-01,a8cfbfb6,57.1697099388452,-96.762669746237
669,0,190,669,46,361,2217,-16,84,508,34,2017-05-01,a8cfbfb6,57.1697099388452,-96.762669746237
897,151,180,1048,60,133,2368,51,168,831,64,2017-06-01,a8cfbfb6,57.1697099388452,-96.762669746237
763,575,100,1338,76,92,2496,84,227,1103,79,2017-07-01,a8cfbfb6,57.1697099388452,-96.762669746237
657,407,-110,1064,67,71,2058,69,208,1049,70,2017-08-01,a8cfbfb6,57.1697099388452,-96.762669746237
545,64,-130,609,56,58,1093,39,137,791,31,2017-09-01,a8cfbfb6,57.1697099388452,-96.762669746237
21,0,-150,21,44,120,426,-35,25,513,5,2017-10-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-150,0,33,120,339,-206,-128,182,3,2017-11-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-140,0,21,120,196,-275,-190,115,0,2017-12-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-120,0,21,120,311,-284,-204,84,0,2018-01-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-110,0,14,120,738,-329,-217,64,1,2018-02-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-100,0,21,120,1467,-234,-107,141,5,2018-03-01,a8cfbfb6,57.1697099388452,-96.762669746237
0,0,-100,0,23,120,2191,-175,-38,239,13,2018-04-01,a8cfbfb6,57.1697099388452,-96.762669746237
927,0,-170,927,41,361,2551,-14,122,496,45,2018-05-01,a8cfbfb6,57.1697099388452,-96.762669746237
784,369,-220,1153,56,133,2331,68,190,909,67,2018-06-01,a8cfbfb6,57.1697099388452,-96.762669746237
