aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-177,0,90,363,413,-144,-39,264,7,2015-01-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-173,0,90,363,802,-182,-68,211,5,2015-02-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-299,0,28,363,1312,-128,-25,237,13,2015-03-01,ad527490,48.7239720732507,-56.2864690139857
2,0,-241,33,62,363,1798,-54,37,434,17,2015-04-01,ad527490,48.7239720732507,-56.2864690139857
933,0,-303,933,47,363,2337,5,132,655,43,2015-05-01,ad527490,48.7239720732507,-56.2864690139857
1041,8,-261,1049,108,349,2243,53,180,906,58,2015-06-01,ad527490,48.7239720732507,-56.2864690139857
629,438,-326,1067,44,133,2122,93,209,1254,57,2015-07-01,ad527490,48.7239720732507,-56.2864690139857
737,131,-364,868,73,92,1828,88,213,1408,43,2015-08-01,ad527490,48.7239720732507,-56.2864690139857
661,0,-253,661,157,363,1268,67,183,1101,45,2015-09-01,ad527490,48.7239720732507,-56.2864690139857
424,0,-151,429,141,363,821,11,111,701,29,2015-10-01,ad527490,48.7239720732507,-56.2864690139857
44,0,-70,108,136,363,495,-30,48,475,20,2015-11-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-166,0,65,363,348,-60,13,389,15,2015-12-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-250,0,50,363,421,-98,-12,294,9,2016-01-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-220,0,99,363,704,-126,-19,311,5,2016-02-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-160,0,95,363,1324,-114,-12,281,14,2016-03-01,ad527490,48.7239720732507,-56.2864690139857
144,0,-110,144,78,363,1568,-41,52,452,19,2016-04-01,ad527490,48.7239720732507,-56.2864690139857
827,0,-210,827,27,363,1894,22,136,675,35,2016-05-01,ad527490,48.7239720732507,-56.2864690139857
920,0,-150,920,114,363,1937,59,176,956,47,2016-06-01,ad527490,48.7239720732507,-56.2864690139857
1038,34,-90,1072,103,305,2060,102,221,1338,55,2016-07-01,ad527490,48.7239720732507,-56.2864690139857
818,129,-160,947,68,135,1812,99,219,1389,47,2016-08-01,ad527490,48.7239720732507,-56.2864690139857
629,0,-90,629,139,363,1250,60,169,1059,25,2016-09-01,ad527490,48.7239720732507,-56.2864690139857
420,0,110,420,129,363,800,17,112,743,21,2016-10-01,ad527490,48.7239720732507,-56.2864690139857
208,0,90,208,120,363,382,-10,62,585,9,2016-11-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-50,0,84,363,329,-98,-12,341,6,2016-12-01,ad527490,48.7239720732507,-56.2864690139857
0,0,50,0,103,363,474,-100,-11,304,8,2017-01-01,ad527490,48.7239720732507,-56.2864690139857
0,0,130,0,130,363,780,-131,-36,291,4,2017-02-01,ad527490,48.7239720732507,-56.2864690139857
0,0,110,0,79,363,1164,-105,-11,291,12,2017-03-01,ad527490,48.7239720732507,-56.2864690139857
152,0,160,152,88,363,1746,-39,50,433,17,2017-04-01,ad527490,48.7239720732507,-56.2864690139857
842,0,140,842,77,363,2267,7,122,625,34,2017-05-01,ad527490,48.7239720732507,-56.2864690139857
849,72,90,921,73,240,2046,56,176,976,46,2017-06-01,ad527490,48.7239720732507,-56.2864690139857
766,428,-60,1194,68,124,2421,105,226,1337,67,2017-07-01,ad527490,48.7239720732507,-56.2864690139857
802,179,-160,981,81,88,1938,101,220,1389,44,2017-08-01,ad527490,48.7239720732507,-56.2864690139857
475,191,-290,666,48,69,1230,64,179,1079,24,2017-09-01,ad527490,48.7239720732507,-56.2864690139857
445,96,-420,541,46,57,904,36,137,773,24,2017-10-01,ad527490,48.7239720732507,-56.2864690139857
165,0,-370,165,172,363,528,-30,58,515,13,2017-11-01,ad527490,48.7239720732507,-56.2864690139857
0,0,-160,0,166,363,308,-64,15,400,8,2017-12-01,ad527490,48.7239720732507,-56.2864690139857
0,0,390,0,181,363,432,-116,-23,294,9,2018-01-01,ad527490,48.7239720732507,-56.2864690139857
