aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,798,0,52,289,468,-293,-167,103,1,2015-01-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,750,0,36,289,1008,-338,-199,63,2,2015-02-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,730,0,53,289,1527,-231,-75,170,5,2015-03-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,731,0,56,289,1931,-95,30,411,12,2015-04-01,adb10ca0,52.1102035452264,-77.184479552628
997,0,673,997,72,289,2179,18,139,620,53,2015-05-01,adb10ca0,52.1102035452264,-77.184479552628
763,364,555,1128,61,106,2365,62,190,956,62,2015-06-01,adb10ca0,52.1102035452264,-77.184479552628
580,495,426,1075,58,74,1926,113,220,1386,61,2015-07-01,adb10ca0,52.1102035452264,-77.184479552628
813,0,483,813,139,289,1470,120,206,1437,49,2015-08-01,adb10ca0,52.1102035452264,-77.184479552628
492,0,414,492,77,289,1444,64,161,1184,22,2015-09-01,adb10ca0,52.1102035452264,-77.184479552628
139,0,359,174,78,289,700,-15,58,615,12,2015-10-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,227,0,41,289,286,-61,10,529,0,2015-11-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,251,0,67,289,311,-123,-64,376,0,2015-12-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,310,0,70,289,392,-224,-115,200,5,2016-01-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,350,0,44,289,866,-262,-125,149,5,2016-02-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,240,0,15,289,1655,-195,-49,236,9,2016-03-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,140,0,11,289,2243,-120,4,298,12,2016-04-01,adb10ca0,52.1102035452264,-77.184479552628
832,0,190,832,79,289,2292,15,135,689,52,2016-05-01,adb10ca0,52.1102035452264,-77.184479552628
1034,0,290,1034,128,289,2028,71,194,989,61,2016-06-01,adb10ca0,52.1102035452264,-77.184479552628
1095,50,330,1145,106,204,2154,113,225,1364,66,2016-07-01,adb10ca0,52.1102035452264,-77.184479552628
912,0,480,912,157,289,1698,111,216,1400,61,2016-08-01,adb10ca0,52.1102035452264,-77.184479552628
527,0,560,527,141,289,1220,65,154,1096,30,2016-09-01,adb10ca0,52.1102035452264,-77.184479552628
230,0,610,230,132,289,664,0,72,712,15,2016-10-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,690,0,128,289,297,-54,9,537,7,2016-11-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,630,0,54,289,310,-188,-101,235,4,2016-12-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,600,0,53,289,413,-205,-104,221,5,2017-01-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,570,0,36,289,834,-242,-111,189,5,2017-02-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,450,0,16,289,1605,-203,-54,203,8,2017-03-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,440,0,42,289,1909,-79,39,409,18,2017-04-01,adb10ca0,52.1102035452264,-77.184479552628
758,0,480,758,82,289,2078,21,121,703,47,2017-05-01,adb10ca0,52.1102035452264,-77.184479552628
1027,48,490,1075,100,207,2243,75,194,1002,63,2017-06-01,adb10ca0,52.1102035452264,-77.184479552628
1051,266,460,1317,100,101,2483,97,221,1160,80,2017-07-01,adb10ca0,52.1102035452264,-77.184479552628
892,0,460,892,122,289,1665,90,196,1191,53,2017-08-01,adb10ca0,52.1102035452264,-77.184479552628
527,0,430,527,95,289,1258,70,156,1102,33,2017-09-01,adb10ca0,52.1102035452264,-77.184479552628
273,0,580,273,172,289,622,16,89,777,21,2017-10-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,560,0,90,289,321,-91,-20,378,6,2017-11-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,500,0,51,289,305,-204,-112,215,2,2017-12-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,470,0,48,289,495,-263,-147,141,4,2018-01-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,480,0,44,289,925,-263,-125,139,4,2018-02-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,350,0,10,289,1551,-180,-30,226,11,2018-03-01,adb10ca0,52.1102035452264,-77.184479552628
0,0,270,0,21,289,2240,-121,6,279,17,2018-04-01,adb10ca0,52.1102035452264,-77.184479552628
854,0,280,854,73,289,2319,-2,126,604,44,2018-05-01,adb10ca0,52.1102035452264,-77.184479552628
495,762,120,1257,30,106,2935,56,186,831,87,2018-06-01,adb10ca0,52.1102035452264,-77.184479552628
1051,223,110,1274,107,74,2388,119,237,1408,101,2018-07-01,adb10ca0,52.1102035452264,-77.184479552628
588,448,-290,1036,60,57,1971,101,214,1257,71,2018-08-01,adb10ca0,52.1102035452264,-77.184479552628
524,0,-220,524,141,289,1168,52,147,1022,29,2018-09-01,adb10ca0,52.1102035452264,-77.184479552628
