aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-200,0,84,217,421,-325,-218,74,0,2015-01-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-272,0,6,217,966,-345,-221,38,3,2015-02-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-340,0,11,217,1486,-253,-116,137,3,2015-03-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-403,0,8,217,2098,-138,-15,350,3,2015-04-01,ae03b6d6,53.389158814092,-68.6872452911404
485,0,-416,565,53,217,1990,-25,74,519,25,2015-05-01,ae03b6d6,53.389158814092,-68.6872452911404
904,37,-422,940,59,154,2038,42,159,851,47,2015-06-01,ae03b6d6,53.389158814092,-68.6872452911404
858,0,-313,858,147,217,1686,90,179,1197,40,2015-07-01,ae03b6d6,53.389158814092,-68.6872452911404
769,0,-292,769,112,217,1605,90,187,1273,39,2015-08-01,ae03b6d6,53.389158814092,-68.6872452911404
361,0,-159,361,146,217,1165,31,122,961,13,2015-09-01,ae03b6d6,53.389158814092,-68.6872452911404
1,0,-176,12,55,217,687,-44,25,505,8,2015-10-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-109,0,87,217,329,-111,-41,370,0,2015-11-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-174,0,27,217,272,-196,-112,309,0,2015-12-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-210,0,25,217,360,-250,-152,151,0,2016-01-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-200,0,31,217,802,-280,-145,141,0,2016-02-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-260,0,18,217,1549,-238,-105,159,3,2016-03-01,ae03b6d6,53.389158814092,-68.6872452911404
0,0,-250,0,38,217,2232,-154,-29,279,5,2016-04-01,ae03b6d6,53.389158814092,-68.6872452911404
589,0,-300,589,41,217,2218,-22,89,595,29,2016-05-01,ae03b6d6,53.389158814092,-68.6872452911404
805,0,-290,805,72,217,1990,44,151,901,42,2016-06-01,ae03b6d6,53.389158814092,-68.6872452911404
