aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-62,0,24,343,349,-308,-199,84,0,2015-01-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,-100,0,10,343,816,-355,-241,31,3,2015-02-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,-94,0,20,343,1430,-254,-117,144,2,2015-03-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,125,0,55,343,1837,-121,-7,349,6,2015-04-01,ae5e67d6,55.0563907730523,-86.0983285767919
471,0,123,566,40,343,2451,-31,77,543,23,2015-05-01,ae5e67d6,55.0563907730523,-86.0983285767919
857,104,64,961,43,164,2491,43,160,891,44,2015-06-01,ae5e67d6,55.0563907730523,-86.0983285767919
882,0,251,882,141,343,1952,82,195,1301,38,2015-07-01,ae5e67d6,55.0563907730523,-86.0983285767919
652,0,454,652,129,343,1496,84,180,1307,28,2015-08-01,ae5e67d6,55.0563907730523,-86.0983285767919
401,0,536,401,88,343,1154,53,142,1064,20,2015-09-01,ae5e67d6,55.0563907730523,-86.0983285767919
45,0,469,94,39,343,642,-28,50,555,13,2015-10-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,548,0,69,343,252,-92,-24,411,0,2015-11-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,527,0,37,343,206,-178,-102,248,0,2015-12-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,480,0,28,343,321,-269,-166,125,2,2016-01-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,410,0,15,343,836,-298,-173,99,2,2016-02-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,350,0,17,343,1536,-230,-93,174,3,2016-03-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,250,0,11,343,2080,-144,-29,284,6,2016-04-01,ae5e67d6,55.0563907730523,-86.0983285767919
595,0,260,595,54,343,2342,-18,87,591,27,2016-05-01,ae5e67d6,55.0563907730523,-86.0983285767919
887,0,330,887,85,343,2225,52,159,902,46,2016-06-01,ae5e67d6,55.0563907730523,-86.0983285767919
876,62,340,938,81,237,2221,86,190,1254,44,2016-07-01,ae5e67d6,55.0563907730523,-86.0983285767919
670,78,300,748,62,159,1697,85,183,1238,44,2016-08-01,ae5e67d6,55.0563907730523,-86.0983285767919
450,0,260,450,64,318,1138,53,133,962,28,2016-09-01,ae5e67d6,55.0563907730523,-86.0983285767919
107,0,380,107,90,343,498,-21,46,591,11,2016-10-01,ae5e67d6,55.0563907730523,-86.0983285767919
0,0,350,0,39,343,268,-87,-13,379,7,2016-11-01,ae5e67d6,55.0563907730523,-86.0983285767919
