aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,307,0,25,390,423,-259,-143,163,0,2015-01-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,336,0,35,390,963,-306,-185,64,3,2015-02-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,280,0,26,390,1486,-162,-24,248,10,2015-03-01,ae7a9ab5,52.6949079506599,-92.074920284369
6,0,217,61,23,390,1985,-72,62,387,27,2015-04-01,ae7a9ab5,52.6949079506599,-92.074920284369
870,0,330,880,102,390,2373,-1,130,658,40,2015-05-01,ae7a9ab5,52.6949079506599,-92.074920284369
965,158,311,1123,74,143,2544,68,200,1112,56,2015-06-01,ae7a9ab5,52.6949079506599,-92.074920284369
1237,0,397,1237,137,210,2375,120,239,1510,69,2015-07-01,ae7a9ab5,52.6949079506599,-92.074920284369
753,20,395,773,78,196,1630,101,204,1449,37,2015-08-01,ae7a9ab5,52.6949079506599,-92.074920284369
488,0,357,488,65,327,1293,69,169,1225,24,2015-09-01,ae7a9ab5,52.6949079506599,-92.074920284369
192,0,377,207,71,390,752,-10,71,659,13,2015-10-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,495,0,87,390,284,-67,-8,497,0,2015-11-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,469,0,38,390,268,-144,-76,327,0,2015-12-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,420,0,26,390,371,-226,-131,187,0,2016-01-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,370,0,21,390,885,-233,-110,174,3,2016-02-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,320,0,29,390,1543,-149,-3,291,15,2016-03-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,330,0,43,390,2130,-90,44,378,24,2016-04-01,ae7a9ab5,52.6949079506599,-92.074920284369
901,0,300,901,57,390,2235,20,154,723,56,2016-05-01,ae7a9ab5,52.6949079506599,-92.074920284369
942,120,260,1062,78,184,2419,75,196,1119,65,2016-06-01,ae7a9ab5,52.6949079506599,-92.074920284369
1020,131,250,1151,100,115,2272,124,231,1500,80,2016-07-01,ae7a9ab5,52.6949079506599,-92.074920284369
867,0,260,867,95,149,1735,104,211,1444,51,2016-08-01,ae7a9ab5,52.6949079506599,-92.074920284369
473,0,260,473,88,390,1086,70,151,1137,21,2016-09-01,ae7a9ab5,52.6949079506599,-92.074920284369
179,0,260,179,53,390,514,-6,58,686,7,2016-10-01,ae7a9ab5,52.6949079506599,-92.074920284369
7,0,200,7,27,390,364,-47,25,509,2,2016-11-01,ae7a9ab5,52.6949079506599,-92.074920284369
0,0,190,0,34,390,287,-218,-132,184,0,2016-12-01,ae7a9ab5,52.6949079506599,-92.074920284369
