aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-3,0,34,270,401,-297,-182,110,0,2015-01-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-3,0,23,270,891,-346,-222,55,1,2015-02-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-1,0,26,270,1467,-221,-76,194,3,2015-03-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,15,0,36,270,1837,-98,25,377,13,2015-04-01,af5890ab,53.2551290613673,-86.7521348106883
779,0,9,790,49,270,2315,-8,111,614,34,2015-05-01,af5890ab,53.2551290613673,-86.7521348106883
927,147,-12,1074,77,99,2628,55,183,998,51,2015-06-01,af5890ab,53.2551290613673,-86.7521348106883
880,184,19,1063,89,69,2191,102,219,1421,53,2015-07-01,af5890ab,53.2551290613673,-86.7521348106883
724,0,63,724,83,137,1612,97,194,1405,32,2015-08-01,af5890ab,53.2551290613673,-86.7521348106883
455,0,-21,455,77,270,1314,62,160,1175,21,2015-09-01,af5890ab,53.2551290613673,-86.7521348106883
119,0,57,153,60,270,702,-23,64,620,12,2015-10-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,62,0,48,270,256,-78,-10,481,0,2015-11-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,59,0,34,270,230,-157,-88,339,0,2015-12-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,60,0,34,270,336,-253,-153,167,1,2016-01-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,0,0,22,270,846,-279,-149,141,1,2016-02-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-50,0,19,270,1584,-195,-50,244,6,2016-03-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-40,0,34,270,2052,-117,6,327,11,2016-04-01,af5890ab,53.2551290613673,-86.7521348106883
747,0,-40,747,48,270,2263,4,123,665,45,2016-05-01,af5890ab,53.2551290613673,-86.7521348106883
864,71,10,935,76,148,2206,63,178,1013,55,2016-06-01,af5890ab,53.2551290613673,-86.7521348106883
892,176,10,1068,87,86,2342,106,214,1394,65,2016-07-01,af5890ab,53.2551290613673,-86.7521348106883
788,21,10,809,82,78,1746,99,201,1388,53,2016-08-01,af5890ab,53.2551290613673,-86.7521348106883
448,0,-20,448,79,270,1151,62,146,1105,26,2016-09-01,af5890ab,53.2551290613673,-86.7521348106883
176,0,20,176,61,270,529,-11,62,681,8,2016-10-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,0,0,47,270,322,-69,5,484,4,2016-11-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,80,0,44,270,253,-228,-138,204,0,2016-12-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,60,0,32,270,303,-237,-141,158,0,2017-01-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,160,0,40,270,737,-252,-129,181,0,2017-02-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,160,0,30,270,1434,-214,-65,204,5,2017-03-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,240,0,52,270,1948,-92,31,376,18,2017-04-01,af5890ab,53.2551290613673,-86.7521348106883
691,0,250,691,50,270,2210,-4,105,625,38,2017-05-01,af5890ab,53.2551290613673,-86.7521348106883
944,61,260,1005,85,165,2445,68,181,993,57,2017-06-01,af5890ab,53.2551290613673,-86.7521348106883
621,570,90,1191,58,90,2649,97,211,1244,88,2017-07-01,af5890ab,53.2551290613673,-86.7521348106883
414,453,-290,867,41,64,2014,83,184,1179,53,2017-08-01,af5890ab,53.2551290613673,-86.7521348106883
463,0,-240,463,95,270,1167,60,146,1056,32,2017-09-01,af5890ab,53.2551290613673,-86.7521348106883
220,2,-370,222,23,266,680,-6,69,680,17,2017-10-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-340,0,45,266,387,-135,-56,305,4,2017-11-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-230,0,45,266,307,-256,-158,174,0,2017-12-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-140,0,45,266,376,-284,-175,127,0,2018-01-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-150,0,19,266,843,-305,-168,111,0,2018-02-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-190,0,18,266,1509,-215,-61,184,5,2018-03-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,-250,0,16,266,2273,-137,-6,257,15,2018-04-01,af5890ab,53.2551290613673,-86.7521348106883
800,0,-180,800,64,270,2443,1,127,645,44,2018-05-01,af5890ab,53.2551290613673,-86.7521348106883
457,625,-350,1082,28,99,2712,68,185,1003,79,2018-06-01,af5890ab,53.2551290613673,-86.7521348106883
1051,0,-100,1051,146,270,2148,110,220,1413,59,2018-07-01,af5890ab,53.2551290613673,-86.7521348106883
865,0,390,865,124,270,1923,89,196,1288,49,2018-08-01,af5890ab,53.2551290613673,-86.7521348106883
421,0,640,421,122,270,1101,37,127,955,25,2018-09-01,af5890ab,53.2551290613673,-86.7521348106883
17,0,590,17,43,270,569,-37,24,521,6,2018-10-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,540,0,47,270,326,-147,-72,295,-1,2018-11-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,480,0,33,270,275,-209,-114,224,-1,2018-12-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,390,0,27,270,416,-296,-188,95,0,2019-01-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,300,0,16,270,807,-280,-152,113,1,2019-02-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,390,0,47,270,1351,-193,-54,218,5,2019-03-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,310,0,24,270,2132,-90,27,321,21,2019-04-01,af5890ab,53.2551290613673,-86.7521348106883
732,0,290,732,50,270,2166,-4,108,579,37,2019-05-01,af5890ab,53.2551290613673,-86.7521348106883
935,0,370,935,106,270,2172,71,181,1022,53,2019-06-01,af5890ab,53.2551290613673,-86.7521348106883
1139,0,700,1139,177,270,2262,120,226,1423,66,2019-07-01,af5890ab,53.2551290613673,-86.7521348106883
838,0,760,838,103,270,1670,101,201,1379,42,2019-08-01,af5890ab,53.2551290613673,-86.7521348106883
434,43,610,477,38,197,1165,57,141,1016,25,2019-09-01,af5890ab,53.2551290613673,-86.7521348106883
218,0,600,218,76,270,601,-1,69,686,12,2019-10-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,490,0,37,270,321,-126,-55,318,0,2019-11-01,af5890ab,53.2551290613673,-86.7521348106883
0,0,430,0,32,270,274,-214,-119,190,0,2019-12-01,af5890ab,53.2551290613673,-86.7521348106883
