aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-92,0,130,270,411,-140,-45,279,5,2015-01-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-88,0,118,270,810,-176,-73,223,3,2015-02-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-235,0,40,270,1293,-125,-30,258,11,2015-03-01,b174e5cd,48.2245670235606,-56.358166819905
2,0,-185,28,94,270,1799,-52,32,435,16,2015-04-01,b174e5cd,48.2245670235606,-56.358166819905
932,0,-207,932,80,270,2343,10,127,649,42,2015-05-01,b174e5cd,48.2245670235606,-56.358166819905
1050,0,-165,1050,131,270,2220,60,173,888,57,2015-06-01,b174e5cd,48.2245670235606,-56.358166819905
626,423,-221,1049,48,99,2120,96,198,1224,53,2015-07-01,b174e5cd,48.2245670235606,-56.358166819905
785,82,-265,866,79,69,1798,94,205,1369,43,2015-08-01,b174e5cd,48.2245670235606,-56.358166819905
686,0,-147,686,185,270,1353,71,180,1095,45,2015-09-01,b174e5cd,48.2245670235606,-56.358166819905
427,0,162,432,175,270,825,16,108,715,28,2015-10-01,b174e5cd,48.2245670235606,-56.358166819905
54,0,218,118,174,270,514,-26,46,500,18,2015-11-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,88,0,90,270,352,-58,9,406,12,2015-12-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-200,0,81,270,427,-97,-19,309,6,2016-01-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-170,0,123,270,714,-121,-25,322,2,2016-02-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-120,0,129,270,1329,-110,-16,290,12,2016-03-01,b174e5cd,48.2245670235606,-56.358166819905
123,0,-70,123,107,270,1570,-39,47,453,18,2016-04-01,b174e5cd,48.2245670235606,-56.358166819905
833,0,-160,833,43,270,1922,26,130,668,35,2016-05-01,b174e5cd,48.2245670235606,-56.358166819905
945,0,-130,945,131,270,1931,66,171,927,50,2016-06-01,b174e5cd,48.2245670235606,-56.358166819905
1072,0,-70,1072,118,270,2082,105,212,1306,53,2016-07-01,b174e5cd,48.2245670235606,-56.358166819905
902,67,-120,969,83,155,1857,106,213,1370,48,2016-08-01,b174e5cd,48.2245670235606,-56.358166819905
658,0,70,658,148,270,1297,66,166,1052,25,2016-09-01,b174e5cd,48.2245670235606,-56.358166819905
434,0,100,434,152,270,816,21,110,752,19,2016-10-01,b174e5cd,48.2245670235606,-56.358166819905
209,0,90,209,149,270,394,-7,61,601,8,2016-11-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,-50,0,117,270,334,-95,-15,364,4,2016-12-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,60,0,142,270,477,-99,-19,321,5,2017-01-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,120,0,154,270,800,-126,-42,302,3,2017-02-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,100,0,111,270,1175,-104,-17,301,10,2017-03-01,b174e5cd,48.2245670235606,-56.358166819905
114,0,150,114,119,270,1750,-37,43,443,16,2017-04-01,b174e5cd,48.2245670235606,-56.358166819905
849,0,120,849,92,270,2246,12,117,618,35,2017-05-01,b174e5cd,48.2245670235606,-56.358166819905
943,18,70,961,91,239,2104,64,171,947,48,2017-06-01,b174e5cd,48.2245670235606,-56.358166819905
940,224,-40,1164,84,99,2373,108,215,1297,61,2017-07-01,b174e5cd,48.2245670235606,-56.358166819905
925,67,-130,992,94,69,1962,108,213,1360,44,2017-08-01,b174e5cd,48.2245670235606,-56.358166819905
618,69,-210,687,63,53,1302,69,175,1074,26,2017-09-01,b174e5cd,48.2245670235606,-56.358166819905
539,0,-340,539,68,164,921,39,132,782,21,2017-10-01,b174e5cd,48.2245670235606,-56.358166819905
149,0,-210,149,203,270,535,-29,55,531,12,2017-11-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,240,0,206,270,313,-63,10,414,6,2017-12-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,420,0,232,270,432,-115,-30,309,6,2018-01-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,510,0,185,270,700,-156,-50,282,5,2018-02-01,b174e5cd,48.2245670235606,-56.358166819905
57,0,440,57,112,270,1116,-32,26,380,9,2018-03-01,b174e5cd,48.2245670235606,-56.358166819905
51,0,420,51,95,270,1758,-46,36,423,17,2018-04-01,b174e5cd,48.2245670235606,-56.358166819905
742,0,370,742,85,270,2163,-2,100,609,39,2018-05-01,b174e5cd,48.2245670235606,-56.358166819905
911,0,330,911,107,270,2147,45,159,885,46,2018-06-01,b174e5cd,48.2245670235606,-56.358166819905
1097,116,280,1213,98,99,2121,116,236,1356,58,2018-07-01,b174e5cd,48.2245670235606,-56.358166819905
995,0,220,995,114,191,1771,112,222,1412,46,2018-08-01,b174e5cd,48.2245670235606,-56.358166819905
686,0,180,686,104,270,1431,61,170,1064,36,2018-09-01,b174e5cd,48.2245670235606,-56.358166819905
296,0,180,296,124,270,695,5,85,743,17,2018-10-01,b174e5cd,48.2245670235606,-56.358166819905
7,0,170,7,135,270,440,-43,25,559,8,2018-11-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,150,0,136,270,381,-77,-1,414,3,2018-12-01,b174e5cd,48.2245670235606,-56.358166819905
0,0,220,0,174,270,423,-115,-24,347,4,2019-01-01,b174e5cd,48.2245670235606,-56.358166819905
