aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,207,0,118,228,408,-277,-167,67,5,2015-01-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,251,0,88,228,845,-288,-170,54,6,2015-02-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,121,0,25,228,1490,-212,-84,117,10,2015-03-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,126,0,55,228,1798,-104,-3,303,14,2015-04-01,b502b4a7,53.6732113975412,-61.3353815933106
530,0,119,592,73,228,1949,-22,76,501,28,2015-05-01,b502b4a7,53.6732113975412,-61.3353815933106
1005,0,-134,1005,61,228,2248,43,161,792,54,2015-06-01,b502b4a7,53.6732113975412,-61.3353815933106
797,29,-177,826,79,179,1859,71,164,1061,38,2015-07-01,b502b4a7,53.6732113975412,-61.3353815933106
696,10,-222,706,72,167,1525,71,174,1143,36,2015-08-01,b502b4a7,53.6732113975412,-61.3353815933106
490,0,-275,490,76,228,1208,31,129,826,31,2015-09-01,b502b4a7,53.6732113975412,-61.3353815933106
56,0,-331,127,47,228,735,-27,47,483,20,2015-10-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-359,0,61,228,338,-98,-19,291,12,2015-11-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-426,0,36,228,297,-167,-75,177,8,2015-12-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-360,0,75,228,376,-208,-109,120,8,2016-01-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-240,0,97,228,792,-229,-99,127,8,2016-02-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-240,0,55,228,1531,-200,-72,110,12,2016-03-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-190,0,59,228,1728,-112,-3,291,15,2016-04-01,b502b4a7,53.6732113975412,-61.3353815933106
657,0,-220,657,60,228,2132,-18,96,550,32,2016-05-01,b502b4a7,53.6732113975412,-61.3353815933106
839,0,-70,839,152,228,1945,35,146,785,44,2016-06-01,b502b4a7,53.6732113975412,-61.3353815933106
859,11,-120,870,88,209,1943,71,178,1083,42,2016-07-01,b502b4a7,53.6732113975412,-61.3353815933106
791,0,-60,791,118,228,1508,71,182,1055,40,2016-08-01,b502b4a7,53.6732113975412,-61.3353815933106
531,0,-110,531,63,228,1159,25,122,739,28,2016-09-01,b502b4a7,53.6732113975412,-61.3353815933106
146,0,110,146,104,228,629,-28,49,485,19,2016-10-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-50,0,67,228,355,-85,-5,358,9,2016-11-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-100,0,57,228,305,-210,-112,101,7,2016-12-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-100,0,63,228,392,-210,-108,130,7,2017-01-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-120,0,51,228,816,-227,-114,116,7,2017-02-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-120,0,62,228,1481,-189,-62,130,12,2017-03-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-160,0,28,228,2005,-103,8,280,18,2017-04-01,b502b4a7,53.6732113975412,-61.3353815933106
578,0,-130,578,78,228,2036,-29,82,489,25,2017-05-01,b502b4a7,53.6732113975412,-61.3353815933106
793,0,-160,793,74,228,1876,34,143,786,40,2017-06-01,b502b4a7,53.6732113975412,-61.3353815933106
931,0,-150,931,112,228,1941,67,185,1063,47,2017-07-01,b502b4a7,53.6732113975412,-61.3353815933106
772,0,-80,772,120,228,1499,68,179,1076,40,2017-08-01,b502b4a7,53.6732113975412,-61.3353815933106
543,0,-70,543,91,228,1233,33,133,810,33,2017-09-01,b502b4a7,53.6732113975412,-61.3353815933106
385,0,-140,385,71,228,679,-2,83,572,27,2017-10-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-60,0,113,228,337,-90,-12,289,12,2017-11-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,110,0,104,228,253,-164,-72,182,9,2017-12-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,100,0,70,228,393,-236,-135,100,6,2018-01-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,120,0,74,228,881,-252,-120,76,6,2018-02-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-80,0,37,228,1277,-101,-9,267,13,2018-03-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,0,0,50,228,1906,-111,-2,240,16,2018-04-01,b502b4a7,53.6732113975412,-61.3353815933106
123,0,60,123,52,228,2284,-51,52,380,28,2018-05-01,b502b4a7,53.6732113975412,-61.3353815933106
868,0,0,868,68,228,2250,13,128,634,45,2018-06-01,b502b4a7,53.6732113975412,-61.3353815933106
1039,0,20,1039,149,228,2152,75,206,1128,59,2018-07-01,b502b4a7,53.6732113975412,-61.3353815933106
845,0,60,845,122,228,1700,75,191,1127,54,2018-08-01,b502b4a7,53.6732113975412,-61.3353815933106
561,72,-100,633,46,104,1348,21,127,720,39,2018-09-01,b502b4a7,53.6732113975412,-61.3353815933106
30,0,80,30,114,228,546,-37,26,422,16,2018-10-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-20,0,78,228,359,-113,-39,278,8,2018-11-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,-90,0,53,228,264,-177,-86,152,8,2018-12-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,90,0,105,228,375,-255,-148,81,6,2019-01-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,100,0,70,228,810,-247,-131,77,8,2019-02-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,110,0,75,228,1339,-177,-61,146,13,2019-03-01,b502b4a7,53.6732113975412,-61.3353815933106
0,0,180,0,78,228,1778,-86,13,313,18,2019-04-01,b502b4a7,53.6732113975412,-61.3353815933106
546,0,110,546,43,228,2014,-22,77,545,24,2019-05-01,b502b4a7,53.6732113975412,-61.3353815933106
