aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-119,0,20,129,110,-301,-213,115,0,2015-01-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,-117,0,10,129,393,-318,-204,84,0,2015-02-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,-108,0,12,129,1089,-241,-102,142,4,2015-03-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,-130,0,4,129,2068,-142,-1,246,16,2015-04-01,b66ce0c6,63.4258931832049,-115.408876995925
1078,20,-264,1098,6,122,2710,1,131,457,61,2015-05-01,b66ce0c6,63.4258931832049,-115.408876995925
261,1157,-275,1418,24,92,2639,88,209,868,94,2015-06-01,b66ce0c6,63.4258931832049,-115.408876995925
423,730,-208,1153,43,74,2001,110,212,1117,80,2015-07-01,b66ce0c6,63.4258931832049,-115.408876995925
704,169,-68,872,73,62,1541,97,193,1141,59,2015-08-01,b66ce0c6,63.4258931832049,-115.408876995925
383,0,197,387,43,90,974,25,104,746,26,2015-09-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,205,0,35,90,372,-57,-3,457,4,2015-10-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,222,0,28,90,131,-173,-95,258,0,2015-11-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,251,0,24,90,64,-242,-172,172,0,2015-12-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,160,0,9,66,100,-277,-195,101,0,2016-01-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,120,0,8,66,408,-297,-189,106,1,2016-02-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,90,0,11,66,1052,-223,-83,150,5,2016-03-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,100,0,10,66,1871,-151,-14,288,10,2016-04-01,b66ce0c6,63.4258931832049,-115.408876995925
861,0,80,861,16,428,2226,19,127,571,54,2016-05-01,b66ce0c6,63.4258931832049,-115.408876995925
666,617,120,1283,42,158,2442,95,207,945,85,2016-06-01,b66ce0c6,63.4258931832049,-115.408876995925
422,820,110,1242,39,109,2221,119,227,1264,89,2016-07-01,b66ce0c6,63.4258931832049,-115.408876995925
343,541,-40,884,34,85,1710,95,198,1190,57,2016-08-01,b66ce0c6,63.4258931832049,-115.408876995925
405,0,170,405,60,250,941,31,111,825,24,2016-09-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,90,0,11,250,410,-63,-17,527,7,2016-10-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,-40,0,19,250,124,-150,-72,268,0,2016-11-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,-100,0,18,250,73,-274,-206,117,0,2016-12-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,40,0,23,250,102,-294,-194,82,0,2017-01-01,b66ce0c6,63.4258931832049,-115.408876995925
0,0,90,0,16,250,325,-291,-195,103,0,2017-02-01,b66ce0c6,63.4258931832049,-115.408876995925
