aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,297,0,29,328,437,-268,-152,144,0,2015-01-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,328,0,37,328,965,-316,-189,54,4,2015-02-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,279,0,29,328,1493,-178,-33,230,9,2015-03-01,b6a2df2e,52.4597537137593,-90.5845599460626
1,0,227,25,29,328,1961,-82,53,373,24,2015-04-01,b6a2df2e,52.4597537137593,-90.5845599460626
847,0,359,856,117,328,2330,-3,126,648,38,2015-05-01,b6a2df2e,52.4597537137593,-90.5845599460626
955,172,337,1127,77,121,2532,67,199,1074,58,2015-06-01,b6a2df2e,52.4597537137593,-90.5845599460626
1250,0,445,1250,160,328,2320,123,240,1482,74,2015-07-01,b6a2df2e,52.4597537137593,-90.5845599460626
745,71,413,816,66,207,1585,108,207,1418,46,2015-08-01,b6a2df2e,52.4597537137593,-90.5845599460626
509,0,380,509,75,328,1338,68,168,1196,26,2015-09-01,b6a2df2e,52.4597537137593,-90.5845599460626
170,0,388,192,72,328,755,-14,66,636,13,2015-10-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,532,0,101,328,283,-70,-9,485,0,2015-11-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,485,0,35,328,267,-142,-76,334,0,2015-12-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,420,0,28,328,368,-233,-136,179,1,2016-01-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,380,0,22,328,910,-243,-115,165,3,2016-02-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,330,0,32,328,1577,-161,-8,289,14,2016-03-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,320,0,43,328,2093,-99,35,366,20,2016-04-01,b6a2df2e,52.4597537137593,-90.5845599460626
866,0,280,866,52,328,2245,14,147,703,55,2016-05-01,b6a2df2e,52.4597537137593,-90.5845599460626
903,141,230,1044,73,121,2351,72,194,1083,66,2016-06-01,b6a2df2e,52.4597537137593,-90.5845599460626
1141,48,240,1189,118,100,2313,126,232,1467,87,2016-07-01,b6a2df2e,52.4597537137593,-90.5845599460626
911,2,250,913,96,99,1708,112,217,1432,63,2016-08-01,b6a2df2e,52.4597537137593,-90.5845599460626
478,0,260,478,97,328,1101,69,151,1133,25,2016-09-01,b6a2df2e,52.4597537137593,-90.5845599460626
187,0,260,187,60,328,531,-6,60,688,9,2016-10-01,b6a2df2e,52.4597537137593,-90.5845599460626
4,0,170,4,21,328,372,-53,23,510,5,2016-11-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,160,0,33,328,289,-216,-131,194,0,2016-12-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,140,0,32,328,370,-222,-124,203,0,2017-01-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,120,0,22,328,841,-214,-97,202,2,2017-02-01,b6a2df2e,52.4597537137593,-90.5845599460626
0,0,100,0,32,328,1513,-193,-38,223,9,2017-03-01,b6a2df2e,52.4597537137593,-90.5845599460626
27,0,100,27,37,328,1914,-80,57,403,26,2017-04-01,b6a2df2e,52.4597537137593,-90.5845599460626
780,0,110,780,57,328,2209,3,121,633,49,2017-05-01,b6a2df2e,52.4597537137593,-90.5845599460626
953,75,110,1028,85,199,2276,73,195,1034,67,2017-06-01,b6a2df2e,52.4597537137593,-90.5845599460626
