aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,686,0,54,597,537,-262,-106,209,0,2015-01-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,616,0,51,597,1107,-300,-146,142,0,2015-02-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,555,0,50,597,1575,-186,-22,312,2,2015-03-01,b85ae0c0,48.1839052345291,-80.6002180752508
17,0,591,90,74,597,1949,-66,68,527,16,2015-04-01,b85ae0c0,48.1839052345291,-80.6002180752508
983,0,552,983,79,597,2088,33,183,964,48,2015-05-01,b85ae0c0,48.1839052345291,-80.6002180752508
925,144,481,1069,71,349,2374,70,214,1282,50,2015-06-01,b85ae0c0,48.1839052345291,-80.6002180752508
798,430,384,1228,68,195,2332,106,247,1568,64,2015-07-01,b85ae0c0,48.1839052345291,-80.6002180752508
929,0,352,929,101,227,1713,109,226,1483,54,2015-08-01,b85ae0c0,48.1839052345291,-80.6002180752508
601,90,211,692,59,185,1603,80,209,1374,40,2015-09-01,b85ae0c0,48.1839052345291,-80.6002180752508
264,0,148,268,67,561,880,-5,102,779,14,2015-10-01,b85ae0c0,48.1839052345291,-80.6002180752508
5,0,61,15,65,597,484,-43,56,703,0,2015-11-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,174,0,96,597,301,-89,-8,605,0,2015-12-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-70,0,61,597,458,-204,-76,285,1,2016-01-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,150,0,61,597,840,-207,-60,278,3,2016-02-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,140,0,54,597,1495,-133,18,421,11,2016-03-01,b85ae0c0,48.1839052345291,-80.6002180752508
23,0,170,23,48,597,2159,-79,50,417,22,2016-04-01,b85ae0c0,48.1839052345291,-80.6002180752508
969,0,130,969,63,597,2375,20,172,819,57,2016-05-01,b85ae0c0,48.1839052345291,-80.6002180752508
1050,163,60,1213,81,317,2398,77,221,1122,71,2016-06-01,b85ae0c0,48.1839052345291,-80.6002180752508
1000,224,-20,1224,92,186,2235,119,251,1552,67,2016-07-01,b85ae0c0,48.1839052345291,-80.6002180752508
974,51,-90,1025,101,168,1846,121,248,1635,68,2016-08-01,b85ae0c0,48.1839052345291,-80.6002180752508
714,0,-120,714,95,355,1504,79,199,1283,39,2016-09-01,b85ae0c0,48.1839052345291,-80.6002180752508
354,0,-140,354,66,597,818,15,115,845,19,2016-10-01,b85ae0c0,48.1839052345291,-80.6002180752508
46,0,-150,46,72,597,386,-40,57,650,9,2016-11-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-110,0,66,597,350,-164,-61,338,2,2016-12-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-100,0,56,597,476,-176,-63,348,1,2017-01-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,30,0,62,597,801,-173,-36,346,4,2017-02-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,0,0,48,597,1601,-164,-16,324,10,2017-03-01,b85ae0c0,48.1839052345291,-80.6002180752508
385,0,-40,385,50,597,1664,-38,90,619,25,2017-04-01,b85ae0c0,48.1839052345291,-80.6002180752508
704,0,40,704,70,597,1668,22,142,838,33,2017-05-01,b85ae0c0,48.1839052345291,-80.6002180752508
1045,70,80,1115,97,476,2194,88,218,1146,60,2017-06-01,b85ae0c0,48.1839052345291,-80.6002180752508
1116,143,120,1259,99,301,2579,103,238,1461,77,2017-07-01,b85ae0c0,48.1839052345291,-80.6002180752508
849,0,190,849,113,525,1689,89,209,1380,45,2017-08-01,b85ae0c0,48.1839052345291,-80.6002180752508
625,0,180,625,75,597,1495,70,199,1336,39,2017-09-01,b85ae0c0,48.1839052345291,-80.6002180752508
326,0,240,326,84,597,888,25,127,960,29,2017-10-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,240,0,80,597,386,-84,5,489,6,2017-11-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,230,0,63,597,444,-207,-89,283,0,2017-12-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,200,0,51,597,514,-226,-88,256,3,2018-01-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,170,0,51,597,867,-213,-60,299,6,2018-02-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,140,0,44,597,1621,-174,-21,295,10,2018-03-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,170,0,49,597,2096,-101,32,383,24,2018-04-01,b85ae0c0,48.1839052345291,-80.6002180752508
1033,0,130,1033,71,597,2379,35,197,939,72,2018-05-01,b85ae0c0,48.1839052345291,-80.6002180752508
1038,175,60,1213,78,295,2684,77,224,1237,88,2018-06-01,b85ae0c0,48.1839052345291,-80.6002180752508
855,461,-130,1316,78,180,2455,122,259,1585,102,2018-07-01,b85ae0c0,48.1839052345291,-80.6002180752508
877,166,-170,1043,87,133,2117,110,242,1634,73,2018-08-01,b85ae0c0,48.1839052345291,-80.6002180752508
595,0,-200,595,82,316,1391,73,194,1375,40,2018-09-01,b85ae0c0,48.1839052345291,-80.6002180752508
229,0,-130,229,87,597,603,-7,77,751,16,2018-10-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-90,0,79,597,401,-96,-25,453,4,2018-11-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-90,0,56,597,409,-161,-44,379,2,2018-12-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,-70,0,57,597,564,-270,-127,141,1,2019-01-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,230,0,115,597,903,-236,-84,182,3,2019-02-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,160,0,34,597,1509,-163,-12,258,11,2019-03-01,b85ae0c0,48.1839052345291,-80.6002180752508
50,0,340,50,109,597,1772,-70,60,430,22,2019-04-01,b85ae0c0,48.1839052345291,-80.6002180752508
843,0,330,843,74,597,2048,-4,140,660,44,2019-05-01,b85ae0c0,48.1839052345291,-80.6002180752508
1191,0,370,1191,126,597,2547,74,218,1127,70,2019-06-01,b85ae0c0,48.1839052345291,-80.6002180752508
811,611,250,1422,46,220,2546,126,263,1531,92,2019-07-01,b85ae0c0,48.1839052345291,-80.6002180752508
867,263,150,1130,84,152,2123,100,232,1392,65,2019-08-01,b85ae0c0,48.1839052345291,-80.6002180752508
578,0,140,578,103,556,1221,63,183,1222,31,2019-09-01,b85ae0c0,48.1839052345291,-80.6002180752508
360,0,200,360,102,597,764,3,103,745,20,2019-10-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,210,0,80,597,517,-107,-22,363,3,2019-11-01,b85ae0c0,48.1839052345291,-80.6002180752508
0,0,150,0,46,597,353,-164,-44,290,2,2019-12-01,b85ae0c0,48.1839052345291,-80.6002180752508
