aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,665,0,36,284,385,-305,-189,96,0,2015-01-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,626,0,30,284,884,-355,-229,41,2,2015-02-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,605,0,35,284,1441,-240,-94,164,3,2015-03-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,600,0,42,284,1851,-109,12,378,9,2015-04-01,b8d71d08,53.8515054541053,-85.1196977912991
722,0,576,737,51,284,2325,-15,102,608,29,2015-05-01,b8d71d08,53.8515054541053,-85.1196977912991
777,282,475,1059,58,105,2718,48,174,952,48,2015-06-01,b8d71d08,53.8515054541053,-85.1196977912991
583,391,362,974,58,72,2077,91,210,1375,45,2015-07-01,b8d71d08,53.8515054541053,-85.1196977912991
697,0,400,697,101,284,1582,92,191,1387,31,2015-08-01,b8d71d08,53.8515054541053,-85.1196977912991
422,0,357,422,55,284,1277,54,156,1157,18,2015-09-01,b8d71d08,53.8515054541053,-85.1196977912991
114,0,327,155,50,284,693,-24,62,592,14,2015-10-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,236,0,29,284,250,-82,-11,481,0,2015-11-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,249,0,42,284,225,-161,-89,326,0,2015-12-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,220,0,30,284,330,-260,-155,149,2,2016-01-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,200,0,23,284,838,-290,-158,113,2,2016-02-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,130,0,16,284,1597,-211,-69,204,5,2016-03-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,60,0,14,284,2036,-130,-11,306,8,2016-04-01,b8d71d08,53.8515054541053,-85.1196977912991
702,0,80,702,49,284,2296,-3,113,641,39,2016-05-01,b8d71d08,53.8515054541053,-85.1196977912991
854,66,90,920,76,171,2205,56,173,966,49,2016-06-01,b8d71d08,53.8515054541053,-85.1196977912991
816,207,70,1023,78,94,2299,94,207,1327,54,2016-07-01,b8d71d08,53.8515054541053,-85.1196977912991
745,58,-10,803,76,71,1751,92,199,1330,52,2016-08-01,b8d71d08,53.8515054541053,-85.1196977912991
458,0,80,458,98,284,1172,55,146,1059,26,2016-09-01,b8d71d08,53.8515054541053,-85.1196977912991
175,0,170,175,77,284,527,-13,61,659,11,2016-10-01,b8d71d08,53.8515054541053,-85.1196977912991
0,0,130,0,38,284,276,-73,1,447,5,2016-11-01,b8d71d08,53.8515054541053,-85.1196977912991
