aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-149,0,23,90,243,-217,-112,178,1,2015-01-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-75,0,28,90,581,-228,-106,154,3,2015-02-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-83,0,13,90,1241,-135,14,273,18,2015-03-01,ba8f9f0d,58.0456953881793,-113.820016497509
660,0,-110,716,21,578,2228,-44,103,366,49,2015-04-01,ba8f9f0d,58.0456953881793,-113.820016497509
692,590,-260,1281,25,213,2893,16,180,502,88,2015-05-01,ba8f9f0d,58.0456953881793,-113.820016497509
493,950,-291,1443,45,147,2921,81,233,1013,97,2015-06-01,ba8f9f0d,58.0456953881793,-113.820016497509
681,522,-272,1202,68,114,2345,105,236,1341,75,2015-07-01,ba8f9f0d,58.0456953881793,-113.820016497509
414,538,-292,952,41,94,1834,92,219,1236,66,2015-08-01,ba8f9f0d,58.0456953881793,-113.820016497509
512,0,-187,512,62,172,1344,29,154,853,40,2015-09-01,ba8f9f0d,58.0456953881793,-113.820016497509
234,0,-157,241,29,217,652,-8,87,590,26,2015-10-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-152,0,20,217,321,-103,-13,363,6,2015-11-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-155,0,19,217,144,-170,-95,239,0,2015-12-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-190,0,23,132,226,-200,-107,196,3,2016-01-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-160,0,19,132,565,-174,-56,224,9,2016-02-01,ba8f9f0d,58.0456953881793,-113.820016497509
0,0,-140,0,17,132,1080,-108,4,291,17,2016-03-01,ba8f9f0d,58.0456953881793,-113.820016497509
505,0,-150,505,17,577,1876,-38,87,394,40,2016-04-01,ba8f9f0d,58.0456953881793,-113.820016497509
831,274,-200,1105,35,213,2378,37,183,656,80,2016-05-01,ba8f9f0d,58.0456953881793,-113.820016497509
523,766,-220,1289,48,147,2633,90,228,1069,92,2016-06-01,ba8f9f0d,58.0456953881793,-113.820016497509
700,515,-210,1215,70,114,2434,115,239,1395,86,2016-07-01,ba8f9f0d,58.0456953881793,-113.820016497509
512,466,-200,978,52,94,1877,97,221,1239,76,2016-08-01,ba8f9f0d,58.0456953881793,-113.820016497509
407,166,-200,573,41,80,1231,41,155,852,45,2016-09-01,ba8f9f0d,58.0456953881793,-113.820016497509
67,0,-130,67,28,154,502,-20,32,508,17,2016-10-01,ba8f9f0d,58.0456953881793,-113.820016497509
