aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,195,0,27,314,199,-224,-129,161,0,2015-01-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,301,0,37,314,488,-240,-125,133,3,2015-02-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,267,0,16,314,1184,-160,-9,225,15,2015-03-01,baf00c6b,59.5584839520813,-117.345240489733
405,0,192,539,16,497,2088,-50,89,337,45,2015-04-01,baf00c6b,59.5584839520813,-117.345240489733
781,530,-259,1311,14,183,2865,16,178,485,88,2015-05-01,baf00c6b,59.5584839520813,-117.345240489733
399,1024,-312,1423,36,127,2725,77,230,942,99,2015-06-01,baf00c6b,59.5584839520813,-117.345240489733
615,576,-269,1191,62,98,2257,99,229,1237,78,2015-07-01,baf00c6b,59.5584839520813,-117.345240489733
612,317,-180,929,63,81,1776,82,212,1165,64,2015-08-01,baf00c6b,59.5584839520813,-117.345240489733
94,435,-290,528,9,69,1210,20,146,774,41,2015-09-01,baf00c6b,59.5584839520813,-117.345240489733
112,0,-328,148,17,107,525,-20,60,550,18,2015-10-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-343,0,23,107,243,-138,-49,309,1,2015-11-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-341,0,24,107,103,-204,-132,220,0,2015-12-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-370,0,17,67,187,-210,-129,164,2,2016-01-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-300,0,21,67,488,-195,-87,183,6,2016-02-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-260,0,19,67,1085,-133,-17,249,15,2016-03-01,baf00c6b,59.5584839520813,-117.345240489733
225,0,-250,225,14,355,1826,-50,69,390,33,2016-04-01,baf00c6b,59.5584839520813,-117.345240489733
1013,67,-210,1080,37,285,2331,31,177,661,75,2016-05-01,baf00c6b,59.5584839520813,-117.345240489733
692,603,-180,1295,60,161,2632,84,227,1075,86,2016-06-01,baf00c6b,59.5584839520813,-117.345240489733
579,582,-170,1161,56,116,2254,107,239,1395,79,2016-07-01,baf00c6b,59.5584839520813,-117.345240489733
561,368,-110,929,57,92,1830,87,217,1251,70,2016-08-01,baf00c6b,59.5584839520813,-117.345240489733
470,91,110,561,48,77,1100,29,151,840,39,2016-09-01,baf00c6b,59.5584839520813,-117.345240489733
11,0,130,11,25,99,515,-39,22,523,14,2016-10-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,110,0,20,99,269,-111,-31,358,3,2016-11-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,100,0,20,99,113,-245,-163,135,1,2016-12-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,130,0,21,99,199,-223,-115,140,1,2017-01-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,130,0,18,99,471,-212,-103,176,5,2017-02-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,150,0,23,99,1225,-191,-67,219,8,2017-03-01,baf00c6b,59.5584839520813,-117.345240489733
85,0,140,85,14,250,2113,-62,61,355,38,2017-04-01,baf00c6b,59.5584839520813,-117.345240489733
1114,0,140,1114,34,497,2429,29,174,622,84,2017-05-01,baf00c6b,59.5584839520813,-117.345240489733
984,212,190,1196,71,183,2571,76,207,996,80,2017-06-01,baf00c6b,59.5584839520813,-117.345240489733
731,485,210,1216,71,127,2433,102,235,1311,81,2017-07-01,baf00c6b,59.5584839520813,-117.345240489733
310,837,80,1147,30,98,2109,85,240,1191,100,2017-08-01,baf00c6b,59.5584839520813,-117.345240489733
253,386,-180,639,25,81,1327,36,176,890,62,2017-09-01,baf00c6b,59.5584839520813,-117.345240489733
113,0,-130,113,32,192,495,-29,51,534,19,2017-10-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,100,0,40,192,218,-189,-107,213,4,2017-11-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,130,0,18,192,134,-224,-118,180,0,2017-12-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,170,0,25,192,175,-233,-154,140,2,2018-01-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,170,0,18,192,574,-268,-129,123,6,2018-02-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,190,0,24,192,1314,-187,-45,179,14,2018-03-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,190,0,14,192,1927,-90,43,331,30,2018-04-01,baf00c6b,59.5584839520813,-117.345240489733
1149,0,140,1149,25,497,2554,27,179,619,94,2018-05-01,baf00c6b,59.5584839520813,-117.345240489733
870,204,170,1074,59,183,1967,83,214,1041,65,2018-06-01,baf00c6b,59.5584839520813,-117.345240489733
440,809,70,1249,40,127,2373,100,236,1295,87,2018-07-01,baf00c6b,59.5584839520813,-117.345240489733
469,459,60,928,46,98,1817,73,208,1159,79,2018-08-01,baf00c6b,59.5584839520813,-117.345240489733
262,188,-20,450,26,81,1392,-24,107,658,36,2018-09-01,baf00c6b,59.5584839520813,-117.345240489733
20,0,-80,20,17,92,655,-52,42,463,24,2018-10-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,30,0,33,92,217,-144,-82,264,2,2018-11-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,0,0,17,92,114,-206,-122,180,1,2018-12-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,70,0,23,92,189,-229,-132,131,3,2019-01-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-50,0,7,92,576,-287,-165,79,4,2019-02-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-130,0,2,92,1267,-108,32,264,26,2019-03-01,baf00c6b,59.5584839520813,-117.345240489733
615,0,-210,615,13,431,1847,-35,95,355,48,2019-04-01,baf00c6b,59.5584839520813,-117.345240489733
389,827,-450,1216,8,181,2728,22,157,447,81,2019-05-01,baf00c6b,59.5584839520813,-117.345240489733
565,526,-380,1091,54,126,2331,60,197,970,65,2019-06-01,baf00c6b,59.5584839520813,-117.345240489733
394,781,-420,1175,39,98,2240,94,227,1182,80,2019-07-01,baf00c6b,59.5584839520813,-117.345240489733
592,217,-290,809,61,80,1632,62,193,1114,49,2019-08-01,baf00c6b,59.5584839520813,-117.345240489733
313,194,-270,507,32,68,1085,34,152,881,38,2019-09-01,baf00c6b,59.5584839520813,-117.345240489733
116,0,-250,116,24,106,562,-34,53,472,21,2019-10-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-290,0,13,106,227,-138,-56,250,6,2019-11-01,baf00c6b,59.5584839520813,-117.345240489733
0,0,-320,0,17,106,123,-248,-157,122,1,2019-12-01,baf00c6b,59.5584839520813,-117.345240489733
