aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-221,0,24,322,312,-311,-205,80,0,2015-01-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,-240,0,9,322,753,-353,-246,29,3,2015-02-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,-212,0,22,322,1437,-249,-117,146,2,2015-03-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,-74,0,49,322,1899,-118,-5,348,7,2015-04-01,bafb5871,55.8284466877069,-88.0166581911095
429,0,156,550,46,322,2530,-34,75,511,25,2015-05-01,bafb5871,55.8284466877069,-88.0166581911095
882,55,150,937,46,227,2292,49,157,878,45,2015-06-01,bafb5871,55.8284466877069,-88.0166581911095
941,0,480,941,162,322,1978,90,196,1283,44,2015-07-01,bafb5871,55.8284466877069,-88.0166581911095
660,0,661,660,107,322,1554,89,174,1285,28,2015-08-01,bafb5871,55.8284466877069,-88.0166581911095
397,0,804,397,95,322,1072,57,135,1019,21,2015-09-01,bafb5871,55.8284466877069,-88.0166581911095
39,0,724,90,39,322,623,-27,46,542,14,2015-10-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,854,0,76,322,262,-95,-33,376,1,2015-11-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,787,0,32,322,192,-183,-113,231,0,2015-12-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,670,0,21,322,290,-275,-178,106,3,2016-01-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,590,0,13,322,797,-299,-180,94,2,2016-02-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,550,0,26,322,1446,-232,-97,161,4,2016-03-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,420,0,11,322,2191,-140,-25,289,6,2016-04-01,bafb5871,55.8284466877069,-88.0166581911095
620,0,420,620,55,322,2336,-14,87,578,28,2016-05-01,bafb5871,55.8284466877069,-88.0166581911095
799,126,410,925,56,119,2307,55,156,874,49,2016-06-01,bafb5871,55.8284466877069,-88.0166581911095
942,32,450,974,98,104,2166,95,194,1240,48,2016-07-01,bafb5871,55.8284466877069,-88.0166581911095
585,195,360,780,59,75,1731,88,179,1204,41,2016-08-01,bafb5871,55.8284466877069,-88.0166581911095
463,0,270,463,57,155,1099,53,128,912,29,2016-09-01,bafb5871,55.8284466877069,-88.0166581911095
71,0,350,71,84,322,476,-25,38,553,12,2016-10-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,280,0,26,322,287,-91,-19,353,7,2016-11-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,210,0,21,322,217,-249,-158,125,1,2016-12-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,200,0,27,322,274,-265,-167,102,0,2017-01-01,bafb5871,55.8284466877069,-88.0166581911095
0,0,340,0,40,322,689,-278,-162,113,1,2017-02-01,bafb5871,55.8284466877069,-88.0166581911095
