aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,888,0,66,460,460,-286,-157,144,0,2015-01-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,842,0,57,460,1036,-333,-185,84,1,2015-02-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,819,0,60,460,1519,-203,-44,241,4,2015-03-01,bc1f6172,51.0094915196014,-83.7914305600361
1,0,816,16,65,460,1860,-84,47,427,16,2015-04-01,bc1f6172,51.0094915196014,-83.7914305600361
901,0,780,901,75,460,2247,13,149,752,44,2015-05-01,bc1f6172,51.0094915196014,-83.7914305600361
879,227,673,1105,62,169,2586,65,203,1115,56,2015-06-01,bc1f6172,51.0094915196014,-83.7914305600361
602,594,512,1197,58,117,2359,112,243,1527,67,2015-07-01,bc1f6172,51.0094915196014,-83.7914305600361
850,0,544,850,114,352,1706,108,222,1524,47,2015-08-01,bc1f6172,51.0094915196014,-83.7914305600361
570,5,447,576,59,346,1516,76,194,1340,31,2015-09-01,bc1f6172,51.0094915196014,-83.7914305600361
211,0,373,219,56,460,776,-13,84,686,15,2015-10-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,267,2,37,460,323,-54,29,600,0,2015-11-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,293,0,71,460,264,-122,-49,429,0,2015-12-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,380,0,91,460,397,-233,-128,228,1,2016-01-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,420,0,68,460,849,-244,-106,194,3,2016-02-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,320,0,24,460,1642,-159,-15,322,10,2016-03-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,270,0,32,460,2073,-97,32,398,17,2016-04-01,bc1f6172,51.0094915196014,-83.7914305600361
836,0,250,836,58,460,2310,12,156,776,51,2016-05-01,bc1f6172,51.0094915196014,-83.7914305600361
1001,4,270,1005,105,453,2315,66,202,1141,63,2016-06-01,bc1f6172,51.0094915196014,-83.7914305600361
1064,52,290,1116,103,366,2301,112,239,1530,78,2016-07-01,bc1f6172,51.0094915196014,-83.7914305600361
843,62,290,905,81,291,1765,112,237,1586,67,2016-08-01,bc1f6172,51.0094915196014,-83.7914305600361
562,0,300,562,93,460,1268,76,183,1251,35,2016-09-01,bc1f6172,51.0094915196014,-83.7914305600361
284,0,300,284,66,460,615,9,97,772,17,2016-10-01,bc1f6172,51.0094915196014,-83.7914305600361
15,0,280,15,68,460,346,-40,41,616,8,2016-11-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,310,0,71,460,300,-194,-106,268,0,2016-12-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,290,0,58,460,349,-206,-116,233,0,2017-01-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,270,0,46,460,791,-212,-83,239,3,2017-02-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,210,0,32,460,1581,-190,-39,258,8,2017-03-01,bc1f6172,51.0094915196014,-83.7914305600361
79,0,240,79,59,460,1905,-64,65,478,24,2017-04-01,bc1f6172,51.0094915196014,-83.7914305600361
724,0,250,724,58,460,2190,11,124,751,44,2017-05-01,bc1f6172,51.0094915196014,-83.7914305600361
1003,25,280,1028,101,417,2429,77,205,1146,63,2017-06-01,bc1f6172,51.0094915196014,-83.7914305600361
913,329,200,1242,70,168,2642,97,237,1369,101,2017-07-01,bc1f6172,51.0094915196014,-83.7914305600361
719,150,160,869,70,117,1928,83,205,1326,62,2017-08-01,bc1f6172,51.0094915196014,-83.7914305600361
507,0,180,507,100,460,1208,69,181,1255,35,2017-09-01,bc1f6172,51.0094915196014,-83.7914305600361
273,0,190,273,67,460,760,13,102,827,27,2017-10-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,190,0,70,460,412,-108,-24,420,5,2017-11-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,150,0,48,460,377,-239,-135,233,0,2017-12-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,140,0,56,460,478,-257,-140,182,2,2018-01-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,140,0,47,460,872,-274,-124,164,2,2018-02-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,80,0,26,460,1574,-201,-40,243,8,2018-03-01,bc1f6172,51.0094915196014,-83.7914305600361
0,0,60,0,34,460,2290,-128,16,319,19,2018-04-01,bc1f6172,51.0094915196014,-83.7914305600361
934,0,70,934,72,460,2315,19,180,780,54,2018-05-01,bc1f6172,51.0094915196014,-83.7914305600361
930,246,-50,1176,67,169,2758,73,216,1110,85,2018-06-01,bc1f6172,51.0094915196014,-83.7914305600361
