aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,360,0,23,472,421,-248,-134,169,0,2015-01-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,374,0,31,472,984,-301,-173,63,4,2015-02-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,305,0,23,472,1491,-150,-15,264,11,2015-03-01,bd1cb25f,52.2199227230016,-93.9225914379223
64,0,220,202,17,472,2034,-63,75,398,31,2015-04-01,bd1cb25f,52.2199227230016,-93.9225914379223
951,0,307,951,91,472,2380,3,141,669,45,2015-05-01,bd1cb25f,52.2199227230016,-93.9225914379223
993,166,291,1159,75,187,2556,75,208,1171,58,2015-06-01,bd1cb25f,52.2199227230016,-93.9225914379223
1112,120,331,1232,111,128,2398,122,241,1584,64,2015-07-01,bd1cb25f,52.2199227230016,-93.9225914379223
828,0,357,828,97,223,1667,106,215,1502,42,2015-08-01,bd1cb25f,52.2199227230016,-93.9225914379223
522,0,297,522,55,227,1328,74,176,1261,26,2015-09-01,bd1cb25f,52.2199227230016,-93.9225914379223
243,0,303,249,73,472,771,3,80,691,16,2015-10-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,398,0,73,472,305,-56,2,495,2,2015-11-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,404,0,40,472,285,-139,-67,328,0,2015-12-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,360,0,21,472,389,-222,-123,188,0,2016-01-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,330,0,20,472,855,-219,-96,170,4,2016-02-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,280,0,26,472,1526,-135,7,317,13,2016-03-01,bd1cb25f,52.2199227230016,-93.9225914379223
30,0,320,30,51,472,2105,-78,55,397,27,2016-04-01,bd1cb25f,52.2199227230016,-93.9225914379223
947,0,330,947,68,472,2206,26,164,746,61,2016-05-01,bd1cb25f,52.2199227230016,-93.9225914379223
998,97,320,1095,88,305,2416,81,206,1185,65,2016-06-01,bd1cb25f,52.2199227230016,-93.9225914379223
939,197,290,1136,84,160,2246,124,235,1576,76,2016-07-01,bd1cb25f,52.2199227230016,-93.9225914379223
914,0,310,914,101,203,1797,109,220,1503,53,2016-08-01,bd1cb25f,52.2199227230016,-93.9225914379223
504,0,310,504,83,472,1094,74,161,1183,23,2016-09-01,bd1cb25f,52.2199227230016,-93.9225914379223
221,0,270,221,43,472,540,1,68,714,10,2016-10-01,bd1cb25f,52.2199227230016,-93.9225914379223
30,0,240,30,31,472,376,-35,38,537,5,2016-11-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,250,0,38,472,295,-210,-122,192,0,2016-12-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,200,0,21,472,384,-215,-113,217,0,2017-01-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,170,0,16,472,891,-192,-81,200,4,2017-02-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,120,0,24,472,1509,-173,-31,247,8,2017-03-01,bd1cb25f,52.2199227230016,-93.9225914379223
119,0,120,119,33,472,2037,-65,70,437,30,2017-04-01,bd1cb25f,52.2199227230016,-93.9225914379223
864,0,70,864,29,472,2199,13,135,666,57,2017-05-01,bd1cb25f,52.2199227230016,-93.9225914379223
880,120,-100,1000,71,266,2067,78,203,1111,64,2017-06-01,bd1cb25f,52.2199227230016,-93.9225914379223
717,581,-180,1298,63,151,2575,117,243,1486,94,2017-07-01,bd1cb25f,52.2199227230016,-93.9225914379223
548,457,-250,1005,53,110,2141,96,211,1323,68,2017-08-01,bd1cb25f,52.2199227230016,-93.9225914379223
542,0,-150,542,114,472,1210,67,163,1137,30,2017-09-01,bd1cb25f,52.2199227230016,-93.9225914379223
296,0,-160,296,42,472,697,-2,77,673,18,2017-10-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-110,0,40,472,393,-134,-50,307,4,2017-11-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-120,0,22,472,316,-235,-135,172,0,2017-12-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-130,0,21,472,405,-259,-141,148,1,2018-01-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-140,0,13,472,962,-281,-135,100,2,2018-02-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-180,0,17,472,1560,-169,-22,217,12,2018-03-01,bd1cb25f,52.2199227230016,-93.9225914379223
0,0,-220,0,10,472,2361,-118,35,317,28,2018-04-01,bd1cb25f,52.2199227230016,-93.9225914379223
1005,0,-220,1005,44,472,2367,25,182,787,65,2018-05-01,bd1cb25f,52.2199227230016,-93.9225914379223
964,130,-230,1094,78,248,2293,98,217,1276,76,2018-06-01,bd1cb25f,52.2199227230016,-93.9225914379223
672,547,-290,1219,60,147,2271,125,243,1556,78,2018-07-01,bd1cb25f,52.2199227230016,-93.9225914379223
640,371,-330,1011,63,107,2193,103,218,1463,75,2018-08-01,bd1cb25f,52.2199227230016,-93.9225914379223
372,0,-180,372,116,472,1257,38,129,1093,24,2018-09-01,bd1cb25f,52.2199227230016,-93.9225914379223
