aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,143,0,50,659,581,-224,-96,254,0,2015-01-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,107,0,45,659,1104,-260,-144,175,0,2015-02-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,-158,0,35,659,1654,-147,-31,340,0,2015-03-01,bde1f585,46.6590123961128,-79.3500159303121
288,0,-149,390,65,659,2026,-38,76,574,18,2015-04-01,bde1f585,46.6590123961128,-79.3500159303121
1017,0,-125,1017,86,659,2126,57,193,1075,51,2015-05-01,bde1f585,46.6590123961128,-79.3500159303121
1010,0,62,1010,111,659,2373,88,206,1395,39,2015-06-01,bde1f585,46.6590123961128,-79.3500159303121
1102,149,88,1251,89,404,2452,123,245,1620,64,2015-07-01,bde1f585,46.6590123961128,-79.3500159303121
976,32,84,1008,100,376,1867,131,228,1508,64,2015-08-01,bde1f585,46.6590123961128,-79.3500159303121
731,0,-53,731,87,471,1648,102,213,1438,46,2015-09-01,bde1f585,46.6590123961128,-79.3500159303121
303,0,25,306,101,659,958,18,110,846,16,2015-10-01,bde1f585,46.6590123961128,-79.3500159303121
50,0,-73,57,64,659,547,-16,68,765,1,2015-11-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,93,0,106,659,327,-51,4,670,0,2015-12-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,0,0,60,659,495,-167,-66,334,0,2016-01-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,90,0,59,659,829,-168,-55,330,0,2016-02-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,100,0,70,659,1476,-94,17,478,7,2016-03-01,bde1f585,46.6590123961128,-79.3500159303121
109,0,140,109,66,659,2152,-54,57,453,22,2016-04-01,bde1f585,46.6590123961128,-79.3500159303121
950,0,110,950,74,659,2434,38,171,888,54,2016-05-01,bde1f585,46.6590123961128,-79.3500159303121
1072,147,60,1219,86,406,2636,92,214,1179,68,2016-06-01,bde1f585,46.6590123961128,-79.3500159303121
1066,207,-20,1273,94,230,2409,139,250,1621,73,2016-07-01,bde1f585,46.6590123961128,-79.3500159303121
1022,67,-90,1089,105,202,1957,147,253,1726,73,2016-08-01,bde1f585,46.6590123961128,-79.3500159303121
777,0,-130,777,103,404,1599,100,204,1328,38,2016-09-01,bde1f585,46.6590123961128,-79.3500159303121
383,0,-150,383,92,659,889,36,124,925,22,2016-10-01,bde1f585,46.6590123961128,-79.3500159303121
101,0,-150,101,83,659,491,-17,64,721,8,2016-11-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,-130,0,75,659,387,-121,-44,398,0,2016-12-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,-110,0,64,659,535,-138,-48,414,0,2017-01-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,-80,0,60,659,785,-137,-29,404,0,2017-02-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,-60,0,66,659,1535,-123,-21,371,7,2017-03-01,bde1f585,46.6590123961128,-79.3500159303121
427,0,-60,427,72,659,1626,-11,99,713,22,2017-04-01,bde1f585,46.6590123961128,-79.3500159303121
728,0,30,728,81,659,1744,39,150,924,31,2017-05-01,bde1f585,46.6590123961128,-79.3500159303121
1049,40,80,1089,103,591,2168,106,214,1207,48,2017-06-01,bde1f585,46.6590123961128,-79.3500159303121
1086,108,110,1194,98,435,2451,127,235,1591,67,2017-07-01,bde1f585,46.6590123961128,-79.3500159303121
935,0,150,935,110,544,1847,116,218,1485,50,2017-08-01,bde1f585,46.6590123961128,-79.3500159303121
655,0,150,655,97,659,1620,91,201,1439,36,2017-09-01,bde1f585,46.6590123961128,-79.3500159303121
352,0,200,352,105,659,941,46,138,1062,30,2017-10-01,bde1f585,46.6590123961128,-79.3500159303121
5,0,200,5,90,659,435,-53,22,551,6,2017-11-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,180,0,72,659,473,-158,-73,342,0,2017-12-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,160,0,62,659,510,-186,-76,320,-1,2018-01-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,150,0,55,659,821,-162,-46,380,2,2018-02-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,130,0,61,659,1603,-128,-29,347,7,2018-03-01,bde1f585,46.6590123961128,-79.3500159303121
20,0,200,20,71,659,1886,-68,40,449,19,2018-04-01,bde1f585,46.6590123961128,-79.3500159303121
979,0,170,979,79,659,2383,57,197,1057,69,2018-05-01,bde1f585,46.6590123961128,-79.3500159303121
1025,122,130,1147,86,450,2616,96,216,1339,84,2018-06-01,bde1f585,46.6590123961128,-79.3500159303121
1090,264,80,1354,91,227,2577,145,260,1668,101,2018-07-01,bde1f585,46.6590123961128,-79.3500159303121
996,51,-30,1047,103,206,2057,141,245,1761,71,2018-08-01,bde1f585,46.6590123961128,-79.3500159303121
635,0,-100,635,102,541,1486,100,200,1510,37,2018-09-01,bde1f585,46.6590123961128,-79.3500159303121
252,0,-60,252,102,659,708,18,94,882,19,2018-10-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,20,0,87,659,431,-64,-8,517,3,2018-11-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,0,0,73,659,440,-118,-30,446,-1,2018-12-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,90,0,77,659,585,-224,-115,197,0,2019-01-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,190,0,98,659,892,-191,-76,239,0,2019-02-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,130,0,45,659,1455,-133,-25,293,7,2019-03-01,bde1f585,46.6590123961128,-79.3500159303121
135,0,330,135,139,659,1583,-49,62,516,17,2019-04-01,bde1f585,46.6590123961128,-79.3500159303121
752,0,440,752,133,659,1864,19,146,790,40,2019-05-01,bde1f585,46.6590123961128,-79.3500159303121
1071,24,430,1095,109,619,2510,91,211,1242,59,2019-06-01,bde1f585,46.6590123961128,-79.3500159303121
1001,393,340,1394,66,242,2670,146,259,1655,86,2019-07-01,bde1f585,46.6590123961128,-79.3500159303121
647,526,170,1173,60,168,2204,124,235,1441,74,2019-08-01,bde1f585,46.6590123961128,-79.3500159303121
605,0,190,605,136,659,1349,82,183,1293,31,2019-09-01,bde1f585,46.6590123961128,-79.3500159303121
371,0,380,371,180,659,835,21,111,813,21,2019-10-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,390,0,100,659,538,-77,-7,430,3,2019-11-01,bde1f585,46.6590123961128,-79.3500159303121
0,0,290,0,54,659,429,-118,-29,370,0,2019-12-01,bde1f585,46.6590123961128,-79.3500159303121
