aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,475,0,129,663,558,-160,-47,272,3,2015-01-01,be81d823,46.9813745845641,-64.846040631636
0,0,455,0,97,663,1116,-195,-78,205,3,2015-02-01,be81d823,46.9813745845641,-64.846040631636
0,0,390,0,80,663,1599,-123,-5,316,10,2015-03-01,be81d823,46.9813745845641,-64.846040631636
134,0,344,249,81,663,1716,-32,57,531,17,2015-04-01,be81d823,46.9813745845641,-64.846040631636
1046,0,240,1046,68,663,2386,43,171,907,49,2015-05-01,be81d823,46.9813745845641,-64.846040631636
1037,0,345,1037,159,663,2159,88,195,1168,54,2015-06-01,be81d823,46.9813745845641,-64.846040631636
967,211,300,1179,64,299,2159,127,242,1561,69,2015-07-01,be81d823,46.9813745845641,-64.846040631636
991,183,260,1174,93,195,2104,144,252,1723,72,2015-08-01,be81d823,46.9813745845641,-64.846040631636
785,0,207,785,83,201,1564,102,219,1426,52,2015-09-01,be81d823,46.9813745845641,-64.846040631636
467,0,141,467,89,581,1028,25,128,808,30,2015-10-01,be81d823,46.9813745845641,-64.846040631636
182,0,131,195,128,663,537,-6,69,640,15,2015-11-01,be81d823,46.9813745845641,-64.846040631636
0,0,168,7,150,663,376,-39,20,521,6,2015-12-01,be81d823,46.9813745845641,-64.846040631636
0,0,60,0,57,663,602,-114,-21,309,5,2016-01-01,be81d823,46.9813745845641,-64.846040631636
0,0,140,0,123,663,908,-123,-12,372,1,2016-02-01,be81d823,46.9813745845641,-64.846040631636
0,0,190,0,119,663,1416,-85,20,386,11,2016-03-01,be81d823,46.9813745845641,-64.846040631636
342,0,150,342,86,663,2185,-39,69,511,22,2016-04-01,be81d823,46.9813745845641,-64.846040631636
848,0,100,848,81,663,2050,42,160,889,34,2016-05-01,be81d823,46.9813745845641,-64.846040631636
899,188,60,1087,61,339,2097,95,211,1207,50,2016-06-01,be81d823,46.9813745845641,-64.846040631636
987,262,-100,1249,90,203,2255,136,255,1627,61,2016-07-01,be81d823,46.9813745845641,-64.846040631636
1049,195,-100,1244,105,150,1997,142,261,1620,63,2016-08-01,be81d823,46.9813745845641,-64.846040631636
555,255,-170,810,55,119,1485,94,208,1300,33,2016-09-01,be81d823,46.9813745845641,-64.846040631636
500,0,-200,500,93,504,899,37,146,910,25,2016-10-01,be81d823,46.9813745845641,-64.846040631636
221,0,-260,221,103,663,464,8,76,697,10,2016-11-01,be81d823,46.9813745845641,-64.846040631636
0,0,-250,0,111,663,407,-97,-8,372,3,2016-12-01,be81d823,46.9813745845641,-64.846040631636
0,0,-200,0,120,663,568,-105,-11,359,3,2017-01-01,be81d823,46.9813745845641,-64.846040631636
0,0,-160,0,94,663,1005,-122,-19,362,2,2017-02-01,be81d823,46.9813745845641,-64.846040631636
0,0,-180,0,69,663,1543,-103,-6,335,10,2017-03-01,be81d823,46.9813745845641,-64.846040631636
397,0,-200,397,84,663,1634,-12,77,639,15,2017-04-01,be81d823,46.9813745845641,-64.846040631636
814,0,-100,814,137,663,1876,43,149,867,32,2017-05-01,be81d823,46.9813745845641,-64.846040631636
1004,60,-60,1064,95,559,2362,92,211,1299,52,2017-06-01,be81d823,46.9813745845641,-64.846040631636
793,543,-130,1336,50,240,2618,127,253,1597,76,2017-07-01,be81d823,46.9813745845641,-64.846040631636
601,570,-220,1171,56,167,2143,125,243,1530,66,2017-08-01,be81d823,46.9813745845641,-64.846040631636
536,223,-280,759,53,130,1437,102,217,1417,35,2017-09-01,be81d823,46.9813745845641,-64.846040631636
586,0,-290,586,105,539,1121,56,171,1047,29,2017-10-01,be81d823,46.9813745845641,-64.846040631636
167,0,-310,167,117,663,592,-34,65,572,12,2017-11-01,be81d823,46.9813745845641,-64.846040631636
0,0,-280,0,119,663,426,-109,-21,350,3,2017-12-01,be81d823,46.9813745845641,-64.846040631636
0,0,-180,0,151,663,615,-140,-32,309,3,2018-01-01,be81d823,46.9813745845641,-64.846040631636
0,0,-150,0,89,663,944,-119,-4,382,5,2018-02-01,be81d823,46.9813745845641,-64.846040631636
12,0,-160,12,76,663,1280,-54,18,415,6,2018-03-01,be81d823,46.9813745845641,-64.846040631636
162,0,150,162,134,663,1800,-41,55,503,19,2018-04-01,be81d823,46.9813745845641,-64.846040631636
1008,0,70,1008,72,663,2631,33,165,852,55,2018-05-01,be81d823,46.9813745845641,-64.846040631636
1131,0,120,1131,126,663,2357,82,210,1141,63,2018-06-01,be81d823,46.9813745845641,-64.846040631636
822,601,-110,1423,42,244,2544,145,276,1767,101,2018-07-01,be81d823,46.9813745845641,-64.846040631636
1119,92,-100,1211,114,203,2091,148,272,1821,82,2018-08-01,be81d823,46.9813745845641,-64.846040631636
536,333,-190,869,51,149,1528,90,217,1254,46,2018-09-01,be81d823,46.9813745845641,-64.846040631636
388,0,-170,388,127,663,792,20,114,836,24,2018-10-01,be81d823,46.9813745845641,-64.846040631636
15,0,140,15,177,663,527,-40,31,557,8,2018-11-01,be81d823,46.9813745845641,-64.846040631636
0,0,110,0,111,663,521,-98,5,407,2,2018-12-01,be81d823,46.9813745845641,-64.846040631636
0,0,270,0,208,663,587,-155,-53,283,2,2019-01-01,be81d823,46.9813745845641,-64.846040631636
0,0,270,0,95,663,1071,-151,-48,275,4,2019-02-01,be81d823,46.9813745845641,-64.846040631636
0,0,190,0,65,663,1608,-86,10,370,12,2019-03-01,be81d823,46.9813745845641,-64.846040631636
433,0,340,433,189,663,1646,-16,74,580,21,2019-04-01,be81d823,46.9813745845641,-64.846040631636
780,0,320,780,102,663,2028,32,143,839,36,2019-05-01,be81d823,46.9813745845641,-64.846040631636
970,37,330,1007,95,599,2279,93,208,1276,55,2019-06-01,be81d823,46.9813745845641,-64.846040631636
1052,207,280,1259,79,295,2445,143,259,1749,75,2019-07-01,be81d823,46.9813745845641,-64.846040631636
896,322,220,1218,83,189,2110,144,255,1711,75,2019-08-01,be81d823,46.9813745845641,-64.846040631636
684,0,280,684,137,663,1480,83,187,1267,36,2019-09-01,be81d823,46.9813745845641,-64.846040631636
370,0,360,370,137,663,940,35,131,931,22,2019-10-01,be81d823,46.9813745845641,-64.846040631636
77,0,350,77,120,663,597,-30,46,561,11,2019-11-01,be81d823,46.9813745845641,-64.846040631636
0,0,300,0,113,663,475,-89,-1,401,6,2019-12-01,be81d823,46.9813745845641,-64.846040631636
