aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,165,0,29,300,209,-212,-118,199,0,2015-01-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,296,0,43,300,453,-217,-109,163,2,2015-02-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,277,0,23,300,1157,-140,7,271,16,2015-03-01,be86f7e8,58.7672407936677,-118.633733128832
716,0,187,751,19,813,2038,-34,102,364,50,2015-04-01,be86f7e8,58.7672407936677,-118.633733128832
727,641,-275,1368,15,299,2860,24,189,528,94,2015-05-01,be86f7e8,58.7672407936677,-118.633733128832
480,983,-333,1463,41,207,2724,82,236,964,104,2015-06-01,be86f7e8,58.7672407936677,-118.633733128832
724,584,-299,1308,71,160,2350,99,241,1240,88,2015-07-01,be86f7e8,58.7672407936677,-118.633733128832
697,278,-204,974,70,132,1809,81,220,1179,69,2015-08-01,be86f7e8,58.7672407936677,-118.633733128832
105,463,-295,568,9,112,1272,21,157,812,44,2015-09-01,be86f7e8,58.7672407936677,-118.633733128832
155,61,-321,228,15,103,594,-17,83,593,23,2015-10-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-317,0,24,103,269,-136,-34,306,4,2015-11-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-296,0,26,103,114,-192,-120,222,0,2015-12-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-320,0,15,98,193,-206,-127,184,1,2016-01-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-280,0,30,98,459,-174,-73,212,6,2016-02-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-220,0,28,98,1054,-114,-11,258,15,2016-03-01,be86f7e8,58.7672407936677,-118.633733128832
542,0,-250,542,15,711,1864,-32,84,380,39,2016-04-01,be86f7e8,58.7672407936677,-118.633733128832
920,265,-280,1185,43,340,2357,34,185,599,80,2016-05-01,be86f7e8,58.7672407936677,-118.633733128832
898,483,-210,1381,82,224,2596,88,231,960,85,2016-06-01,be86f7e8,58.7672407936677,-118.633733128832
660,647,-220,1307,64,170,2430,109,244,1255,84,2016-07-01,be86f7e8,58.7672407936677,-118.633733128832
746,299,-130,1045,75,138,1843,91,224,1128,79,2016-08-01,be86f7e8,58.7672407936677,-118.633733128832
596,62,140,658,62,126,1177,31,160,772,44,2016-09-01,be86f7e8,58.7672407936677,-118.633733128832
48,0,160,48,22,158,562,-34,38,484,15,2016-10-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,120,0,18,158,284,-105,-18,355,5,2016-11-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,110,0,23,158,128,-233,-150,126,1,2016-12-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,110,0,24,158,203,-218,-110,142,0,2017-01-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,130,0,23,158,447,-199,-92,157,5,2017-02-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,200,0,39,158,1180,-177,-59,214,6,2017-03-01,be86f7e8,58.7672407936677,-118.633733128832
336,0,150,336,14,682,2029,-46,73,338,41,2017-04-01,be86f7e8,58.7672407936677,-118.633733128832
1117,124,110,1241,38,519,2438,36,185,574,90,2017-05-01,be86f7e8,58.7672407936677,-118.633733128832
1145,160,220,1305,106,376,2564,80,210,869,81,2017-06-01,be86f7e8,58.7672407936677,-118.633733128832
1044,276,270,1320,95,237,2480,102,237,1160,81,2017-07-01,be86f7e8,58.7672407936677,-118.633733128832
247,1017,90,1264,20,177,2191,85,245,1057,101,2017-08-01,be86f7e8,58.7672407936677,-118.633733128832
203,537,-250,740,18,142,1349,37,187,821,66,2017-09-01,be86f7e8,58.7672407936677,-118.633733128832
271,0,-210,271,35,188,557,-23,67,489,24,2017-10-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,150,0,56,188,238,-179,-90,191,5,2017-11-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,160,0,18,188,153,-212,-106,182,0,2017-12-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,230,0,31,188,172,-226,-148,152,0,2018-01-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,260,0,23,188,569,-255,-120,115,6,2018-02-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,320,0,41,188,1278,-173,-37,182,14,2018-03-01,be86f7e8,58.7672407936677,-118.633733128832
38,0,310,38,15,278,1959,-74,55,299,35,2018-04-01,be86f7e8,58.7672407936677,-118.633733128832
1364,0,210,1364,21,734,2694,38,196,586,124,2018-05-01,be86f7e8,58.7672407936677,-118.633733128832
999,165,250,1164,80,492,2004,87,216,1004,79,2018-06-01,be86f7e8,58.7672407936677,-118.633733128832
509,883,60,1392,30,269,2414,102,242,1141,103,2018-07-01,be86f7e8,58.7672407936677,-118.633733128832
591,483,-150,1074,54,193,1856,78,218,1042,100,2018-08-01,be86f7e8,58.7672407936677,-118.633733128832
227,331,-200,558,20,152,1438,-19,120,595,43,2018-09-01,be86f7e8,58.7672407936677,-118.633733128832
83,21,-210,104,8,148,671,-46,60,423,29,2018-10-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-140,0,42,148,235,-132,-64,257,3,2018-11-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-140,0,17,148,126,-193,-108,192,2,2018-12-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-100,0,29,148,187,-221,-126,153,2,2019-01-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-100,0,11,148,557,-283,-165,79,4,2019-02-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-170,0,0,148,1293,-104,31,279,24,2019-03-01,be86f7e8,58.7672407936677,-118.633733128832
665,0,-240,665,12,486,1866,-31,98,353,50,2019-04-01,be86f7e8,58.7672407936677,-118.633733128832
329,982,-470,1311,7,267,2679,34,176,456,94,2019-05-01,be86f7e8,58.7672407936677,-118.633733128832
562,554,-430,1116,51,192,2289,64,201,1003,66,2019-06-01,be86f7e8,58.7672407936677,-118.633733128832
439,822,-480,1261,42,152,2347,99,234,1174,88,2019-07-01,be86f7e8,58.7672407936677,-118.633733128832
536,321,-400,857,54,126,1722,64,200,1127,53,2019-08-01,be86f7e8,58.7672407936677,-118.633733128832
274,290,-390,564,27,108,1128,38,164,888,45,2019-09-01,be86f7e8,58.7672407936677,-118.633733128832
158,20,-380,178,16,105,567,-34,63,493,23,2019-10-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-400,0,15,105,243,-138,-49,251,7,2019-11-01,be86f7e8,58.7672407936677,-118.633733128832
0,0,-410,0,21,105,122,-224,-134,148,1,2019-12-01,be86f7e8,58.7672407936677,-118.633733128832
