aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,217,0,30,700,200,-207,-108,219,0,2015-01-01,bf1da868,58.7972677189261,-121.611532308535
0,0,319,0,44,700,478,-209,-99,187,2,2015-02-01,bf1da868,58.7972677189261,-121.611532308535
0,0,316,0,22,700,1157,-138,7,277,15,2015-03-01,bf1da868,58.7972677189261,-121.611532308535
569,0,229,626,19,1245,1915,-38,94,382,44,2015-04-01,bf1da868,58.7972677189261,-121.611532308535
917,349,62,1266,20,645,2780,21,182,562,85,2015-05-01,bf1da868,58.7972677189261,-121.611532308535
747,588,-301,1335,51,384,2656,75,223,964,90,2015-06-01,bf1da868,58.7972677189261,-121.611532308535
979,237,-289,1216,94,299,2299,94,227,1200,78,2015-07-01,bf1da868,58.7972677189261,-121.611532308535
784,88,-215,872,80,275,1726,76,208,1121,63,2015-08-01,bf1da868,58.7972677189261,-121.611532308535
143,373,-301,516,9,220,1256,13,149,768,42,2015-09-01,bf1da868,58.7972677189261,-121.611532308535
162,10,-332,189,17,218,564,-23,80,557,24,2015-10-01,bf1da868,58.7972677189261,-121.611532308535
0,0,-344,0,22,218,275,-142,-35,272,7,2015-11-01,bf1da868,58.7972677189261,-121.611532308535
0,0,-339,0,24,218,118,-201,-121,202,0,2015-12-01,bf1da868,58.7972677189261,-121.611532308535
0,0,-370,0,13,215,191,-198,-117,209,2,2016-01-01,bf1da868,58.7972677189261,-121.611532308535
0,0,-330,0,34,215,502,-169,-66,258,8,2016-02-01,bf1da868,58.7972677189261,-121.611532308535
0,0,-320,0,28,215,1030,-118,-15,305,16,2016-03-01,bf1da868,58.7972677189261,-121.611532308535
449,0,-340,449,13,860,1802,-34,82,438,39,2016-04-01,bf1da868,58.7972677189261,-121.611532308535
890,159,-280,1049,59,702,2293,25,174,660,72,2016-05-01,bf1da868,58.7972677189261,-121.611532308535
1134,96,-180,1230,112,630,2548,79,221,1037,80,2016-06-01,bf1da868,58.7972677189261,-121.611532308535
