aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-244,0,26,224,309,-325,-243,54,1,2015-01-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,-308,0,6,224,777,-348,-242,38,2,2015-02-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,-350,0,10,224,1372,-266,-152,91,4,2015-03-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,-361,0,18,224,2108,-141,-30,304,5,2015-04-01,bf7c7587,57.176645972891,-66.9130962097815
38,0,-375,149,22,224,2200,-39,46,463,19,2015-05-01,bf7c7587,57.176645972891,-66.9130962097815
830,0,-266,830,76,224,2030,31,135,778,38,2015-06-01,bf7c7587,57.176645972891,-66.9130962097815
874,38,-179,912,85,158,1846,77,175,1063,47,2015-07-01,bf7c7587,57.176645972891,-66.9130962097815
705,0,-95,705,92,224,1597,71,171,1140,35,2015-08-01,bf7c7587,57.176645972891,-66.9130962097815
310,0,271,314,94,224,1041,20,102,841,14,2015-09-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,251,6,52,224,556,-47,16,484,8,2015-10-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,266,0,60,224,264,-123,-56,307,2,2015-11-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,220,0,33,224,175,-207,-124,220,0,2015-12-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,160,0,27,224,232,-252,-165,137,0,2016-01-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,130,0,27,224,627,-287,-172,98,2,2016-02-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,100,0,26,224,1314,-246,-142,132,4,2016-03-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,120,0,38,224,1829,-169,-60,263,4,2016-04-01,bf7c7587,57.176645972891,-66.9130962097815
253,0,-120,253,24,224,2387,-34,56,534,18,2016-05-01,bf7c7587,57.176645972891,-66.9130962097815
769,0,-100,769,55,224,2052,31,133,795,39,2016-06-01,bf7c7587,57.176645972891,-66.9130962097815
842,57,-80,899,78,126,1986,71,177,1072,53,2016-07-01,bf7c7587,57.176645972891,-66.9130962097815
715,27,-80,742,73,106,1532,68,168,1053,39,2016-08-01,bf7c7587,57.176645972891,-66.9130962097815
393,0,-110,393,65,224,1107,18,99,775,20,2016-09-01,bf7c7587,57.176645972891,-66.9130962097815
6,0,-90,6,52,224,492,-44,11,505,9,2016-10-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,-130,0,38,224,270,-116,-44,336,4,2016-11-01,bf7c7587,57.176645972891,-66.9130962097815
0,0,-200,0,15,224,205,-248,-169,129,2,2016-12-01,bf7c7587,57.176645972891,-66.9130962097815
