aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,750,0,44,290,419,-303,-182,98,0,2015-01-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,703,0,31,290,950,-347,-213,61,1,2015-02-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,689,0,52,290,1479,-241,-89,165,4,2015-03-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,690,0,53,290,1906,-98,24,403,11,2015-04-01,bfb4ea92,52.8773242602366,-77.6588406617682
1011,0,633,1011,62,290,2207,22,134,588,54,2015-05-01,bfb4ea92,52.8773242602366,-77.6588406617682
674,500,516,1174,52,107,2412,67,189,917,67,2015-06-01,bfb4ea92,52.8773242602366,-77.6588406617682
508,548,398,1056,50,74,1961,110,214,1356,58,2015-07-01,bfb4ea92,52.8773242602366,-77.6588406617682
796,0,456,796,127,290,1466,121,204,1440,47,2015-08-01,bfb4ea92,52.8773242602366,-77.6588406617682
451,0,411,451,74,290,1389,62,156,1179,19,2015-09-01,bfb4ea92,52.8773242602366,-77.6588406617682
162,0,354,192,73,290,665,-12,59,611,14,2015-10-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,225,0,40,290,268,-61,8,526,0,2015-11-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,242,0,57,290,287,-132,-62,393,0,2015-12-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,290,0,56,290,344,-236,-128,190,3,2016-01-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,310,0,36,290,821,-276,-143,143,3,2016-02-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,220,0,17,290,1616,-206,-65,221,7,2016-03-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,130,0,13,290,2240,-124,-7,284,10,2016-04-01,bfb4ea92,52.8773242602366,-77.6588406617682
829,0,170,829,65,290,2311,19,129,661,53,2016-05-01,bfb4ea92,52.8773242602366,-77.6588406617682
1055,0,280,1055,116,290,2016,74,195,969,66,2016-06-01,bfb4ea92,52.8773242602366,-77.6588406617682
1017,103,320,1120,89,113,2179,108,218,1333,62,2016-07-01,bfb4ea92,52.8773242602366,-77.6588406617682
913,0,360,913,118,290,1728,111,212,1369,63,2016-08-01,bfb4ea92,52.8773242602366,-77.6588406617682
503,0,360,503,92,290,1197,64,148,1079,29,2016-09-01,bfb4ea92,52.8773242602366,-77.6588406617682
223,0,440,223,127,290,609,2,69,704,15,2016-10-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,550,0,128,290,286,-53,8,519,8,2016-11-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,500,0,46,290,292,-190,-104,231,4,2016-12-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,490,0,47,290,367,-218,-117,200,2,2017-01-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,460,0,30,290,798,-256,-129,174,3,2017-02-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,360,0,18,290,1575,-209,-65,199,7,2017-03-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,360,0,42,290,1920,-87,30,381,17,2017-04-01,bfb4ea92,52.8773242602366,-77.6588406617682
808,0,370,808,61,290,2210,25,121,674,54,2017-05-01,bfb4ea92,52.8773242602366,-77.6588406617682
1058,44,420,1102,104,215,2233,78,194,968,69,2017-06-01,bfb4ea92,52.8773242602366,-77.6588406617682
870,423,360,1293,80,102,2479,95,211,1116,78,2017-07-01,bfb4ea92,52.8773242602366,-77.6588406617682
793,112,300,905,80,72,1700,93,194,1167,55,2017-08-01,bfb4ea92,52.8773242602366,-77.6588406617682
526,0,210,526,93,290,1231,71,150,1066,34,2017-09-01,bfb4ea92,52.8773242602366,-77.6588406617682
288,0,330,288,144,290,601,19,85,750,20,2017-10-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,350,0,90,290,311,-86,-20,371,7,2017-11-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,330,0,50,290,271,-201,-110,222,1,2017-12-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,300,0,36,290,449,-274,-163,132,3,2018-01-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,320,0,36,290,872,-278,-145,126,2,2018-02-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,210,0,11,290,1527,-187,-41,224,9,2018-03-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,140,0,20,290,2212,-126,-2,255,16,2018-04-01,bfb4ea92,52.8773242602366,-77.6588406617682
837,0,210,837,79,290,2310,0,116,566,43,2018-05-01,bfb4ea92,52.8773242602366,-77.6588406617682
431,838,100,1269,23,107,2947,59,182,783,91,2018-06-01,bfb4ea92,52.8773242602366,-77.6588406617682
1016,190,120,1206,104,74,2378,112,226,1360,92,2018-07-01,bfb4ea92,52.8773242602366,-77.6588406617682
776,248,-120,1024,80,57,1961,101,206,1205,69,2018-08-01,bfb4ea92,52.8773242602366,-77.6588406617682
508,0,-80,508,125,290,1092,52,138,972,29,2018-09-01,bfb4ea92,52.8773242602366,-77.6588406617682
100,0,30,100,78,290,626,-21,37,521,16,2018-10-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,-30,0,60,290,278,-104,-40,376,5,2018-11-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,0,0,45,290,269,-181,-89,264,5,2018-12-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,-10,0,33,290,391,-275,-160,100,2,2019-01-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,40,0,34,290,875,-272,-140,110,3,2019-02-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,100,0,54,290,1419,-203,-65,188,6,2019-03-01,bfb4ea92,52.8773242602366,-77.6588406617682
0,0,170,0,55,290,2002,-98,14,317,17,2019-04-01,bfb4ea92,52.8773242602366,-77.6588406617682
852,0,140,852,45,290,2305,7,112,553,44,2019-05-01,bfb4ea92,52.8773242602366,-77.6588406617682
823,165,120,988,64,107,1874,64,184,921,62,2019-06-01,bfb4ea92,52.8773242602366,-77.6588406617682
857,264,120,1121,87,74,1945,111,223,1349,67,2019-07-01,bfb4ea92,52.8773242602366,-77.6588406617682
872,121,80,993,90,57,1616,113,213,1318,63,2019-08-01,bfb4ea92,52.8773242602366,-77.6588406617682
552,0,-100,552,79,254,1138,60,140,966,31,2019-09-01,bfb4ea92,52.8773242602366,-77.6588406617682
