aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,149,0,32,947,168,-196,-109,192,1,2015-01-01,c08af511,59.7145324573742,-123.049107086812
0,0,249,0,42,947,438,-201,-99,162,4,2015-02-01,c08af511,59.7145324573742,-123.049107086812
0,0,226,0,19,947,1122,-141,-3,242,16,2015-03-01,c08af511,59.7145324573742,-123.049107086812
317,0,153,442,19,1224,1848,-47,83,365,40,2015-04-01,c08af511,59.7145324573742,-123.049107086812
972,200,-175,1172,23,880,2713,16,177,561,80,2015-05-01,c08af511,59.7145324573742,-123.049107086812
909,377,-295,1286,54,483,2674,71,219,972,85,2015-06-01,c08af511,59.7145324573742,-123.049107086812
1013,106,-282,1119,101,432,2201,97,216,1212,69,2015-07-01,c08af511,59.7145324573742,-123.049107086812
810,0,-201,810,92,498,1684,82,197,1114,58,2015-08-01,c08af511,59.7145324573742,-123.049107086812
225,230,-298,456,12,382,1133,15,139,737,40,2015-09-01,c08af511,59.7145324573742,-123.049107086812
120,0,-357,141,20,452,510,-18,67,530,23,2015-10-01,c08af511,59.7145324573742,-123.049107086812
0,0,-406,0,24,452,233,-132,-41,234,10,2015-11-01,c08af511,59.7145324573742,-123.049107086812
0,0,-439,0,22,452,95,-193,-124,170,2,2015-12-01,c08af511,59.7145324573742,-123.049107086812
0,0,-510,0,14,414,158,-185,-116,186,6,2016-01-01,c08af511,59.7145324573742,-123.049107086812
0,0,-510,0,32,414,467,-160,-66,205,12,2016-02-01,c08af511,59.7145324573742,-123.049107086812
0,0,-500,0,23,414,1028,-124,-16,250,19,2016-03-01,c08af511,59.7145324573742,-123.049107086812
307,0,-500,307,13,915,1727,-43,74,406,36,2016-04-01,c08af511,59.7145324573742,-123.049107086812
968,0,-420,968,67,1001,2254,20,167,644,75,2016-05-01,c08af511,59.7145324573742,-123.049107086812
1160,33,-280,1193,118,960,2606,74,216,1039,90,2016-06-01,c08af511,59.7145324573742,-123.049107086812
984,128,-250,1112,88,808,2264,101,229,1318,78,2016-07-01,c08af511,59.7145324573742,-123.049107086812
901,0,-110,901,107,921,1753,89,212,1157,81,2016-08-01,c08af511,59.7145324573742,-123.049107086812
529,0,340,529,89,1224,1077,21,151,780,46,2016-09-01,c08af511,59.7145324573742,-123.049107086812
27,0,380,27,27,1224,469,-36,32,427,18,2016-10-01,c08af511,59.7145324573742,-123.049107086812
0,0,390,0,16,1224,240,-107,-26,308,12,2016-11-01,c08af511,59.7145324573742,-123.049107086812
0,0,410,0,20,1224,104,-225,-148,79,6,2016-12-01,c08af511,59.7145324573742,-123.049107086812
0,0,420,0,28,1224,168,-209,-109,127,6,2017-01-01,c08af511,59.7145324573742,-123.049107086812
0,0,420,0,23,1224,426,-196,-93,124,11,2017-02-01,c08af511,59.7145324573742,-123.049107086812
0,0,440,0,35,1224,1064,-190,-73,173,8,2017-03-01,c08af511,59.7145324573742,-123.049107086812
162,0,360,162,12,1224,1918,-55,68,345,36,2017-04-01,c08af511,59.7145324573742,-123.049107086812
996,0,330,996,58,1224,2348,20,165,614,73,2017-05-01,c08af511,59.7145324573742,-123.049107086812
1039,0,520,1039,157,1224,2252,66,194,918,58,2017-06-01,c08af511,59.7145324573742,-123.049107086812
1071,0,640,1071,145,1224,2208,90,216,1197,62,2017-07-01,c08af511,59.7145324573742,-123.049107086812
726,345,470,1071,14,632,2140,78,229,1077,82,2017-08-01,c08af511,59.7145324573742,-123.049107086812
320,245,310,565,16,466,1243,27,173,840,58,2017-09-01,c08af511,59.7145324573742,-123.049107086812
164,0,300,164,49,716,520,-25,58,470,28,2017-10-01,c08af511,59.7145324573742,-123.049107086812
0,0,410,0,67,716,194,-177,-96,124,9,2017-11-01,c08af511,59.7145324573742,-123.049107086812
0,0,410,0,14,716,119,-200,-102,179,7,2017-12-01,c08af511,59.7145324573742,-123.049107086812
0,0,450,0,38,716,140,-213,-145,127,4,2018-01-01,c08af511,59.7145324573742,-123.049107086812
0,0,440,0,23,716,541,-250,-116,94,10,2018-02-01,c08af511,59.7145324573742,-123.049107086812
0,0,470,0,37,716,1195,-177,-41,179,16,2018-03-01,c08af511,59.7145324573742,-123.049107086812
17,0,420,17,14,773,1902,-82,45,325,30,2018-04-01,c08af511,59.7145324573742,-123.049107086812
1096,0,280,1096,26,1224,2612,23,173,608,93,2018-05-01,c08af511,59.7145324573742,-123.049107086812
1043,0,330,1043,114,1224,2216,71,201,1011,77,2018-06-01,c08af511,59.7145324573742,-123.049107086812
873,363,100,1236,26,601,2444,95,232,1187,82,2018-07-01,c08af511,59.7145324573742,-123.049107086812
790,169,70,959,72,494,1781,78,205,1066,87,2018-08-01,c08af511,59.7145324573742,-123.049107086812
278,191,-280,469,19,399,1377,-21,120,615,43,2018-09-01,c08af511,59.7145324573742,-123.049107086812
55,29,-370,84,5,388,562,-39,56,432,27,2018-10-01,c08af511,59.7145324573742,-123.049107086812
0,0,-330,0,49,388,178,-120,-55,231,10,2018-11-01,c08af511,59.7145324573742,-123.049107086812
0,0,-380,0,13,388,109,-184,-101,159,8,2018-12-01,c08af511,59.7145324573742,-123.049107086812
0,0,-370,0,36,388,139,-194,-107,141,6,2019-01-01,c08af511,59.7145324573742,-123.049107086812
0,0,-370,0,17,388,518,-229,-115,99,8,2019-02-01,c08af511,59.7145324573742,-123.049107086812
0,0,-410,0,1,388,1242,-91,43,267,30,2019-03-01,c08af511,59.7145324573742,-123.049107086812
440,0,-450,440,12,903,1746,-46,86,323,46,2019-04-01,c08af511,59.7145324573742,-123.049107086812
720,323,-560,1043,11,551,2455,36,173,553,83,2019-05-01,c08af511,59.7145324573742,-123.049107086812
884,58,-490,942,90,518,2035,50,188,964,56,2019-06-01,c08af511,59.7145324573742,-123.049107086812
1044,0,-410,1044,119,600,2219,91,220,1220,69,2019-07-01,c08af511,59.7145324573742,-123.049107086812
706,0,-300,706,81,664,1569,50,176,1044,40,2019-08-01,c08af511,59.7145324573742,-123.049107086812
291,191,-350,482,16,526,1190,34,159,851,45,2019-09-01,c08af511,59.7145324573742,-123.049107086812
201,0,-380,201,25,555,514,-25,67,487,26,2019-10-01,c08af511,59.7145324573742,-123.049107086812
0,0,-380,0,31,555,187,-126,-43,211,13,2019-11-01,c08af511,59.7145324573742,-123.049107086812
0,0,-380,0,20,555,93,-209,-123,119,6,2019-12-01,c08af511,59.7145324573742,-123.049107086812
