aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-189,0,16,208,334,-211,-117,200,0,2015-01-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-182,0,19,208,807,-268,-154,99,3,2015-02-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-197,0,18,208,1410,-124,-8,304,10,2015-03-01,c0a9d336,53.9877462708967,-102.594278871403
343,0,-182,473,30,847,2040,-43,80,418,34,2015-04-01,c0a9d336,53.9877462708967,-102.594278871403
810,345,-236,1155,11,434,2724,7,152,544,65,2015-05-01,c0a9d336,53.9877462708967,-102.594278871403
590,740,-296,1330,47,290,2673,85,226,1113,82,2015-06-01,c0a9d336,53.9877462708967,-102.594278871403
826,594,-277,1421,80,221,2621,132,249,1468,87,2015-07-01,c0a9d336,53.9877462708967,-102.594278871403
959,45,-185,1004,100,211,1881,110,230,1383,68,2015-08-01,c0a9d336,53.9877462708967,-102.594278871403
508,53,-161,561,52,200,1203,61,174,1072,40,2015-09-01,c0a9d336,53.9877462708967,-102.594278871403
318,7,-147,328,33,198,748,9,107,692,28,2015-10-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-103,0,40,198,331,-63,4,409,10,2015-11-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-90,0,22,198,243,-139,-73,286,0,2015-12-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-80,0,16,173,336,-200,-110,208,1,2016-01-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-70,0,18,173,736,-193,-82,239,5,2016-02-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,120,0,36,173,1416,-116,-4,312,12,2016-03-01,c0a9d336,53.9877462708967,-102.594278871403
199,0,130,199,27,563,2108,-58,72,416,32,2016-04-01,c0a9d336,53.9877462708967,-102.594278871403
1079,0,100,1079,27,660,2435,44,176,767,73,2016-05-01,c0a9d336,53.9877462708967,-102.594278871403
881,401,70,1282,61,357,2605,93,223,1166,80,2016-06-01,c0a9d336,53.9877462708967,-102.594278871403
1154,16,190,1170,121,351,2123,133,246,1561,73,2016-07-01,c0a9d336,53.9877462708967,-102.594278871403
897,135,220,1032,89,299,1887,107,226,1343,64,2016-08-01,c0a9d336,53.9877462708967,-102.594278871403
539,98,210,637,54,268,1273,59,178,1055,47,2016-09-01,c0a9d336,53.9877462708967,-102.594278871403
222,0,390,222,79,786,486,-6,61,648,14,2016-10-01,c0a9d336,53.9877462708967,-102.594278871403
34,0,400,34,29,864,362,-32,37,496,14,2016-11-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,380,0,10,864,254,-208,-131,176,1,2016-12-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,390,0,17,864,352,-203,-113,218,0,2017-01-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,370,0,10,864,776,-182,-91,229,4,2017-02-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,410,0,30,864,1337,-156,-42,272,7,2017-03-01,c0a9d336,53.9877462708967,-102.594278871403
174,0,400,174,29,1076,2083,-49,63,447,30,2017-04-01,c0a9d336,53.9877462708967,-102.594278871403
1000,0,430,1000,53,1076,2033,33,156,647,57,2017-05-01,c0a9d336,53.9877462708967,-102.594278871403
895,194,450,1089,59,743,2030,86,209,1045,64,2017-06-01,c0a9d336,53.9877462708967,-102.594278871403
842,669,330,1511,50,373,2764,130,265,1415,99,2017-07-01,c0a9d336,53.9877462708967,-102.594278871403
458,738,180,1196,37,264,2183,99,243,1268,93,2017-08-01,c0a9d336,53.9877462708967,-102.594278871403
474,259,120,733,44,206,1414,61,185,996,59,2017-09-01,c0a9d336,53.9877462708967,-102.594278871403
376,0,150,376,46,270,719,-5,86,603,27,2017-10-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,130,0,28,270,373,-135,-59,269,9,2017-11-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,60,0,9,270,287,-207,-116,212,0,2017-12-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,70,0,26,270,329,-236,-146,158,1,2018-01-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-180,0,6,270,887,-271,-150,100,3,2018-02-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-140,0,36,270,1512,-160,-40,242,10,2018-03-01,c0a9d336,53.9877462708967,-102.594278871403
0,0,-150,0,7,270,2268,-94,38,352,26,2018-04-01,c0a9d336,53.9877462708967,-102.594278871403
1142,0,-160,1142,24,409,2588,38,190,756,91,2018-05-01,c0a9d336,53.9877462708967,-102.594278871403
598,607,-200,1205,49,280,2288,102,228,1224,75,2018-06-01,c0a9d336,53.9877462708967,-102.594278871403
