aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-246,0,21,225,209,-237,-132,182,0,2015-01-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-178,0,35,225,608,-270,-148,134,0,2015-02-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-187,0,13,225,1341,-163,-13,265,10,2015-03-01,c17bdb8a,58.4031532056782,-110.365631505417
112,0,-132,276,31,797,2238,-63,81,345,39,2015-04-01,c17bdb8a,58.4031532056782,-110.365631505417
1137,129,-166,1266,15,634,2934,11,168,481,81,2015-05-01,c17bdb8a,58.4031532056782,-110.365631505417
729,716,-245,1445,45,332,2819,85,229,971,99,2015-06-01,c17bdb8a,58.4031532056782,-110.365631505417
763,388,-228,1152,70,236,2120,108,230,1273,79,2015-07-01,c17bdb8a,58.4031532056782,-110.365631505417
410,547,-291,956,38,186,1818,99,216,1226,68,2015-08-01,c17bdb8a,58.4031532056782,-110.365631505417
486,0,-107,486,95,599,1232,31,145,844,37,2015-09-01,c17bdb8a,58.4031532056782,-110.365631505417
167,0,-63,188,39,799,582,-16,69,576,20,2015-10-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,172,0,21,799,295,-113,-26,389,0,2015-11-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,163,0,16,799,120,-179,-103,282,0,2015-12-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,170,0,21,690,205,-212,-115,218,0,2016-01-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,170,0,19,690,568,-208,-89,220,3,2016-02-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,160,0,21,690,1186,-135,-16,317,10,2016-03-01,c17bdb8a,58.4031532056782,-110.365631505417
78,0,170,78,20,805,1875,-65,62,361,29,2016-04-01,c17bdb8a,58.4031532056782,-110.365631505417
1080,0,160,1080,30,936,2446,40,176,698,69,2016-05-01,c17bdb8a,58.4031532056782,-110.365631505417
970,318,120,1288,49,427,2542,97,227,1082,88,2016-06-01,c17bdb8a,58.4031532056782,-110.365631505417
865,352,100,1217,75,276,2332,122,239,1414,82,2016-07-01,c17bdb8a,58.4031532056782,-110.365631505417
623,352,70,975,58,208,1860,101,217,1266,62,2016-08-01,c17bdb8a,58.4031532056782,-110.365631505417
468,61,-20,529,48,194,1137,46,149,915,33,2016-09-01,c17bdb8a,58.4031532056782,-110.365631505417
20,0,60,20,42,264,523,-27,20,532,13,2016-10-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,70,0,28,264,261,-83,-6,471,0,2016-11-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,70,0,22,264,147,-233,-144,171,0,2016-12-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,80,0,21,264,238,-215,-105,192,0,2017-01-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,100,0,19,264,538,-200,-94,220,1,2017-02-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,100,0,21,264,1329,-183,-62,267,4,2017-03-01,c17bdb8a,58.4031532056782,-110.365631505417
49,0,110,49,20,388,2215,-64,53,361,33,2017-04-01,c17bdb8a,58.4031532056782,-110.365631505417
1090,0,110,1090,30,965,2470,34,168,638,74,2017-05-01,c17bdb8a,58.4031532056782,-110.365631505417
950,288,90,1238,49,480,2567,87,208,989,85,2017-06-01,c17bdb8a,58.4031532056782,-110.365631505417
904,367,60,1271,76,294,2417,117,243,1367,85,2017-07-01,c17bdb8a,58.4031532056782,-110.365631505417
628,505,-50,1133,58,218,2123,102,236,1265,83,2017-08-01,c17bdb8a,58.4031532056782,-110.365631505417
482,121,-120,603,48,187,1249,51,168,960,43,2017-09-01,c17bdb8a,58.4031532056782,-110.365631505417
184,0,-140,184,34,300,492,-19,56,555,15,2017-10-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-150,0,29,300,268,-180,-96,241,3,2017-11-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-170,0,22,300,143,-217,-108,221,0,2017-12-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-190,0,21,300,213,-244,-149,175,-1,2018-01-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-180,0,19,300,624,-266,-135,140,1,2018-02-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-160,0,21,300,1339,-182,-44,227,9,2018-03-01,c17bdb8a,58.4031532056782,-110.365631505417
0,0,-110,0,20,300,2044,-105,35,301,26,2018-04-01,c17bdb8a,58.4031532056782,-110.365631505417
1119,0,-90,1119,29,736,2465,36,183,648,82,2018-05-01,c17bdb8a,58.4031532056782,-110.365631505417
