aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-63,0,24,257,143,-284,-193,129,0,2015-01-01,c28a020a,61.6275637582712,-111.384991711401
0,0,7,0,10,257,481,-310,-200,74,1,2015-02-01,c28a020a,61.6275637582712,-111.384991711401
0,0,6,0,10,257,1236,-224,-84,170,4,2015-03-01,c28a020a,61.6275637582712,-111.384991711401
0,0,-55,0,7,257,2171,-122,17,267,20,2015-04-01,c28a020a,61.6275637582712,-111.384991711401
1111,0,-166,1124,3,297,2842,-10,130,430,61,2015-05-01,c28a020a,61.6275637582712,-111.384991711401
397,979,-284,1376,32,221,2672,72,205,859,87,2015-06-01,c28a020a,61.6275637582712,-111.384991711401
893,204,-86,1097,89,177,2109,98,207,1188,64,2015-07-01,c28a020a,61.6275637582712,-111.384991711401
657,204,222,861,66,149,1635,88,194,1137,56,2015-08-01,c28a020a,61.6275637582712,-111.384991711401
314,125,141,438,31,129,1078,22,114,746,29,2015-09-01,c28a020a,61.6275637582712,-111.384991711401
0,0,173,5,40,166,395,-40,13,492,7,2015-10-01,c28a020a,61.6275637582712,-111.384991711401
0,0,117,0,22,166,164,-145,-78,299,0,2015-11-01,c28a020a,61.6275637582712,-111.384991711401
0,0,138,0,28,166,71,-221,-153,219,0,2015-12-01,c28a020a,61.6275637582712,-111.384991711401
0,0,130,0,13,163,124,-257,-173,130,0,2016-01-01,c28a020a,61.6275637582712,-111.384991711401
0,0,140,0,12,163,490,-264,-158,139,2,2016-02-01,c28a020a,61.6275637582712,-111.384991711401
0,0,120,0,7,163,1181,-196,-72,201,3,2016-03-01,c28a020a,61.6275637582712,-111.384991711401
0,0,120,0,11,163,1860,-129,-1,352,10,2016-04-01,c28a020a,61.6275637582712,-111.384991711401
879,0,120,879,21,718,2255,18,135,629,49,2016-05-01,c28a020a,61.6275637582712,-111.384991711401
862,337,160,1199,54,368,2476,82,206,1031,75,2016-06-01,c28a020a,61.6275637582712,-111.384991711401
603,497,160,1100,52,255,2195,111,222,1416,73,2016-07-01,c28a020a,61.6275637582712,-111.384991711401
511,306,160,817,48,198,1755,91,198,1313,48,2016-08-01,c28a020a,61.6275637582712,-111.384991711401
378,0,300,378,63,418,894,33,118,898,23,2016-09-01,c28a020a,61.6275637582712,-111.384991711401
0,0,270,0,22,418,448,-48,-11,590,11,2016-10-01,c28a020a,61.6275637582712,-111.384991711401
0,0,260,0,26,418,152,-122,-56,333,0,2016-11-01,c28a020a,61.6275637582712,-111.384991711401
0,0,260,0,19,418,82,-263,-195,142,0,2016-12-01,c28a020a,61.6275637582712,-111.384991711401
0,0,280,0,22,418,144,-271,-170,110,0,2017-01-01,c28a020a,61.6275637582712,-111.384991711401
0,0,340,0,20,418,389,-261,-171,131,0,2017-02-01,c28a020a,61.6275637582712,-111.384991711401
0,0,370,0,19,418,1125,-233,-118,199,0,2017-03-01,c28a020a,61.6275637582712,-111.384991711401
0,0,280,0,2,418,2197,-128,-7,340,16,2017-04-01,c28a020a,61.6275637582712,-111.384991711401
874,0,240,874,17,935,2395,6,129,597,54,2017-05-01,c28a020a,61.6275637582712,-111.384991711401
719,430,120,1149,16,370,2639,72,189,993,79,2017-06-01,c28a020a,61.6275637582712,-111.384991711401
489,694,60,1183,40,256,2383,106,226,1358,80,2017-07-01,c28a020a,61.6275637582712,-111.384991711401
644,364,80,1008,62,199,1821,99,222,1255,75,2017-08-01,c28a020a,61.6275637582712,-111.384991711401
226,261,-240,487,20,163,1094,43,140,928,35,2017-09-01,c28a020a,61.6275637582712,-111.384991711401
