aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-396,0,15,244,302,-287,-181,119,0,2015-01-01,c407e781,56.728081591526,-96.2817171741525
0,0,-386,0,10,244,750,-336,-235,41,2,2015-02-01,c407e781,56.728081591526,-96.2817171741525
0,0,-350,0,24,244,1427,-225,-91,189,2,2015-03-01,c407e781,56.728081591526,-96.2817171741525
0,0,-221,0,50,244,2050,-117,6,322,12,2015-04-01,c407e781,56.728081591526,-96.2817171741525
882,0,-300,916,20,366,2677,-32,105,442,44,2015-05-01,c407e781,56.728081591526,-96.2817171741525
1017,146,-256,1163,77,135,2518,61,186,929,62,2015-06-01,c407e781,56.728081591526,-96.2817171741525
672,479,-264,1151,66,93,2252,98,216,1288,61,2015-07-01,c407e781,56.728081591526,-96.2817171741525
356,400,-307,756,35,72,1494,93,190,1274,41,2015-08-01,c407e781,56.728081591526,-96.2817171741525
367,37,-302,404,38,64,1006,51,132,985,22,2015-09-01,c407e781,56.728081591526,-96.2817171741525
22,0,-316,59,42,286,567,-29,44,580,9,2015-10-01,c407e781,56.728081591526,-96.2817171741525
0,0,-308,0,37,286,284,-118,-56,346,0,2015-11-01,c407e781,56.728081591526,-96.2817171741525
0,0,-322,0,13,286,169,-183,-125,255,0,2015-12-01,c407e781,56.728081591526,-96.2817171741525
0,0,-310,0,19,235,241,-245,-165,123,0,2016-01-01,c407e781,56.728081591526,-96.2817171741525
0,0,-280,0,16,235,759,-277,-163,103,1,2016-02-01,c407e781,56.728081591526,-96.2817171741525
0,0,-250,0,25,235,1423,-199,-76,179,5,2016-03-01,c407e781,56.728081591526,-96.2817171741525
0,0,-230,0,26,235,2391,-141,1,246,15,2016-04-01,c407e781,56.728081591526,-96.2817171741525
890,0,-240,890,45,366,2402,3,126,571,45,2016-05-01,c407e781,56.728081591526,-96.2817171741525
801,399,-260,1200,58,135,2524,60,188,873,76,2016-06-01,c407e781,56.728081591526,-96.2817171741525
853,283,-210,1136,85,93,2162,99,215,1244,60,2016-07-01,c407e781,56.728081591526,-96.2817171741525
667,291,-210,958,68,72,1879,84,197,1149,54,2016-08-01,c407e781,56.728081591526,-96.2817171741525
490,56,-210,546,50,60,980,41,138,856,31,2016-09-01,c407e781,56.728081591526,-96.2817171741525
8,0,-200,8,47,100,409,-35,11,528,6,2016-10-01,c407e781,56.728081591526,-96.2817171741525
0,0,-180,0,34,100,296,-88,-24,333,0,2016-11-01,c407e781,56.728081591526,-96.2817171741525
0,0,-160,0,22,100,201,-261,-189,114,0,2016-12-01,c407e781,56.728081591526,-96.2817171741525
0,0,-150,0,19,100,241,-243,-161,124,0,2017-01-01,c407e781,56.728081591526,-96.2817171741525
0,0,-130,0,16,100,687,-246,-160,123,0,2017-02-01,c407e781,56.728081591526,-96.2817171741525
0,0,220,0,72,100,1400,-240,-113,150,3,2017-03-01,c407e781,56.728081591526,-96.2817171741525
0,0,200,0,26,100,2233,-123,1,285,14,2017-04-01,c407e781,56.728081591526,-96.2817171741525
752,0,180,752,47,366,2232,-8,95,513,39,2017-05-01,c407e781,56.728081591526,-96.2817171741525
848,234,170,1082,60,135,2323,57,177,854,68,2017-06-01,c407e781,56.728081591526,-96.2817171741525
781,594,100,1375,78,93,2527,88,233,1134,83,2017-07-01,c407e781,56.728081591526,-96.2817171741525
675,405,-40,1080,69,72,2073,75,212,1078,75,2017-08-01,c407e781,56.728081591526,-96.2817171741525
518,115,-120,633,53,59,1134,43,142,806,34,2017-09-01,c407e781,56.728081591526,-96.2817171741525
38,0,-140,38,43,152,435,-31,31,527,5,2017-10-01,c407e781,56.728081591526,-96.2817171741525
0,0,-150,0,35,152,345,-200,-121,195,3,2017-11-01,c407e781,56.728081591526,-96.2817171741525
0,0,-130,0,22,152,208,-273,-186,114,0,2017-12-01,c407e781,56.728081591526,-96.2817171741525
0,0,-120,0,20,152,316,-283,-201,84,0,2018-01-01,c407e781,56.728081591526,-96.2817171741525
0,0,-110,0,16,152,742,-327,-212,73,0,2018-02-01,c407e781,56.728081591526,-96.2817171741525
0,0,-100,0,24,152,1476,-232,-103,149,5,2018-03-01,c407e781,56.728081591526,-96.2817171741525
0,0,-100,0,24,152,2235,-170,-28,245,14,2018-04-01,c407e781,56.728081591526,-96.2817171741525
998,0,-160,998,43,366,2583,-6,135,512,51,2018-05-01,c407e781,56.728081591526,-96.2817171741525
799,389,-200,1188,58,135,2326,74,198,942,74,2018-06-01,c407e781,56.728081591526,-96.2817171741525
819,427,-190,1246,82,93,2390,98,216,1204,81,2018-07-01,c407e781,56.728081591526,-96.2817171741525
692,206,-170,898,71,72,1718,78,191,1129,49,2018-08-01,c407e781,56.728081591526,-96.2817171741525
374,0,-120,374,50,176,1124,1,84,708,22,2018-09-01,c407e781,56.728081591526,-96.2817171741525
0,0,-100,0,43,176,651,-71,1,428,8,2018-10-01,c407e781,56.728081591526,-96.2817171741525
0,0,-70,0,34,176,288,-199,-122,205,-2,2018-11-01,c407e781,56.728081591526,-96.2817171741525
0,0,-60,0,23,176,195,-226,-148,143,-2,2018-12-01,c407e781,56.728081591526,-96.2817171741525
0,0,-60,0,19,176,331,-314,-213,80,0,2019-01-01,c407e781,56.728081591526,-96.2817171741525
0,0,-100,0,8,176,761,-308,-194,87,0,2019-02-01,c407e781,56.728081591526,-96.2817171741525
0,0,-160,0,9,176,1374,-197,-59,212,5,2019-03-01,c407e781,56.728081591526,-96.2817171741525
