aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,543,0,50,724,548,-237,-94,226,0,2015-01-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,467,0,43,724,1116,-275,-137,155,0,2015-02-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,394,0,43,724,1620,-166,-21,327,2,2015-03-01,c46eb357,47.4834645147958,-80.4499683503445
60,0,450,170,86,724,1996,-54,68,547,15,2015-04-01,c46eb357,47.4834645147958,-80.4499683503445
903,0,425,903,75,724,2082,37,176,1024,38,2015-05-01,c46eb357,47.4834645147958,-80.4499683503445
889,134,371,1022,69,494,2374,76,207,1331,42,2015-06-01,c46eb357,47.4834645147958,-80.4499683503445
844,380,301,1224,63,250,2383,112,244,1589,61,2015-07-01,c46eb357,47.4834645147958,-80.4499683503445
850,113,242,963,85,203,1759,117,226,1488,57,2015-08-01,c46eb357,47.4834645147958,-80.4499683503445
567,154,86,721,55,153,1617,89,210,1392,43,2015-09-01,c46eb357,47.4834645147958,-80.4499683503445
285,0,-205,288,72,555,919,6,106,813,15,2015-10-01,c46eb357,47.4834645147958,-80.4499683503445
22,0,-258,33,73,724,522,-29,62,738,0,2015-11-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-94,0,100,724,312,-74,-2,651,0,2015-12-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-90,0,54,724,477,-182,-64,295,2,2016-01-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,140,0,60,724,857,-184,-51,294,3,2016-02-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,160,0,63,724,1503,-115,20,447,11,2016-03-01,c46eb357,47.4834645147958,-80.4499683503445
36,0,200,36,58,724,2163,-68,50,427,21,2016-04-01,c46eb357,47.4834645147958,-80.4499683503445
931,0,140,931,58,724,2398,24,164,840,51,2016-05-01,c46eb357,47.4834645147958,-80.4499683503445
1028,185,60,1213,75,406,2483,82,216,1130,68,2016-06-01,c46eb357,47.4834645147958,-80.4499683503445
941,294,-120,1235,81,232,2285,126,248,1569,66,2016-07-01,c46eb357,47.4834645147958,-80.4499683503445
916,137,-140,1053,91,180,1898,129,248,1667,69,2016-08-01,c46eb357,47.4834645147958,-80.4499683503445
760,0,-170,760,96,330,1540,88,203,1303,39,2016-09-01,c46eb357,47.4834645147958,-80.4499683503445
375,0,-180,375,69,614,845,24,119,878,20,2016-10-01,c46eb357,47.4834645147958,-80.4499683503445
88,0,-220,88,71,724,432,-28,62,679,10,2016-11-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-170,0,65,724,365,-147,-54,363,2,2016-12-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-140,0,60,724,511,-154,-49,382,3,2017-01-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-70,0,67,724,799,-152,-25,372,5,2017-02-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,-70,0,52,724,1590,-145,-15,338,10,2017-03-01,c46eb357,47.4834645147958,-80.4499683503445
389,0,-70,389,64,724,1616,-28,90,659,23,2017-04-01,c46eb357,47.4834645147958,-80.4499683503445
679,0,30,679,67,724,1729,24,136,857,27,2017-05-01,c46eb357,47.4834645147958,-80.4499683503445
1062,45,120,1107,104,647,2196,94,212,1138,54,2017-06-01,c46eb357,47.4834645147958,-80.4499683503445
1053,161,170,1214,87,415,2523,110,233,1504,70,2017-07-01,c46eb357,47.4834645147958,-80.4499683503445
875,0,240,875,107,558,1753,97,210,1411,44,2017-08-01,c46eb357,47.4834645147958,-80.4499683503445
664,0,200,664,75,608,1574,78,202,1361,40,2017-09-01,c46eb357,47.4834645147958,-80.4499683503445
351,0,290,351,96,724,919,33,131,985,30,2017-10-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,310,0,84,724,404,-70,11,509,6,2017-11-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,290,0,60,724,466,-187,-82,303,0,2017-12-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,250,0,53,724,511,-202,-75,278,3,2018-01-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,230,0,52,724,870,-189,-50,329,6,2018-02-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,190,0,44,724,1634,-154,-22,302,10,2018-03-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,240,0,63,724,2005,-89,31,400,21,2018-04-01,c46eb357,47.4834645147958,-80.4499683503445
964,0,210,964,71,724,2396,40,189,989,64,2018-05-01,c46eb357,47.4834645147958,-80.4499683503445
977,184,130,1161,70,408,2633,84,217,1279,84,2018-06-01,c46eb357,47.4834645147958,-80.4499683503445
815,490,-130,1305,67,232,2479,128,255,1597,95,2018-07-01,c46eb357,47.4834645147958,-80.4499683503445
831,209,-180,1040,81,168,2112,120,241,1681,73,2018-08-01,c46eb357,47.4834645147958,-80.4499683503445
614,0,-190,614,85,361,1437,82,197,1424,39,2018-09-01,c46eb357,47.4834645147958,-80.4499683503445
238,0,-100,238,97,724,652,2,82,793,19,2018-10-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,110,0,80,724,430,-82,-19,477,4,2018-11-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,90,0,55,724,432,-143,-38,407,1,2018-12-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,110,0,66,724,589,-248,-117,156,1,2019-01-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,280,0,111,724,902,-213,-75,203,3,2019-02-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,190,0,31,724,1511,-148,-14,265,11,2019-03-01,c46eb357,47.4834645147958,-80.4499683503445
60,0,340,60,108,724,1712,-62,57,461,19,2019-04-01,c46eb357,47.4834645147958,-80.4499683503445
765,0,380,765,94,724,2006,0,132,707,36,2019-05-01,c46eb357,47.4834645147958,-80.4499683503445
1120,41,400,1161,111,654,2591,81,212,1159,65,2019-06-01,c46eb357,47.4834645147958,-80.4499683503445
934,469,320,1403,57,265,2627,132,257,1544,88,2019-07-01,c46eb357,47.4834645147958,-80.4499683503445
621,540,150,1161,57,184,2173,109,232,1392,69,2019-08-01,c46eb357,47.4834645147958,-80.4499683503445
596,0,250,596,145,724,1265,71,185,1260,31,2019-09-01,c46eb357,47.4834645147958,-80.4499683503445
377,0,390,377,118,724,804,11,106,763,21,2019-10-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,430,0,95,724,525,-95,-17,389,3,2019-11-01,c46eb357,47.4834645147958,-80.4499683503445
0,0,360,0,49,724,393,-146,-37,320,1,2019-12-01,c46eb357,47.4834645147958,-80.4499683503445
