aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,507,0,163,615,545,-91,-8,305,14,2015-01-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,525,0,143,615,875,-131,-53,217,10,2015-02-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,479,0,91,615,1464,-69,13,320,20,2015-03-01,c58590d5,44.1665366358837,-65.9279286831219
611,0,392,621,99,615,1714,12,83,555,33,2015-04-01,c58590d5,44.1665366358837,-65.9279286831219
965,128,284,1093,72,395,2274,82,171,936,59,2015-05-01,c58590d5,44.1665366358837,-65.9279286831219
1058,0,395,1058,204,615,2323,103,183,1150,54,2015-06-01,c58590d5,44.1665366358837,-65.9279286831219
929,252,317,1180,57,226,2405,135,227,1490,68,2015-07-01,c58590d5,44.1665366358837,-65.9279286831219
1000,74,276,1074,102,193,2053,149,236,1647,67,2015-08-01,c58590d5,44.1665366358837,-65.9279286831219
808,0,219,808,103,361,1721,125,214,1472,53,2015-09-01,c58590d5,44.1665366358837,-65.9279286831219
522,0,156,522,96,615,1056,49,131,831,36,2015-10-01,c58590d5,44.1665366358837,-65.9279286831219
326,0,150,326,160,615,629,32,99,708,29,2015-11-01,c58590d5,44.1665366358837,-65.9279286831219
245,0,165,251,193,615,407,16,67,585,25,2015-12-01,c58590d5,44.1665366358837,-65.9279286831219
13,0,70,13,73,615,635,-45,16,350,17,2016-01-01,c58590d5,44.1665366358837,-65.9279286831219
11,0,100,11,128,615,886,-57,24,397,14,2016-02-01,c58590d5,44.1665366358837,-65.9279286831219
332,0,80,332,110,615,1285,-19,54,444,22,2016-03-01,c58590d5,44.1665366358837,-65.9279286831219
682,0,-110,682,103,615,1914,2,87,511,32,2016-04-01,c58590d5,44.1665366358837,-65.9279286831219
911,17,-140,928,92,585,2149,72,151,863,40,2016-05-01,c58590d5,44.1665366358837,-65.9279286831219
977,225,-190,1202,65,228,2583,114,200,1114,53,2016-06-01,c58590d5,44.1665366358837,-65.9279286831219
777,489,-240,1266,74,157,2380,146,237,1489,56,2016-07-01,c58590d5,44.1665366358837,-65.9279286831219
1005,160,-240,1165,102,122,2195,148,241,1612,51,2016-08-01,c58590d5,44.1665366358837,-65.9279286831219
680,145,-300,825,69,100,1659,121,203,1356,33,2016-09-01,c58590d5,44.1665366358837,-65.9279286831219
519,0,-330,519,107,598,988,63,143,958,28,2016-10-01,c58590d5,44.1665366358837,-65.9279286831219
325,0,-340,325,129,615,574,35,95,712,23,2016-11-01,c58590d5,44.1665366358837,-65.9279286831219
26,0,-340,26,130,615,446,-39,28,434,15,2016-12-01,c58590d5,44.1665366358837,-65.9279286831219
26,0,-300,26,123,615,595,-35,26,430,17,2017-01-01,c58590d5,44.1665366358837,-65.9279286831219
11,0,-250,11,115,615,1014,-51,20,421,14,2017-02-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,-250,0,72,615,1469,-53,11,333,18,2017-03-01,c58590d5,44.1665366358837,-65.9279286831219
550,0,-270,550,89,615,1651,34,104,741,26,2017-04-01,c58590d5,44.1665366358837,-65.9279286831219
825,0,-180,825,142,615,1920,71,137,888,40,2017-05-01,c58590d5,44.1665366358837,-65.9279286831219
1052,23,-160,1075,107,576,2412,104,193,1214,51,2017-06-01,c58590d5,44.1665366358837,-65.9279286831219
844,299,-190,1143,52,226,2370,135,225,1494,59,2017-07-01,c58590d5,44.1665366358837,-65.9279286831219
697,349,-230,1046,66,156,2057,131,222,1451,51,2017-08-01,c58590d5,44.1665366358837,-65.9279286831219
621,95,-280,716,63,129,1488,125,204,1495,31,2017-09-01,c58590d5,44.1665366358837,-65.9279286831219
548,0,-320,548,94,476,1187,87,169,1176,33,2017-10-01,c58590d5,44.1665366358837,-65.9279286831219
357,0,-330,357,143,615,638,5,84,618,23,2017-11-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,-310,0,138,615,415,-60,3,379,13,2017-12-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,-250,0,139,615,545,-68,6,367,13,2018-01-01,c58590d5,44.1665366358837,-65.9279286831219
50,0,-220,50,108,615,758,-36,39,477,17,2018-02-01,c58590d5,44.1665366358837,-65.9279286831219
97,0,-230,97,81,615,1351,-21,24,404,18,2018-03-01,c58590d5,44.1665366358837,-65.9279286831219
516,0,-140,516,148,615,1623,0,71,561,30,2018-04-01,c58590d5,44.1665366358837,-65.9279286831219
983,43,-180,1026,84,541,2434,76,172,948,47,2018-05-01,c58590d5,44.1665366358837,-65.9279286831219
1148,0,-100,1148,155,615,2504,103,195,1159,50,2018-06-01,c58590d5,44.1665366358837,-65.9279286831219
833,419,-160,1252,47,226,2404,152,245,1649,55,2018-07-01,c58590d5,44.1665366358837,-65.9279286831219
1105,0,-130,1105,124,300,2151,160,246,1833,44,2018-08-01,c58590d5,44.1665366358837,-65.9279286831219
746,118,-190,864,71,226,1546,124,209,1310,36,2018-09-01,c58590d5,44.1665366358837,-65.9279286831219
415,0,-170,415,136,615,848,52,118,938,29,2018-10-01,c58590d5,44.1665366358837,-65.9279286831219
248,0,100,248,216,615,544,1,54,607,20,2018-11-01,c58590d5,44.1665366358837,-65.9279286831219
45,0,-30,45,132,615,533,-42,43,454,15,2018-12-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,100,0,148,615,573,-74,-2,348,13,2019-01-01,c58590d5,44.1665366358837,-65.9279286831219
0,0,70,0,93,615,955,-80,-10,296,16,2019-02-01,c58590d5,44.1665366358837,-65.9279286831219
38,0,140,38,135,615,1567,-40,26,371,23,2019-03-01,c58590d5,44.1665366358837,-65.9279286831219
517,0,340,517,240,615,1357,22,91,664,28,2019-04-01,c58590d5,44.1665366358837,-65.9279286831219
743,0,430,743,177,615,1775,50,128,783,40,2019-05-01,c58590d5,44.1665366358837,-65.9279286831219
989,0,490,989,163,615,2206,110,194,1229,56,2019-06-01,c58590d5,44.1665366358837,-65.9279286831219
1093,130,440,1223,91,391,2556,154,238,1658,70,2019-07-01,c58590d5,44.1665366358837,-65.9279286831219
1100,0,480,1100,151,615,2248,149,232,1690,59,2019-08-01,c58590d5,44.1665366358837,-65.9279286831219
713,0,610,713,192,615,1694,104,179,1309,35,2019-09-01,c58590d5,44.1665366358837,-65.9279286831219
434,0,640,434,151,615,946,61,133,942,30,2019-10-01,c58590d5,44.1665366358837,-65.9279286831219
307,0,610,307,178,615,621,7,71,602,23,2019-11-01,c58590d5,44.1665366358837,-65.9279286831219
33,0,600,33,183,615,476,-35,32,463,16,2019-12-01,c58590d5,44.1665366358837,-65.9279286831219
