aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,114,0,28,85,271,-178,-72,194,6,2015-01-01,c629b6f9,56.996651901313,-115.374256806367
0,0,231,0,49,85,567,-196,-80,167,7,2015-02-01,c629b6f9,56.996651901313,-115.374256806367
0,0,159,0,12,85,1191,-112,31,274,24,2015-03-01,c629b6f9,56.996651901313,-115.374256806367
786,0,139,821,35,560,2135,-36,106,338,54,2015-04-01,c629b6f9,56.996651901313,-115.374256806367
540,795,-229,1335,13,206,2810,14,178,477,89,2015-05-01,c629b6f9,56.996651901313,-115.374256806367
561,915,-270,1476,52,143,2876,73,226,896,100,2015-06-01,c629b6f9,56.996651901313,-115.374256806367
703,640,-282,1342,71,110,2522,91,235,1176,86,2015-07-01,c629b6f9,56.996651901313,-115.374256806367
345,691,-327,1036,34,91,1905,82,218,1103,76,2015-08-01,c629b6f9,56.996651901313,-115.374256806367
599,0,-145,599,82,272,1366,22,155,774,47,2015-09-01,c629b6f9,56.996651901313,-115.374256806367
330,17,-74,353,34,261,742,-11,105,561,36,2015-10-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-79,0,18,261,356,-100,-2,325,12,2015-11-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-93,0,17,261,182,-149,-68,219,6,2015-12-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-130,0,27,209,262,-168,-74,227,8,2016-01-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-110,0,21,209,551,-149,-32,254,15,2016-02-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-100,0,22,209,1115,-90,16,310,24,2016-03-01,c629b6f9,56.996651901313,-115.374256806367
672,0,-130,672,22,560,1927,-27,98,388,55,2016-04-01,c629b6f9,56.996651901313,-115.374256806367
778,360,-190,1138,40,206,2384,28,179,618,85,2016-05-01,c629b6f9,56.996651901313,-115.374256806367
637,656,-180,1293,60,143,2568,78,218,975,91,2016-06-01,c629b6f9,56.996651901313,-115.374256806367
752,487,-170,1239,76,110,2494,101,231,1285,85,2016-07-01,c629b6f9,56.996651901313,-115.374256806367
548,428,-150,976,56,91,1764,87,218,1151,72,2016-08-01,c629b6f9,56.996651901313,-115.374256806367
395,244,-140,639,40,77,1276,32,156,788,51,2016-09-01,c629b6f9,56.996651901313,-115.374256806367
127,0,-80,127,29,149,546,-21,43,493,20,2016-10-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-60,0,26,149,338,-64,19,430,16,2016-11-01,c629b6f9,56.996651901313,-115.374256806367
0,0,10,0,24,149,183,-199,-104,136,7,2016-12-01,c629b6f9,56.996651901313,-115.374256806367
0,0,80,0,26,149,273,-183,-67,177,7,2017-01-01,c629b6f9,56.996651901313,-115.374256806367
0,0,80,0,21,149,596,-171,-55,207,12,2017-02-01,c629b6f9,56.996651901313,-115.374256806367
0,0,70,0,22,149,1301,-149,-31,254,14,2017-03-01,c629b6f9,56.996651901313,-115.374256806367
481,0,60,481,23,560,1895,-38,79,353,42,2017-04-01,c629b6f9,56.996651901313,-115.374256806367
996,196,-30,1192,40,224,2408,29,177,581,89,2017-05-01,c629b6f9,56.996651901313,-115.374256806367
651,617,-10,1268,61,150,2646,69,200,880,90,2017-06-01,c629b6f9,56.996651901313,-115.374256806367
759,601,-70,1360,76,115,2741,97,231,1178,96,2017-07-01,c629b6f9,56.996651901313,-115.374256806367
546,640,-100,1186,55,93,2110,83,234,1067,93,2017-08-01,c629b6f9,56.996651901313,-115.374256806367
392,333,-120,725,40,79,1384,38,181,848,60,2017-09-01,c629b6f9,56.996651901313,-115.374256806367
291,81,-120,372,30,69,609,-17,79,498,33,2017-10-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-130,0,26,69,308,-145,-56,224,9,2017-11-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-150,0,24,69,217,-181,-67,201,8,2017-12-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-160,0,27,69,256,-194,-98,187,6,2018-01-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-130,0,21,69,696,-232,-92,121,9,2018-02-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-120,0,22,69,1355,-149,-11,214,21,2018-03-01,c629b6f9,56.996651901313,-115.374256806367
56,0,60,56,22,152,2072,-77,64,293,42,2018-04-01,c629b6f9,56.996651901313,-115.374256806367
1352,0,60,1352,40,385,2764,36,198,604,119,2018-05-01,c629b6f9,56.996651901313,-115.374256806367
772,353,70,1125,61,194,2024,78,207,997,68,2018-06-01,c629b6f9,56.996651901313,-115.374256806367
780,460,-10,1240,76,137,2245,95,229,1163,64,2018-07-01,c629b6f9,56.996651901313,-115.374256806367
556,494,-10,1050,55,107,1986,76,213,1053,78,2018-08-01,c629b6f9,56.996651901313,-115.374256806367
402,150,10,552,40,89,1449,-11,112,583,37,2018-09-01,c629b6f9,56.996651901313,-115.374256806367
225,0,20,225,29,102,732,-41,72,410,31,2018-10-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-10,0,26,102,287,-103,-37,300,8,2018-11-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-10,0,24,102,175,-157,-64,213,9,2018-12-01,c629b6f9,56.996651901313,-115.374256806367
0,0,0,0,26,102,250,-188,-77,170,7,2019-01-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-30,0,12,102,686,-289,-158,46,7,2019-02-01,c629b6f9,56.996651901313,-115.374256806367
0,0,-130,0,4,102,1453,-101,36,249,29,2019-03-01,c629b6f9,56.996651901313,-115.374256806367
756,0,-190,756,16,373,1853,-32,102,321,55,2019-04-01,c629b6f9,56.996651901313,-115.374256806367
285,984,-410,1269,7,192,2674,26,168,394,94,2019-05-01,c629b6f9,56.996651901313,-115.374256806367
667,560,-360,1227,64,136,2400,69,203,895,80,2019-06-01,c629b6f9,56.996651901313,-115.374256806367
1005,91,-210,1096,103,111,2151,89,220,1235,66,2019-07-01,c629b6f9,56.996651901313,-115.374256806367
808,35,-60,843,84,103,1754,61,196,1130,49,2019-08-01,c629b6f9,56.996651901313,-115.374256806367
505,78,270,583,52,88,1319,36,159,851,45,2019-09-01,c629b6f9,56.996651901313,-115.374256806367
201,0,280,201,31,125,648,-39,65,432,28,2019-10-01,c629b6f9,56.996651901313,-115.374256806367
0,0,250,0,22,125,303,-106,-18,281,13,2019-11-01,c629b6f9,56.996651901313,-115.374256806367
